waste,stk_flow,wst_oper,unit,geotime,date,value
W1501,DOM,RCY,PC,DK,2001-01-01,57
W1501,DOM,RCY,PC,DK,2002-01-01,57
W1501,DOM,RCY,PC,DK,2003-01-01,53
W1501,DOM,RCY,PC,DK,2004-01-01,53
W1501,DOM,RCY,PC,DK,2005-01-01,52
W1501,DOM,RCY,PC,DK,2006-01-01,56
W1501,DOM,RCY,PC,DK,2007-01-01,56
W1501,DOM,RCY,PC,DK,2008-01-01,59
W1501,DOM,RCY,PC,DK,2009-01-01,84
W1501,DOM,RCY,PC,DK,2010-01-01,84
W1501,DOM,RCY,PC,DK,2011-01-01,54
W1501,DOM,RCY,PC,DK,2012-01-01,
W1501,DOM,RCY,PC,DK,2013-01-01,69
W1501,DOM,RCY,PC,DK,2014-01-01,69
W1501,DOM,RCY,PC,DK,2015-01-01,
W1501,DOM,RCY,PC,DK,2016-01-01,79
W1501,DOM,RCY,PC,EE,2000-01-01,
W1501,DOM,RCY,PC,EE,2001-01-01,
W1501,DOM,RCY,PC,EE,2002-01-01,
W1501,DOM,RCY,PC,EE,2003-01-01,
W1501,DOM,RCY,PC,EE,2004-01-01,33
W1501,DOM,RCY,PC,EE,2005-01-01,40
W1501,DOM,RCY,PC,EE,2006-01-01,45
W1501,DOM,RCY,PC,EE,2007-01-01,49
W1501,DOM,RCY,PC,EE,2008-01-01,43
W1501,DOM,RCY,PC,EE,2009-01-01,57
W1501,DOM,RCY,PC,EE,2010-01-01,56
W1501,DOM,RCY,PC,EE,2011-01-01,62
W1501,DOM,RCY,PC,EE,2012-01-01,
W1501,DOM,RCY,PC,EE,2013-01-01,58
W1501,DOM,RCY,PC,EE,2014-01-01,60
W1501,DOM,RCY,PC,EE,2015-01-01,
W1501,DOM,RCY,PC,EE,2016-01-01,56
W1501,DOM,RCY,PC,EL,2000-01-01,33
W1501,DOM,RCY,PC,EL,2001-01-01,33
W1501,DOM,RCY,PC,EL,2002-01-01,32
W1501,DOM,RCY,PC,EL,2003-01-01,33
W1501,DOM,RCY,PC,EL,2004-01-01,36
W1501,DOM,RCY,PC,EL,2005-01-01,41
W1501,DOM,RCY,PC,EL,2006-01-01,42
W1501,DOM,RCY,PC,EL,2007-01-01,48
W1501,DOM,RCY,PC,EL,2008-01-01,43
W1501,DOM,RCY,PC,EL,2009-01-01,52
W1501,DOM,RCY,PC,EL,2010-01-01,58
