unit,sex,geotime,date,value
PC,F,AT,2007-01-01,41
PC,F,AT,2008-01-01,46
PC,F,AT,2009-01-01,48
PC,F,AT,2010-01-01,48
PC,F,AT,2011-01-01,44
PC,F,AT,2012-01-01,43
PC,F,AT,2013-01-01,45
PC,F,AT,2014-01-01,46
PC,F,AT,2015-01-01,42
PC,F,AT,2016-01-01,40
PC,F,AT,2017-01-01,37
PC,F,BE,2007-01-01,36
PC,F,BE,2008-01-01,38
PC,F,BE,2009-01-01,36
PC,F,BE,2010-01-01,36
PC,F,BE,2011-01-01,33
PC,F,BE,2012-01-01,37
PC,F,BE,2013-01-01,39
PC,F,BE,2014-01-01,38
PC,F,BE,2015-01-01,35
PC,F,BE,2016-01-01,34
PC,F,BE,2017-01-01,37
PC,F,BG,2007-01-01,46
PC,F,BG,2008-01-01,46
PC,F,BG,2009-01-01,47
PC,F,BG,2010-01-01,42
PC,F,BG,2011-01-01,39
PC,F,BG,2012-01-01,36
PC,F,BG,2013-01-01,33
PC,F,BG,2014-01-01,28
PC,F,BG,2015-01-01,25
PC,F,BG,2016-01-01,25
PC,F,BG,2017-01-01,
PC,F,CH,2007-01-01,
PC,F,CH,2008-01-01,
PC,F,CH,2009-01-01,
PC,F,CH,2010-01-01,
PC,F,CH,2011-01-01,
PC,F,CH,2012-01-01,
PC,F,CH,2013-01-01,
PC,F,CH,2014-01-01,
PC,F,CH,2015-01-01,
PC,F,CH,2016-01-01,33
PC,F,CH,2017-01-01,
PC,F,CY,2007-01-01,17
PC,F,CY,2008-01-01,22
PC,F,CY,2009-01-01,21
PC,F,CY,2010-01-01,21
PC,F,CY,2011-01-01,18
PC,F,CY,2012-01-01,17
PC,F,CY,2013-01-01,16
PC,F,CY,2014-01-01,15
PC,F,CY,2015-01-01,18
PC,F,CY,2016-01-01,23
PC,F,CY,2017-01-01,27
PC,F,CZ,2007-01-01,38
PC,F,CZ,2008-01-01,36
PC,F,CZ,2009-01-01,36
PC,F,CZ,2010-01-01,34
PC,F,CZ,2011-01-01,34
PC,F,CZ,2012-01-01,32
PC,F,CZ,2013-01-01,32
PC,F,CZ,2014-01-01,32
PC,F,CZ,2015-01-01,33
PC,F,CZ,2016-01-01,35
PC,F,CZ,2017-01-01,37
PC,F,DE,2007-01-01,26
PC,F,DE,2008-01-01,29
PC,F,DE,2009-01-01,31
PC,F,DE,2010-01-01,35
PC,F,DE,2011-01-01,37
PC,F,DE,2012-01-01,39
PC,F,DE,2013-01-01,36
PC,F,DE,2014-01-01,34
PC,F,DE,2015-01-01,30
PC,F,DE,2016-01-01,31
PC,F,DE,2017-01-01,32
PC,F,DK,2007-01-01,
PC,F,DK,2008-01-01,
PC,F,DK,2009-01-01,
PC,F,DK,2010-01-01,
PC,F,DK,2011-01-01,
PC,F,DK,2012-01-01,21
PC,F,DK,2013-01-01,32
PC,F,DK,2014-01-01,37
PC,F,DK,2015-01-01,47
PC,F,DK,2016-01-01,51
PC,F,DK,2017-01-01,49
PC,F,EA,2007-01-01,
PC,F,EA,2008-01-01,23
PC,F,EA,2009-01-01,23
PC,F,EA,2010-01-01,23
PC,F,EA,2011-01-01,23
PC,F,EA,2012-01-01,22
PC,F,EA,2013-01-01,21
PC,F,EA,2014-01-01,20
PC,F,EA,2015-01-01,20
PC,F,EA,2016-01-01,20
PC,F,EA,2017-01-01,
PC,F,EA18,2007-01-01,23
PC,F,EA18,2008-01-01,23
PC,F,EA18,2009-01-01,23
PC,F,EA18,2010-01-01,23
PC,F,EA18,2011-01-01,23
PC,F,EA18,2012-01-01,22
PC,F,EA18,2013-01-01,21
PC,F,EA18,2014-01-01,20
PC,F,EA18,2015-01-01,20
PC,F,EA18,2016-01-01,20
PC,F,EA18,2017-01-01,
PC,F,EA19,2007-01-01,
PC,F,EA19,2008-01-01,24
PC,F,EA19,2009-01-01,23
PC,F,EA19,2010-01-01,24
PC,F,EA19,2011-01-01,23
PC,F,EA19,2012-01-01,22
PC,F,EA19,2013-01-01,21
PC,F,EA19,2014-01-01,20
PC,F,EA19,2015-01-01,20
PC,F,EA19,2016-01-01,20
PC,F,EA19,2017-01-01,
PC,F,EE,2007-01-01,55
PC,F,EE,2008-01-01,64
PC,F,EE,2009-01-01,
PC,F,EE,2010-01-01,46
PC,F,EE,2011-01-01,36
PC,F,EE,2012-01-01,47
PC,F,EE,2013-01-01,67
PC,F,EE,2014-01-01,69
PC,F,EE,2015-01-01,63
PC,F,EE,2016-01-01,
PC,F,EE,2017-01-01,
PC,F,EL,2007-01-01,23
PC,F,EL,2008-01-01,21
PC,F,EL,2009-01-01,19
PC,F,EL,2010-01-01,18
PC,F,EL,2011-01-01,20
PC,F,EL,2012-01-01,17
PC,F,EL,2013-01-01,13
PC,F,EL,2014-01-01,12
PC,F,EL,2015-01-01,17
PC,F,EL,2016-01-01,21
PC,F,EL,2017-01-01,
PC,F,ES,2007-01-01,26
PC,F,ES,2008-01-01,24
PC,F,ES,2009-01-01,22
PC,F,ES,2010-01-01,18
PC,F,ES,2011-01-01,15
PC,F,ES,2012-01-01,13
PC,F,ES,2013-01-01,12
PC,F,ES,2014-01-01,12
