unit,sex,citizen,age,wstatus,geotime,date,value
THS,T,TOTAL,Y15-74,POP,AT,1995-01-01,6016
THS,T,TOTAL,Y15-74,POP,AT,1996-01-01,6027
THS,T,TOTAL,Y15-74,POP,AT,1997-01-01,6026
THS,T,TOTAL,Y15-74,POP,AT,1998-01-01,6026
THS,T,TOTAL,Y15-74,POP,AT,1999-01-01,6028
THS,T,TOTAL,Y15-74,POP,AT,2000-01-01,6047
THS,T,TOTAL,Y15-74,POP,AT,2001-01-01,6063
THS,T,TOTAL,Y15-74,POP,AT,2002-01-01,5989
THS,T,TOTAL,Y15-74,POP,AT,2003-01-01,6088
THS,T,TOTAL,Y15-74,POP,AT,2004-01-01,6120
THS,T,TOTAL,Y15-74,POP,AT,2005-01-01,6197
THS,T,TOTAL,Y15-74,POP,AT,2006-01-01,
THS,T,TOTAL,Y15-74,POP,AT,2007-01-01,6276
THS,T,TOTAL,Y15-74,POP,AT,2008-01-01,6312
THS,T,TOTAL,Y15-74,POP,AT,2009-01-01,6342
THS,T,TOTAL,Y15-74,POP,AT,2010-01-01,6368
THS,T,TOTAL,Y15-74,POP,AT,2011-01-01,6397
THS,T,TOTAL,Y15-74,POP,AT,2012-01-01,
THS,T,TOTAL,Y15-74,POP,AT,2013-01-01,
THS,T,TOTAL,Y15-74,POP,AT,2014-01-01,6527
THS,T,TOTAL,Y15-74,POP,AT,2015-01-01,6555
THS,T,TOTAL,Y15-74,POP,AT,2016-01-01,6612
THS,T,TOTAL,Y15-74,POP,AT,2017-01-01,6614
THS,T,TOTAL,Y15-74,POP,BE,1995-01-01,7671
THS,T,TOTAL,Y15-74,POP,BE,1996-01-01,7672
THS,T,TOTAL,Y15-74,POP,BE,1997-01-01,7682
THS,T,TOTAL,Y15-74,POP,BE,1998-01-01,7686
THS,T,TOTAL,Y15-74,POP,BE,1999-01-01,7694
THS,T,TOTAL,Y15-74,POP,BE,2000-01-01,7698
THS,T,TOTAL,Y15-74,POP,BE,2001-01-01,7701
THS,T,TOTAL,Y15-74,POP,BE,2002-01-01,7726
THS,T,TOTAL,Y15-74,POP,BE,2003-01-01,7757
THS,T,TOTAL,Y15-74,POP,BE,2004-01-01,7784
THS,T,TOTAL,Y15-74,POP,BE,2005-01-01,7839
THS,T,TOTAL,Y15-74,POP,BE,2006-01-01,
THS,T,TOTAL,Y15-74,POP,BE,2007-01-01,7927
THS,T,TOTAL,Y15-74,POP,BE,2008-01-01,7985
THS,T,TOTAL,Y15-74,POP,BE,2009-01-01,8042
THS,T,TOTAL,Y15-74,POP,BE,2010-01-01,8100
THS,T,TOTAL,Y15-74,POP,BE,2011-01-01,8162
THS,T,TOTAL,Y15-74,POP,BE,2012-01-01,
THS,T,TOTAL,Y15-74,POP,BE,2013-01-01,
THS,T,TOTAL,Y15-74,POP,BE,2014-01-01,8277
THS,T,TOTAL,Y15-74,POP,BE,2015-01-01,8317
THS,T,TOTAL,Y15-74,POP,BE,2016-01-01,8360
THS,T,TOTAL,Y15-74,POP,BE,2017-01-01,8359
THS,T,TOTAL,Y15-74,POP,BG,1995-01-01,
THS,T,TOTAL,Y15-74,POP,BG,1996-01-01,
THS,T,TOTAL,Y15-74,POP,BG,1997-01-01,
THS,T,TOTAL,Y15-74,POP,BG,1998-01-01,
THS,T,TOTAL,Y15-74,POP,BG,1999-01-01,
THS,T,TOTAL,Y15-74,POP,BG,2000-01-01,6362
THS,T,TOTAL,Y15-74,POP,BG,2001-01-01,6204
THS,T,TOTAL,Y15-74,POP,BG,2002-01-01,6225
THS,T,TOTAL,Y15-74,POP,BG,2003-01-01,6166
