stk_flow,sitc06,partner,unit,geo\time,date,value
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2017-09-01,6.5
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2017-10-01,18.5
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2017-11-01,15.1
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2017-12-01,5.3
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2018-01-01,4.8
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2018-02-01,6.4
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2018-03-01,-6.4
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2018-04-01,7.9
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2018-05-01,1.9
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2018-06-01,9.7
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2018-07-01,16.7
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EA19,2018-08-01,4.8
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2017-09-01,15.9
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2017-10-01,17.4
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2017-11-01,14.4
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2017-12-01,4.1
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2018-01-01,0.9
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2018-02-01,6.1
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2018-03-01,-10.9
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2018-04-01,8.1
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2018-05-01,-0.9
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2018-06-01,7.6
EXP,SITC2_4,WRL_REST,PCH_M12_NSA,EU28,2018-07-01,12.5
