unit,icha11_hf,geotime,date,value
PC_CHE,HF3,EL,2005-01-01,
PC_CHE,HF3,EL,2006-01-01,
PC_CHE,HF3,EL,2007-01-01,
PC_CHE,HF3,EL,2008-01-01,
PC_CHE,HF3,EL,2009-01-01,29
PC_CHE,HF3,EL,2010-01-01,28
PC_CHE,HF3,EL,2011-01-01,30
PC_CHE,HF3,EL,2012-01-01,30
PC_CHE,HF3,EL,2013-01-01,33
PC_CHE,HF3,EL,2014-01-01,36
PC_CHE,HF3,EL,2015-01-01,36
PC_CHE,HF3,EL,2016-01-01,34
PC_CHE,HF3,ES,2005-01-01,21
PC_CHE,HF3,ES,2006-01-01,21
PC_CHE,HF3,ES,2007-01-01,21
PC_CHE,HF3,ES,2008-01-01,21
PC_CHE,HF3,ES,2009-01-01,19
PC_CHE,HF3,ES,2010-01-01,20
PC_CHE,HF3,ES,2011-01-01,21
PC_CHE,HF3,ES,2012-01-01,22
PC_CHE,HF3,ES,2013-01-01,23
PC_CHE,HF3,ES,2014-01-01,24
PC_CHE,HF3,ES,2015-01-01,23
PC_CHE,HF3,ES,2016-01-01,23
PC_CHE,HF3,FI,2005-01-01,19
PC_CHE,HF3,FI,2006-01-01,19
PC_CHE,HF3,FI,2007-01-01,19
PC_CHE,HF3,FI,2008-01-01,19
PC_CHE,HF3,FI,2009-01-01,19
PC_CHE,HF3,FI,2010-01-01,19
PC_CHE,HF3,FI,2011-01-01,19
PC_CHE,HF3,FI,2012-01-01,18
PC_CHE,HF3,FI,2013-01-01,18
PC_CHE,HF3,FI,2014-01-01,18
PC_CHE,HF3,FI,2015-01-01,19
PC_CHE,HF3,FI,2016-01-01,
PC_CHE,HF3,FR,2005-01-01,
PC_CHE,HF3,FR,2006-01-01,9
PC_CHE,HF3,FR,2007-01-01,9
PC_CHE,HF3,FR,2008-01-01,9
PC_CHE,HF3,FR,2009-01-01,7
PC_CHE,HF3,FR,2010-01-01,10
PC_CHE,HF3,FR,2011-01-01,10
PC_CHE,HF3,FR,2012-01-01,10
PC_CHE,HF3,FR,2013-01-01,9
PC_CHE,HF3,FR,2014-01-01,9
PC_CHE,HF3,FR,2015-01-01,9
PC_CHE,HF3,FR,2016-01-01,9
PC_CHE,HF3,HR,2005-01-01,
PC_CHE,HF3,HR,2006-01-01,
PC_CHE,HF3,HR,2007-01-01,
PC_CHE,HF3,HR,2008-01-01,
PC_CHE,HF3,HR,2009-01-01,
PC_CHE,HF3,HR,2010-01-01,
PC_CHE,HF3,HR,2011-01-01,
PC_CHE,HF3,HR,2012-01-01,
PC_CHE,HF3,HR,2013-01-01,12
PC_CHE,HF3,HR,2014-01-01,15
PC_CHE,HF3,HR,2015-01-01,15
PC_CHE,HF3,HR,2016-01-01,15
PC_CHE,HF3,HU,2005-01-01,
PC_CHE,HF3,HU,2006-01-01,25
PC_CHE,HF3,HU,2007-01-01,26
PC_CHE,HF3,HU,2008-01-01,26
PC_CHE,HF3,HU,2009-01-01,26
PC_CHE,HF3,HU,2010-01-01,27
