na_item,sector,unit,geo\time,date,value
B9,S13,MIO_EUR,AT,2006-01-01,-6790.5
B9,S13,MIO_EUR,AT,2007-01-01,-3846.8
B9,S13,MIO_EUR,AT,2008-01-01,-4392.5
B9,S13,MIO_EUR,AT,2009-01-01,-15351.9
B9,S13,MIO_EUR,AT,2010-01-01,-13141.6
B9,S13,MIO_EUR,AT,2011-01-01,-7919.3
B9,S13,MIO_EUR,AT,2012-01-01,-6975.5
B9,S13,MIO_EUR,AT,2013-01-01,-6316.5
B9,S13,MIO_EUR,AT,2014-01-01,-9092.0
B9,S13,MIO_EUR,AT,2015-01-01,-3601.9
B9,S13,MIO_EUR,AT,2016-01-01,-5622.5
B9,S13,MIO_EUR,AT,2017-01-01,-2948.9
B9,S13,MIO_EUR,BE,2006-01-01,716.9
B9,S13,MIO_EUR,BE,2007-01-01,225.4
B9,S13,MIO_EUR,BE,2008-01-01,-3905.9
B9,S13,MIO_EUR,BE,2009-01-01,-18774.9
B9,S13,MIO_EUR,BE,2010-01-01,-14609.5
B9,S13,MIO_EUR,BE,2011-01-01,-15898.8
B9,S13,MIO_EUR,BE,2012-01-01,-16409.3
B9,S13,MIO_EUR,BE,2013-01-01,-12281.2
B9,S13,MIO_EUR,BE,2014-01-01,-12396.7
B9,S13,MIO_EUR,BE,2015-01-01,-10076.2
B9,S13,MIO_EUR,BE,2016-01-01,-10321.0
B9,S13,MIO_EUR,BE,2017-01-01,-3873.1
B9,S13,MIO_EUR,BG,2006-01-01,495.7
B9,S13,MIO_EUR,BG,2007-01-01,357.2
B9,S13,MIO_EUR,BG,2008-01-01,591.4
B9,S13,MIO_EUR,BG,2009-01-01,-1513.8
B9,S13,MIO_EUR,BG,2010-01-01,-1190.3
B9,S13,MIO_EUR,BG,2011-01-01,-812.8
B9,S13,MIO_EUR,BG,2012-01-01,-134.2
B9,S13,MIO_EUR,BG,2013-01-01,-151.5
B9,S13,MIO_EUR,BG,2014-01-01,-2320.3
B9,S13,MIO_EUR,BG,2015-01-01,-760.1
B9,S13,MIO_EUR,BG,2016-01-01,87.3
B9,S13,MIO_EUR,BG,2017-01-01,585.2
B9,S13,MIO_EUR,CY,2006-01-01,-166.9
B9,S13,MIO_EUR,CY,2007-01-01,566.1
B9,S13,MIO_EUR,CY,2008-01-01,164.6
B9,S13,MIO_EUR,CY,2009-01-01,-1014.7
B9,S13,MIO_EUR,CY,2010-01-01,-911.6
