currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time,date,value
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2010-01-01,246057.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2010-04-01,255429.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2010-07-01,261021.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2010-10-01,238029.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2011-01-01,246923.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2011-04-01,254728.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2011-07-01,253692.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2011-10-01,260739.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2012-01-01,268010.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2012-04-01,271363.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2012-07-01,271445.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2012-10-01,277550.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2013-01-01,281874.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2013-04-01,275015.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2013-07-01,277658.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2013-10-01,285129.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2014-01-01,287412.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2014-04-01,289336.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2014-07-01,290672.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2014-10-01,301925.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2015-01-01,322300.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2015-04-01,318677.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2015-07-01,313530.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2015-10-01,302321.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2016-01-01,277659.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2016-04-01,282157.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2016-07-01,286199.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2016-10-01,276239.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2017-01-01,282413.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2017-04-01,277238.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2017-07-01,276315.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2017-10-01,283848.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2018-01-01,285959.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,AT,2018-04-01,289257.0
MIO_NAC,FA__D__F,S1,S1,A_LE,WRL_REST,BE,1995-10-01,: 
