duration,sex,age,unit,geotime,date,value
M0-11,T,Y20-64,PC,DK,2005-01-01,19
M0-11,T,Y20-64,PC,DK,2006-01-01,21
M0-11,T,Y20-64,PC,DK,2007-01-01,23
M0-11,T,Y20-64,PC,DK,2008-01-01,21
M0-11,T,Y20-64,PC,DK,2009-01-01,18
M0-11,T,Y20-64,PC,DK,2010-01-01,17
M0-11,T,Y20-64,PC,DK,2011-01-01,18
M0-11,T,Y20-64,PC,DK,2012-01-01,18
M0-11,T,Y20-64,PC,DK,2013-01-01,19
M0-11,T,Y20-64,PC,DK,2014-01-01,19
M0-11,T,Y20-64,PC,DK,2015-01-01,19
M0-11,T,Y20-64,PC,DK,2016-01-01,21
M0-11,T,Y20-64,PC,DK,2017-01-01,20
M0-11,T,Y20-64,PC,EA18,2005-01-01,12
M0-11,T,Y20-64,PC,EA18,2006-01-01,13
M0-11,T,Y20-64,PC,EA18,2007-01-01,13
M0-11,T,Y20-64,PC,EA18,2008-01-01,13
M0-11,T,Y20-64,PC,EA18,2009-01-01,11
M0-11,T,Y20-64,PC,EA18,2010-01-01,12
M0-11,T,Y20-64,PC,EA18,2011-01-01,12
M0-11,T,Y20-64,PC,EA18,2012-01-01,12
M0-11,T,Y20-64,PC,EA18,2013-01-01,11
M0-11,T,Y20-64,PC,EA18,2014-01-01,12
M0-11,T,Y20-64,PC,EA18,2015-01-01,12
M0-11,T,Y20-64,PC,EA18,2016-01-01,12
M0-11,T,Y20-64,PC,EA18,2017-01-01,13
M0-11,T,Y20-64,PC,EA19,2005-01-01,12
M0-11,T,Y20-64,PC,EA19,2006-01-01,13
M0-11,T,Y20-64,PC,EA19,2007-01-01,13
M0-11,T,Y20-64,PC,EA19,2008-01-01,13
M0-11,T,Y20-64,PC,EA19,2009-01-01,11
M0-11,T,Y20-64,PC,EA19,2010-01-01,12
M0-11,T,Y20-64,PC,EA19,2011-01-01,12
M0-11,T,Y20-64,PC,EA19,2012-01-01,12
M0-11,T,Y20-64,PC,EA19,2013-01-01,11
