currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time,date,value
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2007-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2008-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2009-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2010-01-01,5096.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2011-01-01,5243.6 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2012-01-01,8690.3 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2013-01-01,9799.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2014-01-01,10951.5
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2015-01-01,9877.1
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2016-01-01,12281.7
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,BG,2017-01-01,14445.6
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,1995-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,1996-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,1997-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,1998-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,1999-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2000-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2001-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2002-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2003-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2004-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2005-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2006-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2007-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2008-01-01,40526.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2009-01-01,51968.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2010-01-01,43633.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2011-01-01,32232.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2012-01-01,25522.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2013-01-01,14034.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2014-01-01,12078.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2015-01-01,12113.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2016-01-01,14805.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CY,2017-01-01,17467.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,1995-01-01,20077.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,1996-01-01,37511.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,1997-01-01,35739.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,1998-01-01,35872.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,1999-01-01,104345.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2000-01-01,180431.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2001-01-01,185139.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2002-01-01,274345.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2003-01-01,343969.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2004-01-01,372238.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2005-01-01,467808.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2006-01-01,532163.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2007-01-01,618625.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2008-01-01,505137.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2009-01-01,456390.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2010-01-01,453391.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2011-01-01,451016.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2012-01-01,490768.0 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2013-01-01,523351.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2014-01-01,637082.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2015-01-01,711877.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2016-01-01,753439.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,CZ,2017-01-01,777522.0
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,1995-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,1996-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,1997-01-01,: 
MIO_NAC,WRL_REST,S1,S1,A_LE,FA__P__F,DE,1998-01-01,: 
