sex,age,unit,isced11,geo\time,date,value
T,Y25-64,PC,ED3-8,AT,2005-01-01,80.4 
T,Y25-64,PC,ED3-8,AT,2006-01-01,80.1 b
T,Y25-64,PC,ED3-8,AT,2007-01-01,79.9 
T,Y25-64,PC,ED3-8,AT,2008-01-01,80.9 
T,Y25-64,PC,ED3-8,AT,2009-01-01,81.6 
T,Y25-64,PC,ED3-8,AT,2010-01-01,82.4 
T,Y25-64,PC,ED3-8,AT,2011-01-01,82.4 
T,Y25-64,PC,ED3-8,AT,2012-01-01,82.9
T,Y25-64,PC,ED3-8,AT,2013-01-01,83.0 
T,Y25-64,PC,ED3-8,AT,2014-01-01,83.9 b
T,Y25-64,PC,ED3-8,AT,2015-01-01,84.6 
T,Y25-64,PC,ED3-8,AT,2016-01-01,84.5 
T,Y25-64,PC,ED3-8,AT,2017-01-01,85.0 
T,Y25-64,PC,ED3-8,BE,2005-01-01,66.1 
T,Y25-64,PC,ED3-8,BE,2006-01-01,66.9 
T,Y25-64,PC,ED3-8,BE,2007-01-01,68.0 
T,Y25-64,PC,ED3-8,BE,2008-01-01,69.6 b
T,Y25-64,PC,ED3-8,BE,2009-01-01,70.6 
T,Y25-64,PC,ED3-8,BE,2010-01-01,70.5 
T,Y25-64,PC,ED3-8,BE,2011-01-01,71.3 
T,Y25-64,PC,ED3-8,BE,2012-01-01,71.6
T,Y25-64,PC,ED3-8,BE,2013-01-01,72.8 
T,Y25-64,PC,ED3-8,BE,2014-01-01,73.6 b
T,Y25-64,PC,ED3-8,BE,2015-01-01,74.7 
T,Y25-64,PC,ED3-8,BE,2016-01-01,75.1 
T,Y25-64,PC,ED3-8,BE,2017-01-01,76.8 b
T,Y25-64,PC,ED3-8,BG,2005-01-01,72.5 
T,Y25-64,PC,ED3-8,BG,2006-01-01,75.5 b
T,Y25-64,PC,ED3-8,BG,2007-01-01,77.4 
T,Y25-64,PC,ED3-8,BG,2008-01-01,77.5 
T,Y25-64,PC,ED3-8,BG,2009-01-01,77.9 
T,Y25-64,PC,ED3-8,BG,2010-01-01,79.1 b
T,Y25-64,PC,ED3-8,BG,2011-01-01,80.0 
T,Y25-64,PC,ED3-8,BG,2012-01-01,81.0
T,Y25-64,PC,ED3-8,BG,2013-01-01,81.8 
T,Y25-64,PC,ED3-8,BG,2014-01-01,81.1 b
T,Y25-64,PC,ED3-8,BG,2015-01-01,81.9 
T,Y25-64,PC,ED3-8,BG,2016-01-01,82.3 
T,Y25-64,PC,ED3-8,BG,2017-01-01,82.8 
T,Y25-64,PC,ED3-8,CH,2005-01-01,83.0 
