age,sex,unit,geotime,date,value
Y_GE15,F,PC_POP,LV,2017-01-01,
Y_GE15,F,PC_POP,MT,2007-01-01,22
Y_GE15,F,PC_POP,MT,2010-01-01,17
Y_GE15,F,PC_POP,MT,2012-01-01,21
Y_GE15,F,PC_POP,MT,2015-01-01,
Y_GE15,F,PC_POP,MT,2017-01-01,
Y_GE15,F,PC_POP,NL,2007-01-01,27
Y_GE15,F,PC_POP,NL,2010-01-01,22
Y_GE15,F,PC_POP,NL,2012-01-01,19
Y_GE15,F,PC_POP,NL,2015-01-01,
Y_GE15,F,PC_POP,NL,2017-01-01,
Y_GE15,F,PC_POP,PL,2007-01-01,30
Y_GE15,F,PC_POP,PL,2010-01-01,28
Y_GE15,F,PC_POP,PL,2012-01-01,26
Y_GE15,F,PC_POP,PL,2015-01-01,
Y_GE15,F,PC_POP,PL,2017-01-01,
Y_GE15,F,PC_POP,PT,2007-01-01,14
Y_GE15,F,PC_POP,PT,2010-01-01,17
Y_GE15,F,PC_POP,PT,2012-01-01,14
Y_GE15,F,PC_POP,PT,2015-01-01,
Y_GE15,F,PC_POP,PT,2017-01-01,
Y_GE15,F,PC_POP,RO,2007-01-01,20
Y_GE15,F,PC_POP,RO,2010-01-01,20
Y_GE15,F,PC_POP,RO,2012-01-01,22
Y_GE15,F,PC_POP,RO,2015-01-01,
Y_GE15,F,PC_POP,RO,2017-01-01,
Y_GE15,F,PC_POP,SE,2007-01-01,22
Y_GE15,F,PC_POP,SE,2010-01-01,20
Y_GE15,F,PC_POP,SE,2012-01-01,13
Y_GE15,F,PC_POP,SE,2015-01-01,
Y_GE15,F,PC_POP,SE,2017-01-01,
Y_GE15,F,PC_POP,SI,2007-01-01,21
Y_GE15,F,PC_POP,SI,2010-01-01,21
Y_GE15,F,PC_POP,SI,2012-01-01,25
Y_GE15,F,PC_POP,SI,2015-01-01,
Y_GE15,F,PC_POP,SI,2017-01-01,
Y_GE15,F,PC_POP,SK,2007-01-01,19
Y_GE15,F,PC_POP,SK,2010-01-01,17
Y_GE15,F,PC_POP,SK,2012-01-01,17
Y_GE15,F,PC_POP,SK,2015-01-01,
Y_GE15,F,PC_POP,SK,2017-01-01,
Y_GE15,F,PC_POP,UK,2007-01-01,32
Y_GE15,F,PC_POP,UK,2010-01-01,25
Y_GE15,F,PC_POP,UK,2012-01-01,26
Y_GE15,F,PC_POP,UK,2015-01-01,
Y_GE15,F,PC_POP,UK,2017-01-01,
Y_GE15,M,PC_POP,AT,2007-01-01,38
Y_GE15,M,PC_POP,AT,2010-01-01,41
Y_GE15,M,PC_POP,AT,2012-01-01,40
Y_GE15,M,PC_POP,AT,2015-01-01,
Y_GE15,M,PC_POP,AT,2017-01-01,
Y_GE15,M,PC_POP,BE,2007-01-01,30
Y_GE15,M,PC_POP,BE,2010-01-01,34
Y_GE15,M,PC_POP,BE,2012-01-01,30
Y_GE15,M,PC_POP,BE,2015-01-01,
Y_GE15,M,PC_POP,BE,2017-01-01,
Y_GE15,M,PC_POP,BG,2007-01-01,42
Y_GE15,M,PC_POP,BG,2010-01-01,49
Y_GE15,M,PC_POP,BG,2012-01-01,42
Y_GE15,M,PC_POP,BG,2015-01-01,
Y_GE15,M,PC_POP,BG,2017-01-01,
Y_GE15,M,PC_POP,CY,2007-01-01,48
Y_GE15,M,PC_POP,CY,2010-01-01,49
Y_GE15,M,PC_POP,CY,2012-01-01,42
Y_GE15,M,PC_POP,CY,2015-01-01,
Y_GE15,M,PC_POP,CY,2017-01-01,
Y_GE15,M,PC_POP,CZ,2007-01-01,35
