age,sex,reason,unit,quantile,geotime,date,value
Y_GE16,F,TOOEFW,PC,TOTAL,EA18,2010-01-01,2.8
Y_GE16,F,TOOEFW,PC,TOTAL,EA18,2011-01-01,3.1
Y_GE16,F,TOOEFW,PC,TOTAL,EA18,2012-01-01,3.1
Y_GE16,F,TOOEFW,PC,TOTAL,EA18,2013-01-01,3.5
Y_GE16,F,TOOEFW,PC,TOTAL,EA18,2014-01-01,3.6
Y_GE16,F,TOOEFW,PC,TOTAL,EA18,2015-01-01,2.8
Y_GE16,F,TOOEFW,PC,TOTAL,EA18,2016-01-01,2.5
Y_GE16,F,TOOEFW,PC,TOTAL,EA18,2017-01-01,1.5
Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2008-01-01,2.7
Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2009-01-01,2.9
Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2010-01-01,2.8
Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2011-01-01,3.1
Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2012-01-01,3.1
Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2013-01-01,3.5
Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2014-01-01,3.6
Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2015-01-01,2.8
Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2016-01-01,2.5
Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2017-01-01,1.5
Y_GE16,F,TOOEFW,PC,TOTAL,EE,2008-01-01,8.7
Y_GE16,F,TOOEFW,PC,TOTAL,EE,2009-01-01,4.8
Y_GE16,F,TOOEFW,PC,TOTAL,EE,2010-01-01,5.1
Y_GE16,F,TOOEFW,PC,TOTAL,EE,2011-01-01,8.5
Y_GE16,F,TOOEFW,PC,TOTAL,EE,2012-01-01,9.4
Y_GE16,F,TOOEFW,PC,TOTAL,EE,2013-01-01,9.9
Y_GE16,F,TOOEFW,PC,TOTAL,EE,2014-01-01,13.5
Y_GE16,F,TOOEFW,PC,TOTAL,EE,2015-01-01,14.5
Y_GE16,F,TOOEFW,PC,TOTAL,EE,2016-01-01,17.7
Y_GE16,F,TOOEFW,PC,TOTAL,EE,2017-01-01,13.9
Y_GE16,F,TOOEFW,PC,TOTAL,EL,2008-01-01,6.3
Y_GE16,F,TOOEFW,PC,TOTAL,EL,2009-01-01,6.8
Y_GE16,F,TOOEFW,PC,TOTAL,EL,2010-01-01,6.7
Y_GE16,F,TOOEFW,PC,TOTAL,EL,2011-01-01,8.6
Y_GE16,F,TOOEFW,PC,TOTAL,EL,2012-01-01,9.1
Y_GE16,F,TOOEFW,PC,TOTAL,EL,2013-01-01,9.9
Y_GE16,F,TOOEFW,PC,TOTAL,EL,2014-01-01,12.1
Y_GE16,F,TOOEFW,PC,TOTAL,EL,2015-01-01,13.3
Y_GE16,F,TOOEFW,PC,TOTAL,EL,2016-01-01,14.4
Y_GE16,F,TOOEFW,PC,TOTAL,EL,2017-01-01,11.1
Y_GE16,F,TOOEFW,PC,TOTAL,ES,2008-01-01,0.5
Y_GE16,F,TOOEFW,PC,TOTAL,ES,2009-01-01,0.6
Y_GE16,F,TOOEFW,PC,TOTAL,ES,2010-01-01,0.4
Y_GE16,F,TOOEFW,PC,TOTAL,ES,2011-01-01,0.6
Y_GE16,F,TOOEFW,PC,TOTAL,ES,2012-01-01,0.9
Y_GE16,F,TOOEFW,PC,TOTAL,ES,2013-01-01,0.8
Y_GE16,F,TOOEFW,PC,TOTAL,ES,2014-01-01,0.7
Y_GE16,F,TOOEFW,PC,TOTAL,ES,2015-01-01,0.6
Y_GE16,F,TOOEFW,PC,TOTAL,ES,2016-01-01,0.6
Y_GE16,F,TOOEFW,PC,TOTAL,ES,2017-01-01,0.2
Y_GE16,F,TOOEFW,PC,TOTAL,EU,2008-01-01,3.5
Y_GE16,F,TOOEFW,PC,TOTAL,EU,2009-01-01,3.5
Y_GE16,F,TOOEFW,PC,TOTAL,EU,2010-01-01,3.6
Y_GE16,F,TOOEFW,PC,TOTAL,EU,2011-01-01,3.8
Y_GE16,F,TOOEFW,PC,TOTAL,EU,2012-01-01,3.9
Y_GE16,F,TOOEFW,PC,TOTAL,EU,2013-01-01,4.2
Y_GE16,F,TOOEFW,PC,TOTAL,EU,2014-01-01,4.1
Y_GE16,F,TOOEFW,PC,TOTAL,EU,2015-01-01,3.6
Y_GE16,F,TOOEFW,PC,TOTAL,EU,2016-01-01,2.9
Y_GE16,F,TOOEFW,PC,TOTAL,EU,2017-01-01,1.9
Y_GE16,F,TOOEFW,PC,TOTAL,EU27,2008-01-01,3.5
Y_GE16,F,TOOEFW,PC,TOTAL,EU27,2009-01-01,3.5
Y_GE16,F,TOOEFW,PC,TOTAL,EU27,2010-01-01,3.5
Y_GE16,F,TOOEFW,PC,TOTAL,EU27,2011-01-01,3.8
Y_GE16,F,TOOEFW,PC,TOTAL,EU27,2012-01-01,3.9
Y_GE16,F,TOOEFW,PC,TOTAL,EU27,2013-01-01,4.2
Y_GE16,F,TOOEFW,PC,TOTAL,EU27,2014-01-01,4.1
Y_GE16,F,TOOEFW,PC,TOTAL,EU27,2015-01-01,3.6
Y_GE16,F,TOOEFW,PC,TOTAL,EU27,2016-01-01,2.9
Y_GE16,F,TOOEFW,PC,TOTAL,EU27,2017-01-01,1.9
Y_GE16,F,TOOEFW,PC,TOTAL,EU28,2008-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,EU28,2009-01-01,
Y_GE16,F,TOOEFW,PC,TOTAL,EU28,2010-01-01,3.6
Y_GE16,F,TOOEFW,PC,TOTAL,EU28,2011-01-01,3.8
Y_GE16,F,TOOEFW,PC,TOTAL,EU28,2012-01-01,3.9
Y_GE16,F,TOOEFW,PC,TOTAL,EU28,2013-01-01,4.2
Y_GE16,F,TOOEFW,PC,TOTAL,EU28,2014-01-01,4.1
Y_GE16,F,TOOEFW,PC,TOTAL,EU28,2015-01-01,3.6
Y_GE16,F,TOOEFW,PC,TOTAL,EU28,2016-01-01,2.9
Y_GE16,F,TOOEFW,PC,TOTAL,EU28,2017-01-01,1.9
Y_GE16,F,TOOEFW,PC,TOTAL,FI,2008-01-01,1.0
Y_GE16,F,TOOEFW,PC,TOTAL,FI,2009-01-01,4.4
Y_GE16,F,TOOEFW,PC,TOTAL,FI,2010-01-01,4.7
Y_GE16,F,TOOEFW,PC,TOTAL,FI,2011-01-01,5.8
