na_item,nace_r2,unit,geotime,date,value
B1G,G-I,MIO_EUR_NSA,AL,2015-07-01,440
B1G,G-I,MIO_EUR_NSA,AL,2015-10-01,433
B1G,G-I,MIO_EUR_NSA,AL,2016-01-01,356
B1G,G-I,MIO_EUR_NSA,AL,2016-04-01,410
B1G,G-I,MIO_EUR_NSA,AL,2016-07-01,475
B1G,G-I,MIO_EUR_NSA,AL,2016-10-01,467
B1G,G-I,MIO_EUR_NSA,AL,2017-01-01,389
B1G,G-I,MIO_EUR_NSA,AL,2017-04-01,457
B1G,G-I,MIO_EUR_NSA,AL,2017-07-01,530
B1G,G-I,MIO_EUR_NSA,AL,2017-10-01,515
B1G,G-I,MIO_EUR_NSA,AL,2018-01-01,422
B1G,G-I,MIO_EUR_NSA,AL,2018-04-01,521
B1G,G-I,MIO_EUR_NSA,AT,2015-07-01,17864
B1G,G-I,MIO_EUR_NSA,AT,2015-10-01,18157
B1G,G-I,MIO_EUR_NSA,AT,2016-01-01,18487
B1G,G-I,MIO_EUR_NSA,AT,2016-04-01,17349
B1G,G-I,MIO_EUR_NSA,AT,2016-07-01,18369
B1G,G-I,MIO_EUR_NSA,AT,2016-10-01,18664
B1G,G-I,MIO_EUR_NSA,AT,2017-01-01,19160
B1G,G-I,MIO_EUR_NSA,AT,2017-04-01,18135
B1G,G-I,MIO_EUR_NSA,AT,2017-07-01,18922
B1G,G-I,MIO_EUR_NSA,AT,2017-10-01,19325
B1G,G-I,MIO_EUR_NSA,AT,2018-01-01,20170
B1G,G-I,MIO_EUR_NSA,AT,2018-04-01,18802
B1G,G-I,MIO_EUR_NSA,BE,2015-07-01,17985
B1G,G-I,MIO_EUR_NSA,BE,2015-10-01,18710
B1G,G-I,MIO_EUR_NSA,BE,2016-01-01,18018
B1G,G-I,MIO_EUR_NSA,BE,2016-04-01,18660
B1G,G-I,MIO_EUR_NSA,BE,2016-07-01,18162
B1G,G-I,MIO_EUR_NSA,BE,2016-10-01,18871
B1G,G-I,MIO_EUR_NSA,BE,2017-01-01,18509
B1G,G-I,MIO_EUR_NSA,BE,2017-04-01,19271
B1G,G-I,MIO_EUR_NSA,BE,2017-07-01,18751
B1G,G-I,MIO_EUR_NSA,BE,2017-10-01,19459
B1G,G-I,MIO_EUR_NSA,BE,2018-01-01,18933
B1G,G-I,MIO_EUR_NSA,BE,2018-04-01,19658
B1G,G-I,MIO_EUR_NSA,BG,2015-07-01,2363
B1G,G-I,MIO_EUR_NSA,BG,2015-10-01,2634
B1G,G-I,MIO_EUR_NSA,BG,2016-01-01,1490
B1G,G-I,MIO_EUR_NSA,BG,2016-04-01,2208
B1G,G-I,MIO_EUR_NSA,BG,2016-07-01,2579
B1G,G-I,MIO_EUR_NSA,BG,2016-10-01,2909
B1G,G-I,MIO_EUR_NSA,BG,2017-01-01,1708
B1G,G-I,MIO_EUR_NSA,BG,2017-04-01,2412
B1G,G-I,MIO_EUR_NSA,BG,2017-07-01,2807
B1G,G-I,MIO_EUR_NSA,BG,2017-10-01,2981
B1G,G-I,MIO_EUR_NSA,BG,2018-01-01,1811
B1G,G-I,MIO_EUR_NSA,BG,2018-04-01,2594
B1G,G-I,MIO_EUR_NSA,CH,2015-07-01,31017
B1G,G-I,MIO_EUR_NSA,CH,2015-10-01,29981
B1G,G-I,MIO_EUR_NSA,CH,2016-01-01,28217
B1G,G-I,MIO_EUR_NSA,CH,2016-04-01,30072
B1G,G-I,MIO_EUR_NSA,CH,2016-07-01,30484
B1G,G-I,MIO_EUR_NSA,CH,2016-10-01,30668
B1G,G-I,MIO_EUR_NSA,CH,2017-01-01,29966
B1G,G-I,MIO_EUR_NSA,CH,2017-04-01,31039
B1G,G-I,MIO_EUR_NSA,CH,2017-07-01,30234
