age,unit,sex,geotime,date,value
TOTAL,AVG_3Y,T,AT,1995-01-01,
TOTAL,AVG_3Y,T,AT,1996-01-01,
TOTAL,AVG_3Y,T,AT,1997-01-01,4
TOTAL,AVG_3Y,T,AT,1998-01-01,4
TOTAL,AVG_3Y,T,AT,1999-01-01,4
TOTAL,AVG_3Y,T,AT,2000-01-01,4
TOTAL,AVG_3Y,T,AT,2001-01-01,4
TOTAL,AVG_3Y,T,AT,2002-01-01,4
TOTAL,AVG_3Y,T,AT,2003-01-01,4
TOTAL,AVG_3Y,T,AT,2004-01-01,4
TOTAL,AVG_3Y,T,AT,2005-01-01,5
TOTAL,AVG_3Y,T,AT,2006-01-01,5
TOTAL,AVG_3Y,T,AT,2007-01-01,5
TOTAL,AVG_3Y,T,AT,2008-01-01,4
TOTAL,AVG_3Y,T,AT,2009-01-01,4
TOTAL,AVG_3Y,T,AT,2010-01-01,4
TOTAL,AVG_3Y,T,AT,2011-01-01,4
TOTAL,AVG_3Y,T,AT,2012-01-01,4
TOTAL,AVG_3Y,T,AT,2013-01-01,5
TOTAL,AVG_3Y,T,AT,2014-01-01,
TOTAL,AVG_3Y,T,AT,2015-01-01,
TOTAL,AVG_3Y,T,AT,2016-01-01,
TOTAL,AVG_3Y,T,AT,2017-01-01,5
TOTAL,AVG_3Y,T,BE,1995-01-01,
TOTAL,AVG_3Y,T,BE,1996-01-01,
TOTAL,AVG_3Y,T,BE,1997-01-01,9
TOTAL,AVG_3Y,T,BE,1998-01-01,9
TOTAL,AVG_3Y,T,BE,1999-01-01,9
TOTAL,AVG_3Y,T,BE,2000-01-01,8
TOTAL,AVG_3Y,T,BE,2001-01-01,7
TOTAL,AVG_3Y,T,BE,2002-01-01,7
TOTAL,AVG_3Y,T,BE,2003-01-01,7
TOTAL,AVG_3Y,T,BE,2004-01-01,8
TOTAL,AVG_3Y,T,BE,2005-01-01,8
TOTAL,AVG_3Y,T,BE,2006-01-01,8
TOTAL,AVG_3Y,T,BE,2007-01-01,8
TOTAL,AVG_3Y,T,BE,2008-01-01,7
TOTAL,AVG_3Y,T,BE,2009-01-01,7
TOTAL,AVG_3Y,T,BE,2010-01-01,7
TOTAL,AVG_3Y,T,BE,2011-01-01,7
TOTAL,AVG_3Y,T,BE,2012-01-01,7
TOTAL,AVG_3Y,T,BE,2013-01-01,7
TOTAL,AVG_3Y,T,BE,2014-01-01,
TOTAL,AVG_3Y,T,BE,2015-01-01,
TOTAL,AVG_3Y,T,BE,2016-01-01,
TOTAL,AVG_3Y,T,BE,2017-01-01,7
TOTAL,AVG_3Y,T,BG,1995-01-01,
TOTAL,AVG_3Y,T,BG,1996-01-01,
TOTAL,AVG_3Y,T,BG,1997-01-01,
TOTAL,AVG_3Y,T,BG,1998-01-01,
TOTAL,AVG_3Y,T,BG,1999-01-01,
TOTAL,AVG_3Y,T,BG,2000-01-01,
TOTAL,AVG_3Y,T,BG,2001-01-01,
TOTAL,AVG_3Y,T,BG,2002-01-01,18
TOTAL,AVG_3Y,T,BG,2003-01-01,17
TOTAL,AVG_3Y,T,BG,2004-01-01,14
TOTAL,AVG_3Y,T,BG,2005-01-01,12
TOTAL,AVG_3Y,T,BG,2006-01-01,10
TOTAL,AVG_3Y,T,BG,2007-01-01,8
TOTAL,AVG_3Y,T,BG,2008-01-01,7
TOTAL,AVG_3Y,T,BG,2009-01-01,6
TOTAL,AVG_3Y,T,BG,2010-01-01,7
TOTAL,AVG_3Y,T,BG,2011-01-01,9
TOTAL,AVG_3Y,T,BG,2012-01-01,11
TOTAL,AVG_3Y,T,BG,2013-01-01,12
TOTAL,AVG_3Y,T,BG,2014-01-01,
TOTAL,AVG_3Y,T,BG,2015-01-01,
TOTAL,AVG_3Y,T,BG,2016-01-01,
TOTAL,AVG_3Y,T,BG,2017-01-01,7
TOTAL,AVG_3Y,T,CY,1995-01-01,
TOTAL,AVG_3Y,T,CY,1996-01-01,
TOTAL,AVG_3Y,T,CY,1997-01-01,
TOTAL,AVG_3Y,T,CY,1998-01-01,
TOTAL,AVG_3Y,T,CY,1999-01-01,
TOTAL,AVG_3Y,T,CY,2000-01-01,
TOTAL,AVG_3Y,T,CY,2001-01-01,
TOTAL,AVG_3Y,T,CY,2002-01-01,4
TOTAL,AVG_3Y,T,CY,2003-01-01,3
TOTAL,AVG_3Y,T,CY,2004-01-01,4
TOTAL,AVG_3Y,T,CY,2005-01-01,4
TOTAL,AVG_3Y,T,CY,2006-01-01,4
TOTAL,AVG_3Y,T,CY,2007-01-01,4
TOTAL,AVG_3Y,T,CY,2008-01-01,4
TOTAL,AVG_3Y,T,CY,2009-01-01,4
TOTAL,AVG_3Y,T,CY,2010-01-01,5
TOTAL,AVG_3Y,T,CY,2011-01-01,6
TOTAL,AVG_3Y,T,CY,2012-01-01,8
TOTAL,AVG_3Y,T,CY,2013-01-01,11
TOTAL,AVG_3Y,T,CY,2014-01-01,
TOTAL,AVG_3Y,T,CY,2015-01-01,
TOTAL,AVG_3Y,T,CY,2016-01-01,
TOTAL,AVG_3Y,T,CY,2017-01-01,13
TOTAL,AVG_3Y,T,CZ,1995-01-01,
TOTAL,AVG_3Y,T,CZ,1996-01-01,
TOTAL,AVG_3Y,T,CZ,1997-01-01,4
TOTAL,AVG_3Y,T,CZ,1998-01-01,5
TOTAL,AVG_3Y,T,CZ,1999-01-01,6
TOTAL,AVG_3Y,T,CZ,2000-01-01,8
TOTAL,AVG_3Y,T,CZ,2001-01-01,8
TOTAL,AVG_3Y,T,CZ,2002-01-01,8
TOTAL,AVG_3Y,T,CZ,2003-01-01,7
TOTAL,AVG_3Y,T,CZ,2004-01-01,7
TOTAL,AVG_3Y,T,CZ,2005-01-01,8
TOTAL,AVG_3Y,T,CZ,2006-01-01,7
TOTAL,AVG_3Y,T,CZ,2007-01-01,6
TOTAL,AVG_3Y,T,CZ,2008-01-01,5
TOTAL,AVG_3Y,T,CZ,2009-01-01,5
TOTAL,AVG_3Y,T,CZ,2010-01-01,6
TOTAL,AVG_3Y,T,CZ,2011-01-01,6
TOTAL,AVG_3Y,T,CZ,2012-01-01,7
TOTAL,AVG_3Y,T,CZ,2013-01-01,6
TOTAL,AVG_3Y,T,CZ,2014-01-01,
TOTAL,AVG_3Y,T,CZ,2015-01-01,
TOTAL,AVG_3Y,T,CZ,2016-01-01,
TOTAL,AVG_3Y,T,CZ,2017-01-01,4
TOTAL,AVG_3Y,T,DE,1995-01-01,
TOTAL,AVG_3Y,T,DE,1996-01-01,
TOTAL,AVG_3Y,T,DE,1997-01-01,8
TOTAL,AVG_3Y,T,DE,1998-01-01,9
TOTAL,AVG_3Y,T,DE,1999-01-01,9
TOTAL,AVG_3Y,T,DE,2000-01-01,8
TOTAL,AVG_3Y,T,DE,2001-01-01,8
TOTAL,AVG_3Y,T,DE,2002-01-01,8
TOTAL,AVG_3Y,T,DE,2003-01-01,8
TOTAL,AVG_3Y,T,DE,2004-01-01,9
TOTAL,AVG_3Y,T,DE,2005-01-01,10
TOTAL,AVG_3Y,T,DE,2006-01-01,10
TOTAL,AVG_3Y,T,DE,2007-01-01,9
TOTAL,AVG_3Y,T,DE,2008-01-01,8
TOTAL,AVG_3Y,T,DE,2009-01-01,7
TOTAL,AVG_3Y,T,DE,2010-01-01,7
TOTAL,AVG_3Y,T,DE,2011-01-01,6
TOTAL,AVG_3Y,T,DE,2012-01-01,6
TOTAL,AVG_3Y,T,DE,2013-01-01,5
TOTAL,AVG_3Y,T,DE,2014-01-01,
TOTAL,AVG_3Y,T,DE,2015-01-01,
TOTAL,AVG_3Y,T,DE,2016-01-01,
TOTAL,AVG_3Y,T,DE,2017-01-01,4
TOTAL,AVG_3Y,T,DK,1995-01-01,
TOTAL,AVG_3Y,T,DK,1996-01-01,
TOTAL,AVG_3Y,T,DK,1997-01-01,6
TOTAL,AVG_3Y,T,DK,1998-01-01,5
TOTAL,AVG_3Y,T,DK,1999-01-01,5
TOTAL,AVG_3Y,T,DK,2000-01-01,4
TOTAL,AVG_3Y,T,DK,2001-01-01,4
TOTAL,AVG_3Y,T,DK,2002-01-01,4
TOTAL,AVG_3Y,T,DK,2003-01-01,4
TOTAL,AVG_3Y,T,DK,2004-01-01,5
TOTAL,AVG_3Y,T,DK,2005-01-01,5
TOTAL,AVG_3Y,T,DK,2006-01-01,4
TOTAL,AVG_3Y,T,DK,2007-01-01,4
TOTAL,AVG_3Y,T,DK,2008-01-01,3
TOTAL,AVG_3Y,T,DK,2009-01-01,4
TOTAL,AVG_3Y,T,DK,2010-01-01,5
TOTAL,AVG_3Y,T,DK,2011-01-01,7
TOTAL,AVG_3Y,T,DK,2012-01-01,7
TOTAL,AVG_3Y,T,DK,2013-01-01,7
TOTAL,AVG_3Y,T,DK,2014-01-01,
TOTAL,AVG_3Y,T,DK,2015-01-01,
TOTAL,AVG_3Y,T,DK,2016-01-01,
TOTAL,AVG_3Y,T,DK,2017-01-01,6
TOTAL,AVG_3Y,T,EE,1995-01-01,
TOTAL,AVG_3Y,T,EE,1996-01-01,
TOTAL,AVG_3Y,T,EE,1997-01-01,
TOTAL,AVG_3Y,T,EE,1998-01-01,
TOTAL,AVG_3Y,T,EE,1999-01-01,
TOTAL,AVG_3Y,T,EE,2000-01-01,
TOTAL,AVG_3Y,T,EE,2001-01-01,
TOTAL,AVG_3Y,T,EE,2002-01-01,12
TOTAL,AVG_3Y,T,EE,2003-01-01,11
TOTAL,AVG_3Y,T,EE,2004-01-01,10
TOTAL,AVG_3Y,T,EE,2005-01-01,9
TOTAL,AVG_3Y,T,EE,2006-01-01,8
TOTAL,AVG_3Y,T,EE,2007-01-01,6
TOTAL,AVG_3Y,T,EE,2008-01-01,5
TOTAL,AVG_3Y,T,EE,2009-01-01,7
TOTAL,AVG_3Y,T,EE,2010-01-01,11
TOTAL,AVG_3Y,T,EE,2011-01-01,14
TOTAL,AVG_3Y,T,EE,2012-01-01,13
TOTAL,AVG_3Y,T,EE,2013-01-01,10
TOTAL,AVG_3Y,T,EE,2014-01-01,
TOTAL,AVG_3Y,T,EE,2015-01-01,
TOTAL,AVG_3Y,T,EE,2016-01-01,
TOTAL,AVG_3Y,T,EE,2017-01-01,6
TOTAL,AVG_3Y,T,EL,1995-01-01,
TOTAL,AVG_3Y,T,EL,1996-01-01,
TOTAL,AVG_3Y,T,EL,1997-01-01,
TOTAL,AVG_3Y,T,EL,1998-01-01,
TOTAL,AVG_3Y,T,EL,1999-01-01,
TOTAL,AVG_3Y,T,EL,2000-01-01,11
TOTAL,AVG_3Y,T,EL,2001-01-01,11
TOTAL,AVG_3Y,T,EL,2002-01-01,10
TOTAL,AVG_3Y,T,EL,2003-01-01,10
TOTAL,AVG_3Y,T,EL,2004-01-01,10
TOTAL,AVG_3Y,T,EL,2005-01-01,10
TOTAL,AVG_3Y,T,EL,2006-01-01,9
TOTAL,AVG_3Y,T,EL,2007-01-01,9
TOTAL,AVG_3Y,T,EL,2008-01-01,8
TOTAL,AVG_3Y,T,EL,2009-01-01,8
TOTAL,AVG_3Y,T,EL,2010-01-01,10
TOTAL,AVG_3Y,T,EL,2011-01-01,13
TOTAL,AVG_3Y,T,EL,2012-01-01,18
TOTAL,AVG_3Y,T,EL,2013-01-01,23
TOTAL,AVG_3Y,T,EL,2014-01-01,
TOTAL,AVG_3Y,T,EL,2015-01-01,
TOTAL,AVG_3Y,T,EL,2016-01-01,
TOTAL,AVG_3Y,T,EL,2017-01-01,23
TOTAL,AVG_3Y,T,ES,1995-01-01,
TOTAL,AVG_3Y,T,ES,1996-01-01,
TOTAL,AVG_3Y,T,ES,1997-01-01,19
TOTAL,AVG_3Y,T,ES,1998-01-01,18
TOTAL,AVG_3Y,T,ES,1999-01-01,16
TOTAL,AVG_3Y,T,ES,2000-01-01,14
TOTAL,AVG_3Y,T,ES,2001-01-01,12
TOTAL,AVG_3Y,T,ES,2002-01-01,11
TOTAL,AVG_3Y,T,ES,2003-01-01,11
TOTAL,AVG_3Y,T,ES,2004-01-01,11
TOTAL,AVG_3Y,T,ES,2005-01-01,10
TOTAL,AVG_3Y,T,ES,2006-01-01,9
TOTAL,AVG_3Y,T,ES,2007-01-01,8
TOTAL,AVG_3Y,T,ES,2008-01-01,9
TOTAL,AVG_3Y,T,ES,2009-01-01,12
TOTAL,AVG_3Y,T,ES,2010-01-01,16
TOTAL,AVG_3Y,T,ES,2011-01-01,19
TOTAL,AVG_3Y,T,ES,2012-01-01,22
TOTAL,AVG_3Y,T,ES,2013-01-01,24
TOTAL,AVG_3Y,T,ES,2014-01-01,
TOTAL,AVG_3Y,T,ES,2015-01-01,
TOTAL,AVG_3Y,T,ES,2016-01-01,
TOTAL,AVG_3Y,T,ES,2017-01-01,19
TOTAL,AVG_3Y,T,FI,1995-01-01,
TOTAL,AVG_3Y,T,FI,1996-01-01,
TOTAL,AVG_3Y,T,FI,1997-01-01,14
TOTAL,AVG_3Y,T,FI,1998-01-01,12
TOTAL,AVG_3Y,T,FI,1999-01-01,11
TOTAL,AVG_3Y,T,FI,2000-01-01,10
TOTAL,AVG_3Y,T,FI,2001-01-01,9
TOTAL,AVG_3Y,T,FI,2002-01-01,9
TOTAL,AVG_3Y,T,FI,2003-01-01,9
TOTAL,AVG_3Y,T,FI,2004-01-01,9
TOTAL,AVG_3Y,T,FI,2005-01-01,8
TOTAL,AVG_3Y,T,FI,2006-01-01,8
TOTAL,AVG_3Y,T,FI,2007-01-01,7
TOTAL,AVG_3Y,T,FI,2008-01-01,7
TOTAL,AVG_3Y,T,FI,2009-01-01,7
TOTAL,AVG_3Y,T,FI,2010-01-01,7
TOTAL,AVG_3Y,T,FI,2011-01-01,8
TOTAL,AVG_3Y,T,FI,2012-01-01,8
TOTAL,AVG_3Y,T,FI,2013-01-01,7
TOTAL,AVG_3Y,T,FI,2014-01-01,
TOTAL,AVG_3Y,T,FI,2015-01-01,
TOTAL,AVG_3Y,T,FI,2016-01-01,
TOTAL,AVG_3Y,T,FI,2017-01-01,8
TOTAL,AVG_3Y,T,FR,1995-01-01,
TOTAL,AVG_3Y,T,FR,1996-01-01,
TOTAL,AVG_3Y,T,FR,1997-01-01,10
TOTAL,AVG_3Y,T,FR,1998-01-01,10
TOTAL,AVG_3Y,T,FR,1999-01-01,10
TOTAL,AVG_3Y,T,FR,2000-01-01,9
TOTAL,AVG_3Y,T,FR,2001-01-01,8
TOTAL,AVG_3Y,T,FR,2002-01-01,8
TOTAL,AVG_3Y,T,FR,2003-01-01,8
TOTAL,AVG_3Y,T,FR,2004-01-01,8
TOTAL,AVG_3Y,T,FR,2005-01-01,8
TOTAL,AVG_3Y,T,FR,2006-01-01,8
TOTAL,AVG_3Y,T,FR,2007-01-01,8
TOTAL,AVG_3Y,T,FR,2008-01-01,8
TOTAL,AVG_3Y,T,FR,2009-01-01,8
TOTAL,AVG_3Y,T,FR,2010-01-01,8
TOTAL,AVG_3Y,T,FR,2011-01-01,9
TOTAL,AVG_3Y,T,FR,2012-01-01,9
TOTAL,AVG_3Y,T,FR,2013-01-01,9
TOTAL,AVG_3Y,T,FR,2014-01-01,
TOTAL,AVG_3Y,T,FR,2015-01-01,
TOTAL,AVG_3Y,T,FR,2016-01-01,
TOTAL,AVG_3Y,T,FR,2017-01-01,10
TOTAL,AVG_3Y,T,HR,1995-01-01,
TOTAL,AVG_3Y,T,HR,1996-01-01,
TOTAL,AVG_3Y,T,HR,1997-01-01,
TOTAL,AVG_3Y,T,HR,1998-01-01,
TOTAL,AVG_3Y,T,HR,1999-01-01,
TOTAL,AVG_3Y,T,HR,2000-01-01,
TOTAL,AVG_3Y,T,HR,2001-01-01,
TOTAL,AVG_3Y,T,HR,2002-01-01,15
TOTAL,AVG_3Y,T,HR,2003-01-01,15
TOTAL,AVG_3Y,T,HR,2004-01-01,14
TOTAL,AVG_3Y,T,HR,2005-01-01,13
TOTAL,AVG_3Y,T,HR,2006-01-01,12
TOTAL,AVG_3Y,T,HR,2007-01-01,11
TOTAL,AVG_3Y,T,HR,2008-01-01,10
TOTAL,AVG_3Y,T,HR,2009-01-01,9
TOTAL,AVG_3Y,T,HR,2010-01-01,9
TOTAL,AVG_3Y,T,HR,2011-01-01,11
TOTAL,AVG_3Y,T,HR,2012-01-01,13
TOTAL,AVG_3Y,T,HR,2013-01-01,15
TOTAL,AVG_3Y,T,HR,2014-01-01,
TOTAL,AVG_3Y,T,HR,2015-01-01,
TOTAL,AVG_3Y,T,HR,2016-01-01,
TOTAL,AVG_3Y,T,HR,2017-01-01,13
TOTAL,AVG_3Y,T,HU,1995-01-01,
TOTAL,AVG_3Y,T,HU,1996-01-01,
TOTAL,AVG_3Y,T,HU,1997-01-01,
TOTAL,AVG_3Y,T,HU,1998-01-01,9
TOTAL,AVG_3Y,T,HU,1999-01-01,8
TOTAL,AVG_3Y,T,HU,2000-01-01,7
TOTAL,AVG_3Y,T,HU,2001-01-01,6
TOTAL,AVG_3Y,T,HU,2002-01-01,5
TOTAL,AVG_3Y,T,HU,2003-01-01,5
TOTAL,AVG_3Y,T,HU,2004-01-01,5
TOTAL,AVG_3Y,T,HU,2005-01-01,6
TOTAL,AVG_3Y,T,HU,2006-01-01,6
TOTAL,AVG_3Y,T,HU,2007-01-01,7
TOTAL,AVG_3Y,T,HU,2008-01-01,7
TOTAL,AVG_3Y,T,HU,2009-01-01,8
TOTAL,AVG_3Y,T,HU,2010-01-01,9
TOTAL,AVG_3Y,T,HU,2011-01-01,10
TOTAL,AVG_3Y,T,HU,2012-01-01,11
TOTAL,AVG_3Y,T,HU,2013-01-01,10
TOTAL,AVG_3Y,T,HU,2014-01-01,
TOTAL,AVG_3Y,T,HU,2015-01-01,
TOTAL,AVG_3Y,T,HU,2016-01-01,
TOTAL,AVG_3Y,T,HU,2017-01-01,5
TOTAL,AVG_3Y,T,IE,1995-01-01,
TOTAL,AVG_3Y,T,IE,1996-01-01,
TOTAL,AVG_3Y,T,IE,1997-01-01,11
TOTAL,AVG_3Y,T,IE,1998-01-01,9
TOTAL,AVG_3Y,T,IE,1999-01-01,7
TOTAL,AVG_3Y,T,IE,2000-01-01,5
TOTAL,AVG_3Y,T,IE,2001-01-01,4
TOTAL,AVG_3Y,T,IE,2002-01-01,4
TOTAL,AVG_3Y,T,IE,2003-01-01,4
TOTAL,AVG_3Y,T,IE,2004-01-01,4
TOTAL,AVG_3Y,T,IE,2005-01-01,4
TOTAL,AVG_3Y,T,IE,2006-01-01,4
TOTAL,AVG_3Y,T,IE,2007-01-01,4
TOTAL,AVG_3Y,T,IE,2008-01-01,5
TOTAL,AVG_3Y,T,IE,2009-01-01,8
TOTAL,AVG_3Y,T,IE,2010-01-01,11
