hhtyp,indic_il,sex,geotime,date,value
A1,R_GE65_LT65,DIFF,SK,2013-01-01,0.04
A1,R_GE65_LT65,DIFF,SK,2014-01-01,0.04
A1,R_GE65_LT65,DIFF,SK,2015-01-01,0.08
A1,R_GE65_LT65,DIFF,SK,2016-01-01,0.12
A1,R_GE65_LT65,DIFF,SK,2017-01-01,0.2
A1,R_GE65_LT65,DIFF,TR,2006-01-01,-0.1
A1,R_GE65_LT65,DIFF,TR,2007-01-01,-0.06
A1,R_GE65_LT65,DIFF,TR,2008-01-01,0.0
A1,R_GE65_LT65,DIFF,TR,2009-01-01,-0.16
A1,R_GE65_LT65,DIFF,TR,2010-01-01,-0.22
A1,R_GE65_LT65,DIFF,TR,2011-01-01,-0.19
A1,R_GE65_LT65,DIFF,TR,2012-01-01,-0.07
A1,R_GE65_LT65,DIFF,TR,2013-01-01,-0.08
A1,R_GE65_LT65,DIFF,TR,2014-01-01,-0.07
A1,R_GE65_LT65,DIFF,TR,2015-01-01,0.01
A1,R_GE65_LT65,DIFF,TR,2016-01-01,
A1,R_GE65_LT65,DIFF,TR,2017-01-01,
A1,R_GE65_LT65,DIFF,UK,2006-01-01,0.01
A1,R_GE65_LT65,DIFF,UK,2007-01-01,-0.01
A1,R_GE65_LT65,DIFF,UK,2008-01-01,-0.02
A1,R_GE65_LT65,DIFF,UK,2009-01-01,0.08
A1,R_GE65_LT65,DIFF,UK,2010-01-01,0.01
A1,R_GE65_LT65,DIFF,UK,2011-01-01,0.05
A1,R_GE65_LT65,DIFF,UK,2012-01-01,0.12
A1,R_GE65_LT65,DIFF,UK,2013-01-01,0.11
A1,R_GE65_LT65,DIFF,UK,2014-01-01,-0.02
A1,R_GE65_LT65,DIFF,UK,2015-01-01,0.12
A1,R_GE65_LT65,DIFF,UK,2016-01-01,0.13
A1,R_GE65_LT65,DIFF,UK,2017-01-01,
