hhtyp,indic_il,sex,geotime,date,value
A1,R_GE65_LT65,DIFF,DK,2007-01-01,-0.13
A1,R_GE65_LT65,DIFF,DK,2008-01-01,-0.13
A1,R_GE65_LT65,DIFF,DK,2009-01-01,-0.03
A1,R_GE65_LT65,DIFF,DK,2010-01-01,-0.06
A1,R_GE65_LT65,DIFF,DK,2011-01-01,-0.02
A1,R_GE65_LT65,DIFF,DK,2012-01-01,0.02
A1,R_GE65_LT65,DIFF,DK,2013-01-01,-0.01
A1,R_GE65_LT65,DIFF,DK,2014-01-01,0.03
A1,R_GE65_LT65,DIFF,DK,2015-01-01,0.01
A1,R_GE65_LT65,DIFF,DK,2016-01-01,0.02
A1,R_GE65_LT65,DIFF,DK,2017-01-01,0.07
A1,R_GE65_LT65,DIFF,EA18,2006-01-01,0.05
A1,R_GE65_LT65,DIFF,EA18,2007-01-01,0.03
A1,R_GE65_LT65,DIFF,EA18,2008-01-01,0.08
A1,R_GE65_LT65,DIFF,EA18,2009-01-01,0.1
A1,R_GE65_LT65,DIFF,EA18,2010-01-01,0.12
A1,R_GE65_LT65,DIFF,EA18,2011-01-01,0.12
A1,R_GE65_LT65,DIFF,EA18,2012-01-01,0.09
A1,R_GE65_LT65,DIFF,EA18,2013-01-01,0.12
A1,R_GE65_LT65,DIFF,EA18,2014-01-01,0.11
A1,R_GE65_LT65,DIFF,EA18,2015-01-01,0.1
A1,R_GE65_LT65,DIFF,EA18,2016-01-01,0.08
A1,R_GE65_LT65,DIFF,EA18,2017-01-01,0.08
A1,R_GE65_LT65,DIFF,EA19,2006-01-01,0.05
A1,R_GE65_LT65,DIFF,EA19,2007-01-01,0.03
A1,R_GE65_LT65,DIFF,EA19,2008-01-01,0.08
A1,R_GE65_LT65,DIFF,EA19,2009-01-01,0.11
A1,R_GE65_LT65,DIFF,EA19,2010-01-01,0.12
A1,R_GE65_LT65,DIFF,EA19,2011-01-01,0.12
A1,R_GE65_LT65,DIFF,EA19,2012-01-01,0.09
A1,R_GE65_LT65,DIFF,EA19,2013-01-01,0.12
A1,R_GE65_LT65,DIFF,EA19,2014-01-01,0.11
A1,R_GE65_LT65,DIFF,EA19,2015-01-01,0.1
A1,R_GE65_LT65,DIFF,EA19,2016-01-01,0.08
A1,R_GE65_LT65,DIFF,EA19,2017-01-01,0.08
A1,R_GE65_LT65,DIFF,EE,2006-01-01,-0.03
A1,R_GE65_LT65,DIFF,EE,2007-01-01,0.0
A1,R_GE65_LT65,DIFF,EE,2008-01-01,0.04
A1,R_GE65_LT65,DIFF,EE,2009-01-01,-0.04
A1,R_GE65_LT65,DIFF,EE,2010-01-01,0.16
A1,R_GE65_LT65,DIFF,EE,2011-01-01,0.17
A1,R_GE65_LT65,DIFF,EE,2012-01-01,-0.1
A1,R_GE65_LT65,DIFF,EE,2013-01-01,-0.04
A1,R_GE65_LT65,DIFF,EE,2014-01-01,0.07
A1,R_GE65_LT65,DIFF,EE,2015-01-01,0.19
A1,R_GE65_LT65,DIFF,EE,2016-01-01,0.02
A1,R_GE65_LT65,DIFF,EE,2017-01-01,0.01
A1,R_GE65_LT65,DIFF,EL,2006-01-01,0.11
A1,R_GE65_LT65,DIFF,EL,2007-01-01,-0.12
A1,R_GE65_LT65,DIFF,EL,2008-01-01,-0.18
A1,R_GE65_LT65,DIFF,EL,2009-01-01,0.02
A1,R_GE65_LT65,DIFF,EL,2010-01-01,0.05
A1,R_GE65_LT65,DIFF,EL,2011-01-01,-0.15
A1,R_GE65_LT65,DIFF,EL,2012-01-01,-0.08
A1,R_GE65_LT65,DIFF,EL,2013-01-01,-0.08
A1,R_GE65_LT65,DIFF,EL,2014-01-01,0.04
A1,R_GE65_LT65,DIFF,EL,2015-01-01,0.1
A1,R_GE65_LT65,DIFF,EL,2016-01-01,0.07
A1,R_GE65_LT65,DIFF,EL,2017-01-01,0.05
A1,R_GE65_LT65,DIFF,ES,2006-01-01,0.03
A1,R_GE65_LT65,DIFF,ES,2007-01-01,-0.06
A1,R_GE65_LT65,DIFF,ES,2008-01-01,0.13
A1,R_GE65_LT65,DIFF,ES,2009-01-01,0.12
A1,R_GE65_LT65,DIFF,ES,2010-01-01,0.27
A1,R_GE65_LT65,DIFF,ES,2011-01-01,0.24
A1,R_GE65_LT65,DIFF,ES,2012-01-01,0.17
A1,R_GE65_LT65,DIFF,ES,2013-01-01,0.24
A1,R_GE65_LT65,DIFF,ES,2014-01-01,0.19
A1,R_GE65_LT65,DIFF,ES,2015-01-01,0.24
A1,R_GE65_LT65,DIFF,ES,2016-01-01,0.2
A1,R_GE65_LT65,DIFF,ES,2017-01-01,0.21
A1,R_GE65_LT65,DIFF,EU27,2006-01-01,0.79
A1,R_GE65_LT65,DIFF,EU27,2007-01-01,0.05
A1,R_GE65_LT65,DIFF,EU27,2008-01-01,0.08
A1,R_GE65_LT65,DIFF,EU27,2009-01-01,0.11
A1,R_GE65_LT65,DIFF,EU27,2010-01-01,0.11
A1,R_GE65_LT65,DIFF,EU27,2011-01-01,0.12
A1,R_GE65_LT65,DIFF,EU27,2012-01-01,0.1
A1,R_GE65_LT65,DIFF,EU27,2013-01-01,0.12
A1,R_GE65_LT65,DIFF,EU27,2014-01-01,0.09
A1,R_GE65_LT65,DIFF,EU27,2015-01-01,0.1
A1,R_GE65_LT65,DIFF,EU27,2016-01-01,0.08
A1,R_GE65_LT65,DIFF,EU27,2017-01-01,0.09
A1,R_GE65_LT65,DIFF,EU28,2006-01-01,
A1,R_GE65_LT65,DIFF,EU28,2007-01-01,
A1,R_GE65_LT65,DIFF,EU28,2008-01-01,
A1,R_GE65_LT65,DIFF,EU28,2009-01-01,
A1,R_GE65_LT65,DIFF,EU28,2010-01-01,0.11
A1,R_GE65_LT65,DIFF,EU28,2011-01-01,0.12
A1,R_GE65_LT65,DIFF,EU28,2012-01-01,0.1
A1,R_GE65_LT65,DIFF,EU28,2013-01-01,0.12
A1,R_GE65_LT65,DIFF,EU28,2014-01-01,0.09
A1,R_GE65_LT65,DIFF,EU28,2015-01-01,0.09
A1,R_GE65_LT65,DIFF,EU28,2016-01-01,0.09
A1,R_GE65_LT65,DIFF,EU28,2017-01-01,0.09
A1,R_GE65_LT65,DIFF,FI,2006-01-01,0.01
A1,R_GE65_LT65,DIFF,FI,2007-01-01,-0.02
A1,R_GE65_LT65,DIFF,FI,2008-01-01,0.05
A1,R_GE65_LT65,DIFF,FI,2009-01-01,0.05
A1,R_GE65_LT65,DIFF,FI,2010-01-01,0.06
A1,R_GE65_LT65,DIFF,FI,2011-01-01,0.14
A1,R_GE65_LT65,DIFF,FI,2012-01-01,0.1
A1,R_GE65_LT65,DIFF,FI,2013-01-01,0.02
A1,R_GE65_LT65,DIFF,FI,2014-01-01,0.07
A1,R_GE65_LT65,DIFF,FI,2015-01-01,0.14
A1,R_GE65_LT65,DIFF,FI,2016-01-01,0.11
A1,R_GE65_LT65,DIFF,FI,2017-01-01,0.08
A1,R_GE65_LT65,DIFF,FR,2006-01-01,0.09
A1,R_GE65_LT65,DIFF,FR,2007-01-01,0.08
A1,R_GE65_LT65,DIFF,FR,2008-01-01,0.18
A1,R_GE65_LT65,DIFF,FR,2009-01-01,0.18
A1,R_GE65_LT65,DIFF,FR,2010-01-01,0.19
A1,R_GE65_LT65,DIFF,FR,2011-01-01,0.17
A1,R_GE65_LT65,DIFF,FR,2012-01-01,0.12
A1,R_GE65_LT65,DIFF,FR,2013-01-01,0.13
