indic_il,sex,age,geotime,date,value
LI_R_MD60BT,T,TOTAL,AT,2006-01-01,25
LI_R_MD60BT,T,TOTAL,AT,2007-01-01,24
LI_R_MD60BT,T,TOTAL,AT,2008-01-01,25
LI_R_MD60BT,T,TOTAL,AT,2009-01-01,25
LI_R_MD60BT,T,TOTAL,AT,2010-01-01,26
LI_R_MD60BT,T,TOTAL,AT,2011-01-01,27
LI_R_MD60BT,T,TOTAL,AT,2012-01-01,25
LI_R_MD60BT,T,TOTAL,AT,2013-01-01,
LI_R_MD60BT,T,TOTAL,AT,2014-01-01,25
LI_R_MD60BT,T,TOTAL,AT,2015-01-01,
LI_R_MD60BT,T,TOTAL,AT,2016-01-01,26
LI_R_MD60BT,T,TOTAL,AT,2017-01-01,24
LI_R_MD60BT,T,TOTAL,BE,2006-01-01,26
LI_R_MD60BT,T,TOTAL,BE,2007-01-01,27
LI_R_MD60BT,T,TOTAL,BE,2008-01-01,27
LI_R_MD60BT,T,TOTAL,BE,2009-01-01,26
LI_R_MD60BT,T,TOTAL,BE,2010-01-01,26
LI_R_MD60BT,T,TOTAL,BE,2011-01-01,27
LI_R_MD60BT,T,TOTAL,BE,2012-01-01,27
LI_R_MD60BT,T,TOTAL,BE,2013-01-01,
LI_R_MD60BT,T,TOTAL,BE,2014-01-01,27
LI_R_MD60BT,T,TOTAL,BE,2015-01-01,
LI_R_MD60BT,T,TOTAL,BE,2016-01-01,26
LI_R_MD60BT,T,TOTAL,BE,2017-01-01,26
LI_R_MD60BT,T,TOTAL,BG,2006-01-01,24
LI_R_MD60BT,T,TOTAL,BG,2007-01-01,25
LI_R_MD60BT,T,TOTAL,BG,2008-01-01,27
LI_R_MD60BT,T,TOTAL,BG,2009-01-01,26
LI_R_MD60BT,T,TOTAL,BG,2010-01-01,27
LI_R_MD60BT,T,TOTAL,BG,2011-01-01,27
LI_R_MD60BT,T,TOTAL,BG,2012-01-01,25
LI_R_MD60BT,T,TOTAL,BG,2013-01-01,
LI_R_MD60BT,T,TOTAL,BG,2014-01-01,27
LI_R_MD60BT,T,TOTAL,BG,2015-01-01,
LI_R_MD60BT,T,TOTAL,BG,2016-01-01,27
LI_R_MD60BT,T,TOTAL,BG,2017-01-01,29
LI_R_MD60BT,T,TOTAL,CH,2006-01-01,
LI_R_MD60BT,T,TOTAL,CH,2007-01-01,22
LI_R_MD60BT,T,TOTAL,CH,2008-01-01,22
LI_R_MD60BT,T,TOTAL,CH,2009-01-01,22
LI_R_MD60BT,T,TOTAL,CH,2010-01-01,22
LI_R_MD60BT,T,TOTAL,CH,2011-01-01,23
LI_R_MD60BT,T,TOTAL,CH,2012-01-01,23
LI_R_MD60BT,T,TOTAL,CH,2013-01-01,
LI_R_MD60BT,T,TOTAL,CH,2014-01-01,24
LI_R_MD60BT,T,TOTAL,CH,2015-01-01,
LI_R_MD60BT,T,TOTAL,CH,2016-01-01,24
LI_R_MD60BT,T,TOTAL,CH,2017-01-01,
LI_R_MD60BT,T,TOTAL,CY,2006-01-01,21
LI_R_MD60BT,T,TOTAL,CY,2007-01-01,21
LI_R_MD60BT,T,TOTAL,CY,2008-01-01,22
LI_R_MD60BT,T,TOTAL,CY,2009-01-01,23
LI_R_MD60BT,T,TOTAL,CY,2010-01-01,23
LI_R_MD60BT,T,TOTAL,CY,2011-01-01,23
LI_R_MD60BT,T,TOTAL,CY,2012-01-01,23
LI_R_MD60BT,T,TOTAL,CY,2013-01-01,
LI_R_MD60BT,T,TOTAL,CY,2014-01-01,24
LI_R_MD60BT,T,TOTAL,CY,2015-01-01,
LI_R_MD60BT,T,TOTAL,CY,2016-01-01,25
LI_R_MD60BT,T,TOTAL,CY,2017-01-01,24
LI_R_MD60BT,T,TOTAL,CZ,2006-01-01,21
LI_R_MD60BT,T,TOTAL,CZ,2007-01-01,20
LI_R_MD60BT,T,TOTAL,CZ,2008-01-01,20
LI_R_MD60BT,T,TOTAL,CZ,2009-01-01,17
LI_R_MD60BT,T,TOTAL,CZ,2010-01-01,18
LI_R_MD60BT,T,TOTAL,CZ,2011-01-01,18
LI_R_MD60BT,T,TOTAL,CZ,2012-01-01,17
LI_R_MD60BT,T,TOTAL,CZ,2013-01-01,
LI_R_MD60BT,T,TOTAL,CZ,2014-01-01,17
LI_R_MD60BT,T,TOTAL,CZ,2015-01-01,
LI_R_MD60BT,T,TOTAL,CZ,2016-01-01,16
LI_R_MD60BT,T,TOTAL,CZ,2017-01-01,15
LI_R_MD60BT,T,TOTAL,DE,2006-01-01,25
LI_R_MD60BT,T,TOTAL,DE,2007-01-01,24
LI_R_MD60BT,T,TOTAL,DE,2008-01-01,24
LI_R_MD60BT,T,TOTAL,DE,2009-01-01,24
LI_R_MD60BT,T,TOTAL,DE,2010-01-01,24
LI_R_MD60BT,T,TOTAL,DE,2011-01-01,25
LI_R_MD60BT,T,TOTAL,DE,2012-01-01,24
LI_R_MD60BT,T,TOTAL,DE,2013-01-01,
LI_R_MD60BT,T,TOTAL,DE,2014-01-01,25
LI_R_MD60BT,T,TOTAL,DE,2015-01-01,
LI_R_MD60BT,T,TOTAL,DE,2016-01-01,25
LI_R_MD60BT,T,TOTAL,DE,2017-01-01,24
LI_R_MD60BT,T,TOTAL,DK,2006-01-01,28
LI_R_MD60BT,T,TOTAL,DK,2007-01-01,27
LI_R_MD60BT,T,TOTAL,DK,2008-01-01,27
LI_R_MD60BT,T,TOTAL,DK,2009-01-01,31
LI_R_MD60BT,T,TOTAL,DK,2010-01-01,29
LI_R_MD60BT,T,TOTAL,DK,2011-01-01,27
LI_R_MD60BT,T,TOTAL,DK,2012-01-01,27
LI_R_MD60BT,T,TOTAL,DK,2013-01-01,
LI_R_MD60BT,T,TOTAL,DK,2014-01-01,26
LI_R_MD60BT,T,TOTAL,DK,2015-01-01,
LI_R_MD60BT,T,TOTAL,DK,2016-01-01,24
LI_R_MD60BT,T,TOTAL,DK,2017-01-01,25
LI_R_MD60BT,T,TOTAL,EA18,2006-01-01,24
LI_R_MD60BT,T,TOTAL,EA18,2007-01-01,24
LI_R_MD60BT,T,TOTAL,EA18,2008-01-01,24
LI_R_MD60BT,T,TOTAL,EA18,2009-01-01,24
LI_R_MD60BT,T,TOTAL,EA18,2010-01-01,25
LI_R_MD60BT,T,TOTAL,EA18,2011-01-01,25
LI_R_MD60BT,T,TOTAL,EA18,2012-01-01,25
LI_R_MD60BT,T,TOTAL,EA18,2013-01-01,
LI_R_MD60BT,T,TOTAL,EA18,2014-01-01,25
LI_R_MD60BT,T,TOTAL,EA18,2015-01-01,
LI_R_MD60BT,T,TOTAL,EA18,2016-01-01,25
LI_R_MD60BT,T,TOTAL,EA18,2017-01-01,24
LI_R_MD60BT,T,TOTAL,EA19,2006-01-01,24
LI_R_MD60BT,T,TOTAL,EA19,2007-01-01,24
LI_R_MD60BT,T,TOTAL,EA19,2008-01-01,24
LI_R_MD60BT,T,TOTAL,EA19,2009-01-01,24
LI_R_MD60BT,T,TOTAL,EA19,2010-01-01,25
LI_R_MD60BT,T,TOTAL,EA19,2011-01-01,25
LI_R_MD60BT,T,TOTAL,EA19,2012-01-01,25
LI_R_MD60BT,T,TOTAL,EA19,2013-01-01,
LI_R_MD60BT,T,TOTAL,EA19,2014-01-01,25
LI_R_MD60BT,T,TOTAL,EA19,2015-01-01,
LI_R_MD60BT,T,TOTAL,EA19,2016-01-01,25
LI_R_MD60BT,T,TOTAL,EA19,2017-01-01,24
LI_R_MD60BT,T,TOTAL,EE,2006-01-01,24
LI_R_MD60BT,T,TOTAL,EE,2007-01-01,25
LI_R_MD60BT,T,TOTAL,EE,2008-01-01,24
LI_R_MD60BT,T,TOTAL,EE,2009-01-01,25
LI_R_MD60BT,T,TOTAL,EE,2010-01-01,24
LI_R_MD60BT,T,TOTAL,EE,2011-01-01,24
LI_R_MD60BT,T,TOTAL,EE,2012-01-01,24
LI_R_MD60BT,T,TOTAL,EE,2013-01-01,
LI_R_MD60BT,T,TOTAL,EE,2014-01-01,28
LI_R_MD60BT,T,TOTAL,EE,2015-01-01,
LI_R_MD60BT,T,TOTAL,EE,2016-01-01,28
