currency,bop_item,sector10,sectpart,stk_flow,partner,geotime,date,value
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2007-01-01,-20412.2
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2008-01-01,-31996.4
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2009-01-01,-31501.5
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2010-01-01,-33551.6
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2011-01-01,-30389.7
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2012-01-01,-31860.1
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2013-01-01,-27316.5
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2014-01-01,-25782.8
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2015-01-01,-21753.6
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2016-01-01,-17675.9
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG,2017-01-01,-15558.7
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,1999-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2000-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2001-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2002-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2003-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2004-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2005-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2006-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2007-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2008-01-01,-34542.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2009-01-01,-47106.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2010-01-01,-53085.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2011-01-01,-41843.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2012-01-01,-35559.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2013-01-01,-22338.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2014-01-01,-19831.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2015-01-01,-23597.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2016-01-01,-18374.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY,2017-01-01,-17085.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,1995-01-01,-22943.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,1996-01-01,-80826.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,1997-01-01,-11237.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,1998-01-01,41260.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,1999-01-01,95257.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2000-01-01,84945.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2001-01-01,163582.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2002-01-01,-72501.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2003-01-01,-240826.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2004-01-01,-172900.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2005-01-01,-118410.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2006-01-01,-144268.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2007-01-01,-229362.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2008-01-01,-278835.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2009-01-01,-236333.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2010-01-01,-148555.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2011-01-01,-125293.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2012-01-01,-60911.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2013-01-01,-71048.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2014-01-01,-104305.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2015-01-01,-152950.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2016-01-01,-251152.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ,2017-01-01,-953475.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,DE,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,DE,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,DE,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,DE,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,DE,1999-01-01,38292.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,DE,2000-01-01,-34985.0
