airpol,geotime,date,value
PM10,CH,2004-01-01,21
PM10,CH,2005-01-01,22
PM10,CH,2006-01-01,24
PM10,CH,2007-01-01,20
PM10,CH,2008-01-01,20
PM10,CH,2009-01-01,20
PM10,CH,2010-01-01,20
PM10,CH,2011-01-01,21
PM10,CH,2012-01-01,18
PM10,CH,2013-01-01,18
PM10,CH,2014-01-01,
PM10,CH,2015-01-01,17
PM10,CH,2016-01-01,
PM10,CY,1992-01-01,
PM10,CY,1993-01-01,
PM10,CY,1994-01-01,
PM10,CY,1995-01-01,
PM10,CY,1996-01-01,
PM10,CY,1997-01-01,
PM10,CY,1998-01-01,
PM10,CY,1999-01-01,
PM10,CY,2000-01-01,
PM10,CY,2001-01-01,
PM10,CY,2002-01-01,
PM10,CY,2003-01-01,
PM10,CY,2004-01-01,
PM10,CY,2005-01-01,
PM10,CY,2006-01-01,
PM10,CY,2007-01-01,
PM10,CY,2008-01-01,
PM10,CY,2009-01-01,
PM10,CY,2010-01-01,48
PM10,CY,2011-01-01,35
PM10,CY,2012-01-01,36
PM10,CY,2013-01-01,37
PM10,CY,2014-01-01,32
PM10,CY,2015-01-01,35
PM10,CY,2016-01-01,
PM10,CZ,1992-01-01,
PM10,CZ,1993-01-01,
PM10,CZ,1994-01-01,
PM10,CZ,1995-01-01,
PM10,CZ,1996-01-01,46
PM10,CZ,1997-01-01,36
PM10,CZ,1998-01-01,26
PM10,CZ,1999-01-01,26
PM10,CZ,2000-01-01,30
PM10,CZ,2001-01-01,32
PM10,CZ,2002-01-01,39
PM10,CZ,2003-01-01,41
PM10,CZ,2004-01-01,34
PM10,CZ,2005-01-01,34
PM10,CZ,2006-01-01,35
PM10,CZ,2007-01-01,27
PM10,CZ,2008-01-01,25
PM10,CZ,2009-01-01,26
PM10,CZ,2010-01-01,29
PM10,CZ,2011-01-01,29
PM10,CZ,2012-01-01,27
PM10,CZ,2013-01-01,27
PM10,CZ,2014-01-01,27
PM10,CZ,2015-01-01,24
PM10,CZ,2016-01-01,
PM10,DE,1992-01-01,
PM10,DE,1993-01-01,
PM10,DE,1994-01-01,
PM10,DE,1995-01-01,
PM10,DE,1996-01-01,
PM10,DE,1997-01-01,24
PM10,DE,1998-01-01,20
PM10,DE,1999-01-01,26
PM10,DE,2000-01-01,26
PM10,DE,2001-01-01,25
PM10,DE,2002-01-01,26
PM10,DE,2003-01-01,29
PM10,DE,2004-01-01,23
PM10,DE,2005-01-01,24
PM10,DE,2006-01-01,26
PM10,DE,2007-01-01,22
PM10,DE,2008-01-01,21
PM10,DE,2009-01-01,22
PM10,DE,2010-01-01,23
PM10,DE,2011-01-01,22
PM10,DE,2012-01-01,19
PM10,DE,2013-01-01,20
PM10,DE,2014-01-01,20
PM10,DE,2015-01-01,18
PM10,DE,2016-01-01,
PM10,DK,1992-01-01,
PM10,DK,1993-01-01,
PM10,DK,1994-01-01,
PM10,DK,1995-01-01,
PM10,DK,1996-01-01,
PM10,DK,1997-01-01,
PM10,DK,1998-01-01,
PM10,DK,1999-01-01,
PM10,DK,2000-01-01,
PM10,DK,2001-01-01,
PM10,DK,2002-01-01,24
PM10,DK,2003-01-01,24
PM10,DK,2004-01-01,19
PM10,DK,2005-01-01,23
PM10,DK,2006-01-01,27
PM10,DK,2007-01-01,21
PM10,DK,2008-01-01,21
PM10,DK,2009-01-01,17
PM10,DK,2010-01-01,12
PM10,DK,2011-01-01,
PM10,DK,2012-01-01,17
PM10,DK,2013-01-01,15
PM10,DK,2014-01-01,18
PM10,DK,2015-01-01,18
PM10,DK,2016-01-01,
PM10,EE,1992-01-01,
PM10,EE,1993-01-01,
PM10,EE,1994-01-01,
PM10,EE,1995-01-01,
PM10,EE,1996-01-01,
PM10,EE,1997-01-01,
PM10,EE,1998-01-01,
PM10,EE,1999-01-01,
PM10,EE,2000-01-01,
PM10,EE,2001-01-01,18
PM10,EE,2002-01-01,21
PM10,EE,2003-01-01,19
PM10,EE,2004-01-01,17
PM10,EE,2005-01-01,20
PM10,EE,2006-01-01,22
PM10,EE,2007-01-01,18
PM10,EE,2008-01-01,11
PM10,EE,2009-01-01,13
PM10,EE,2010-01-01,13
PM10,EE,2011-01-01,12
PM10,EE,2012-01-01,12
PM10,EE,2013-01-01,13
PM10,EE,2014-01-01,15
PM10,EE,2015-01-01,13
PM10,EE,2016-01-01,
PM10,EL,1992-01-01,
PM10,EL,1993-01-01,
PM10,EL,1994-01-01,
PM10,EL,1995-01-01,
PM10,EL,1996-01-01,
PM10,EL,1997-01-01,
PM10,EL,1998-01-01,
PM10,EL,1999-01-01,
PM10,EL,2000-01-01,
PM10,EL,2001-01-01,47
PM10,EL,2002-01-01,44
PM10,EL,2003-01-01,43
PM10,EL,2004-01-01,45
PM10,EL,2005-01-01,41
PM10,EL,2006-01-01,42
PM10,EL,2007-01-01,37
PM10,EL,2008-01-01,41
PM10,EL,2009-01-01,34
PM10,EL,2010-01-01,33
PM10,EL,2011-01-01,26
PM10,EL,2012-01-01,30
PM10,EL,2013-01-01,34
PM10,EL,2014-01-01,25
PM10,EL,2015-01-01,26
PM10,EL,2016-01-01,
PM10,ES,1992-01-01,
PM10,ES,1993-01-01,
PM10,ES,1994-01-01,
PM10,ES,1995-01-01,
PM10,ES,1996-01-01,
PM10,ES,1997-01-01,32
PM10,ES,1998-01-01,47
PM10,ES,1999-01-01,39
PM10,ES,2000-01-01,38
PM10,ES,2001-01-01,31
PM10,ES,2002-01-01,35
PM10,ES,2003-01-01,35
PM10,ES,2004-01-01,33
PM10,ES,2005-01-01,33
PM10,ES,2006-01-01,34
PM10,ES,2007-01-01,33
PM10,ES,2008-01-01,28
PM10,ES,2009-01-01,26
PM10,ES,2010-01-01,23
PM10,ES,2011-01-01,24
PM10,ES,2012-01-01,23
PM10,ES,2013-01-01,20
PM10,ES,2014-01-01,21
PM10,ES,2015-01-01,23
PM10,ES,2016-01-01,
PM10,EU28,1992-01-01,38
PM10,EU28,1993-01-01,36
PM10,EU28,1994-01-01,33
PM10,EU28,1995-01-01,33
PM10,EU28,1996-01-01,36
PM10,EU28,1997-01-01,33
PM10,EU28,1998-01-01,30
PM10,EU28,1999-01-01,29
PM10,EU28,2000-01-01,28
PM10,EU28,2001-01-01,27
PM10,EU28,2002-01-01,28
PM10,EU28,2003-01-01,30
PM10,EU28,2004-01-01,27
PM10,EU28,2005-01-01,28
PM10,EU28,2006-01-01,30
PM10,EU28,2007-01-01,28
PM10,EU28,2008-01-01,26
PM10,EU28,2009-01-01,26
PM10,EU28,2010-01-01,26
PM10,EU28,2011-01-01,27
PM10,EU28,2012-01-01,24
PM10,EU28,2013-01-01,24
PM10,EU28,2014-01-01,22
PM10,EU28,2015-01-01,22
PM10,EU28,2016-01-01,
PM10,FI,1992-01-01,
PM10,FI,1993-01-01,
PM10,FI,1994-01-01,
PM10,FI,1995-01-01,
PM10,FI,1996-01-01,
PM10,FI,1997-01-01,
PM10,FI,1998-01-01,
PM10,FI,1999-01-01,15
PM10,FI,2000-01-01,14
PM10,FI,2001-01-01,15
PM10,FI,2002-01-01,15
PM10,FI,2003-01-01,15
PM10,FI,2004-01-01,13
PM10,FI,2005-01-01,14
PM10,FI,2006-01-01,15
PM10,FI,2007-01-01,15
PM10,FI,2008-01-01,13
PM10,FI,2009-01-01,13
PM10,FI,2010-01-01,13
PM10,FI,2011-01-01,12
PM10,FI,2012-01-01,11
PM10,FI,2013-01-01,11
PM10,FI,2014-01-01,13
PM10,FI,2015-01-01,11
PM10,FI,2016-01-01,
PM10,FR,1992-01-01,
PM10,FR,1993-01-01,
PM10,FR,1994-01-01,
PM10,FR,1995-01-01,
PM10,FR,1996-01-01,
PM10,FR,1997-01-01,
PM10,FR,1998-01-01,
PM10,FR,1999-01-01,
PM10,FR,2000-01-01,
PM10,FR,2001-01-01,21
PM10,FR,2002-01-01,21
PM10,FR,2003-01-01,23
PM10,FR,2004-01-01,20
PM10,FR,2005-01-01,20
PM10,FR,2006-01-01,20
PM10,FR,2007-01-01,26
PM10,FR,2008-01-01,24
PM10,FR,2009-01-01,26
PM10,FR,2010-01-01,25
PM10,FR,2011-01-01,25
PM10,FR,2012-01-01,23
PM10,FR,2013-01-01,23
PM10,FR,2014-01-01,18
PM10,FR,2015-01-01,20
PM10,FR,2016-01-01,
PM10,HR,1992-01-01,
PM10,HR,1993-01-01,
PM10,HR,1994-01-01,
PM10,HR,1995-01-01,
PM10,HR,1996-01-01,
PM10,HR,1997-01-01,
PM10,HR,1998-01-01,
PM10,HR,1999-01-01,
PM10,HR,2000-01-01,
PM10,HR,2001-01-01,
PM10,HR,2002-01-01,
