statinfo,unit,comspec,geotime,date,value
NSME,I90,CO_ALL,EU_V,1990-01-01,100.0
NSME,I90,CO_ALL,EU_V,1991-01-01,97.09
NSME,I90,CO_ALL,EU_V,1992-01-01,96.79
NSME,I90,CO_ALL,EU_V,1993-01-01,97.97
NSME,I90,CO_ALL,EU_V,1994-01-01,98.77
NSME,I90,CO_ALL,EU_V,1995-01-01,93.29
NSME,I90,CO_ALL,EU_V,1996-01-01,94.5
NSME,I90,CO_ALL,EU_V,1997-01-01,93.38
NSME,I90,CO_ALL,EU_V,1998-01-01,89.34
NSME,I90,CO_ALL,EU_V,1999-01-01,90.72
NSME,I90,CO_ALL,EU_V,2000-01-01,89.62
NSME,I90,CO_ALL,EU_V,2001-01-01,93.28
NSME,I90,CO_ALL,EU_V,2002-01-01,91.43
NSME,I90,CO_ALL,EU_V,2003-01-01,90.63
NSME,I90,CO_ALL,EU_V,2004-01-01,93.71
NSME,I90,CO_ALL,EU_V,2005-01-01,89.84
NSME,I90,CO_ALL,EU_V,2006-01-01,89.94
NSME,I90,CO_ALL,EU_V,2007-01-01,90.69
NSME,I90,CO_ALL,EU_V,2008-01-01,91.34
NSME,I90,CO_ALL,EU_V,2009-01-01,85.29
NSME,I90,CO_ALL,EU_V,2010-01-01,86.6
NSME,I90,CO_ALL,EU_V,2011-01-01,88.13
NSME,I90,CO_ALL,EU_V,2012-01-01,87.95
NSME,I90,CO_ALL,EU_V,2013-01-01,85.65
NSME,I90,CO_ALL,EU_V,2014-01-01,87.39
NSME,I90,CO_ALL,EU_V,2015-01-01,89.45
NSME,I90,CO_FARM,BE,1990-01-01,100.0
NSME,I90,CO_FARM,BE,1991-01-01,99.4
NSME,I90,CO_FARM,BE,1992-01-01,83.4
NSME,I90,CO_FARM,BE,1993-01-01,92.2
NSME,I90,CO_FARM,BE,1994-01-01,84.7
NSME,I90,CO_FARM,BE,1995-01-01,82.6
NSME,I90,CO_FARM,BE,1996-01-01,85.9
NSME,I90,CO_FARM,BE,1997-01-01,80.1
NSME,I90,CO_FARM,BE,1998-01-01,77.4
NSME,I90,CO_FARM,BE,1999-01-01,80.1
NSME,I90,CO_FARM,BE,2000-01-01,68.5
NSME,I90,CO_FARM,BE,2001-01-01,83.1
NSME,I90,CO_FARM,BE,2002-01-01,63.2
NSME,I90,CO_FARM,BE,2003-01-01,60.4
NSME,I90,CO_FARM,BE,2004-01-01,69.4
NSME,I90,CO_FARM,BE,2005-01-01,62.0
NSME,I90,CO_FARM,BE,2006-01-01,66.6
NSME,I90,CO_FARM,BE,2007-01-01,64.5
NSME,I90,CO_FARM,BE,2008-01-01,62.9
NSME,I90,CO_FARM,BE,2009-01-01,59.2
NSME,I90,CO_FARM,BE,2010-01-01,65.8
NSME,I90,CO_FARM,BE,2011-01-01,59.9
NSME,I90,CO_FARM,BE,2012-01-01,60.6
NSME,I90,CO_FARM,BE,2013-01-01,49.4
NSME,I90,CO_FARM,BE,2014-01-01,56.6
NSME,I90,CO_FARM,BE,2015-01-01,
NSME,I90,CO_FARM,CH,1990-01-01,100.0
NSME,I90,CO_FARM,CH,1991-01-01,92.7
NSME,I90,CO_FARM,CH,1992-01-01,98.3
NSME,I90,CO_FARM,CH,1993-01-01,99.9
NSME,I90,CO_FARM,CH,1994-01-01,97.9
NSME,I90,CO_FARM,CH,1995-01-01,100.3
NSME,I90,CO_FARM,CH,1996-01-01,100.0
NSME,I90,CO_FARM,CH,1997-01-01,91.8
NSME,I90,CO_FARM,CH,1998-01-01,81.5
NSME,I90,CO_FARM,CH,1999-01-01,94.3
NSME,I90,CO_FARM,CH,2000-01-01,97.6
NSME,I90,CO_FARM,CH,2001-01-01,95.8
NSME,I90,CO_FARM,CH,2002-01-01,88.4
NSME,I90,CO_FARM,CH,2003-01-01,90.1
NSME,I90,CO_FARM,CH,2004-01-01,91.4
NSME,I90,CO_FARM,CH,2005-01-01,92.4
NSME,I90,CO_FARM,CH,2006-01-01,92.0
NSME,I90,CO_FARM,CH,2007-01-01,93.9
NSME,I90,CO_FARM,CH,2008-01-01,92.9
NSME,I90,CO_FARM,CH,2009-01-01,89.1
NSME,I90,CO_FARM,CH,2010-01-01,94.4
NSME,I90,CO_FARM,CH,2011-01-01,94.3
NSME,I90,CO_FARM,CH,2012-01-01,104.0
NSME,I90,CO_FARM,CH,2013-01-01,96.0
NSME,I90,CO_FARM,CH,2014-01-01,97.4
NSME,I90,CO_FARM,CH,2015-01-01,
NSME,I90,CO_FARM,CZ,1990-01-01,100.0
NSME,I90,CO_FARM,CZ,1991-01-01,108.5
NSME,I90,CO_FARM,CZ,1992-01-01,116.2
NSME,I90,CO_FARM,CZ,1993-01-01,117.0
NSME,I90,CO_FARM,CZ,1994-01-01,118.4
NSME,I90,CO_FARM,CZ,1995-01-01,133.9
NSME,I90,CO_FARM,CZ,1996-01-01,122.3
NSME,I90,CO_FARM,CZ,1997-01-01,99.0
NSME,I90,CO_FARM,CZ,1998-01-01,85.8
NSME,I90,CO_FARM,CZ,1999-01-01,80.7
NSME,I90,CO_FARM,CZ,2000-01-01,85.1
NSME,I90,CO_FARM,CZ,2001-01-01,91.5
NSME,I90,CO_FARM,CZ,2002-01-01,92.2
NSME,I90,CO_FARM,CZ,2003-01-01,85.7
NSME,I90,CO_FARM,CZ,2004-01-01,107.6
NSME,I90,CO_FARM,CZ,2005-01-01,84.4
NSME,I90,CO_FARM,CZ,2006-01-01,72.8
NSME,I90,CO_FARM,CZ,2007-01-01,70.5
NSME,I90,CO_FARM,CZ,2008-01-01,85.3
NSME,I90,CO_FARM,CZ,2009-01-01,78.2
NSME,I90,CO_FARM,CZ,2010-01-01,68.9
NSME,I90,CO_FARM,CZ,2011-01-01,63.7
NSME,I90,CO_FARM,CZ,2012-01-01,63.4
NSME,I90,CO_FARM,CZ,2013-01-01,66.4
NSME,I90,CO_FARM,CZ,2014-01-01,69.1
NSME,I90,CO_FARM,CZ,2015-01-01,
NSME,I90,CO_FARM,DE,1990-01-01,100.0
NSME,I90,CO_FARM,DE,1991-01-01,96.0
NSME,I90,CO_FARM,DE,1992-01-01,94.5
NSME,I90,CO_FARM,DE,1993-01-01,95.5
NSME,I90,CO_FARM,DE,1994-01-01,102.1
NSME,I90,CO_FARM,DE,1995-01-01,99.5
NSME,I90,CO_FARM,DE,1996-01-01,101.4
NSME,I90,CO_FARM,DE,1997-01-01,95.8
NSME,I90,CO_FARM,DE,1998-01-01,93.2
NSME,I90,CO_FARM,DE,1999-01-01,101.3
NSME,I90,CO_FARM,DE,2000-01-01,96.6
NSME,I90,CO_FARM,DE,2001-01-01,92.4
NSME,I90,CO_FARM,DE,2002-01-01,92.8
NSME,I90,CO_FARM,DE,2003-01-01,91.4
NSME,I90,CO_FARM,DE,2004-01-01,95.2
NSME,I90,CO_FARM,DE,2005-01-01,92.9
NSME,I90,CO_FARM,DE,2006-01-01,91.6
NSME,I90,CO_FARM,DE,2007-01-01,92.3
NSME,I90,CO_FARM,DE,2008-01-01,89.4
NSME,I90,CO_FARM,DE,2009-01-01,88.1
NSME,I90,CO_FARM,DE,2010-01-01,84.3
NSME,I90,CO_FARM,DE,2011-01-01,78.5
NSME,I90,CO_FARM,DE,2012-01-01,82.6
NSME,I90,CO_FARM,DE,2013-01-01,79.8
NSME,I90,CO_FARM,DE,2014-01-01,
NSME,I90,CO_FARM,DE,2015-01-01,
NSME,I90,CO_FARM,DK,1990-01-01,100.0
NSME,I90,CO_FARM,DK,1991-01-01,93.8
NSME,I90,CO_FARM,DK,1992-01-01,88.1
NSME,I90,CO_FARM,DK,1993-01-01,86.9
NSME,I90,CO_FARM,DK,1994-01-01,87.8
NSME,I90,CO_FARM,DK,1995-01-01,87.8
NSME,I90,CO_FARM,DK,1996-01-01,86.5
NSME,I90,CO_FARM,DK,1997-01-01,82.5
NSME,I90,CO_FARM,DK,1998-01-01,81.2
NSME,I90,CO_FARM,DK,1999-01-01,83.3
NSME,I90,CO_FARM,DK,2000-01-01,79.6
NSME,I90,CO_FARM,DK,2001-01-01,82.6
NSME,I90,CO_FARM,DK,2002-01-01,73.8
NSME,I90,CO_FARM,DK,2003-01-01,72.3
NSME,I90,CO_FARM,DK,2004-01-01,75.5
NSME,I90,CO_FARM,DK,2005-01-01,67.8
NSME,I90,CO_FARM,DK,2006-01-01,67.8
NSME,I90,CO_FARM,DK,2007-01-01,67.1
NSME,I90,CO_FARM,DK,2008-01-01,65.9
NSME,I90,CO_FARM,DK,2009-01-01,74.8
NSME,I90,CO_FARM,DK,2010-01-01,70.4
NSME,I90,CO_FARM,DK,2011-01-01,60.3
NSME,I90,CO_FARM,DK,2012-01-01,61.2
NSME,I90,CO_FARM,DK,2013-01-01,61.6
NSME,I90,CO_FARM,DK,2014-01-01,70.3
NSME,I90,CO_FARM,DK,2015-01-01,
NSME,I90,CO_FARM,EE,1990-01-01,100.0
NSME,I90,CO_FARM,EE,1991-01-01,93.0
NSME,I90,CO_FARM,EE,1992-01-01,98.0
NSME,I90,CO_FARM,EE,1993-01-01,96.6
NSME,I90,CO_FARM,EE,1994-01-01,82.0
NSME,I90,CO_FARM,EE,1995-01-01,69.0
NSME,I90,CO_FARM,EE,1996-01-01,69.5
NSME,I90,CO_FARM,EE,1997-01-01,76.7
NSME,I90,CO_FARM,EE,1998-01-01,74.8
NSME,I90,CO_FARM,EE,1999-01-01,74.3
NSME,I90,CO_FARM,EE,2000-01-01,86.2
NSME,I90,CO_FARM,EE,2001-01-01,85.2
NSME,I90,CO_FARM,EE,2002-01-01,81.6
NSME,I90,CO_FARM,EE,2003-01-01,75.6
NSME,I90,CO_FARM,EE,2004-01-01,74.3
NSME,I90,CO_FARM,EE,2005-01-01,78.6
NSME,I90,CO_FARM,EE,2006-01-01,78.9
NSME,I90,CO_FARM,EE,2007-01-01,77.2
NSME,I90,CO_FARM,EE,2008-01-01,70.4
NSME,I90,CO_FARM,EE,2009-01-01,59.4
NSME,I90,CO_FARM,EE,2010-01-01,60.2
NSME,I90,CO_FARM,EE,2011-01-01,58.8
NSME,I90,CO_FARM,EE,2012-01-01,60.9
NSME,I90,CO_FARM,EE,2013-01-01,63.7
NSME,I90,CO_FARM,EE,2014-01-01,67.4
NSME,I90,CO_FARM,EE,2015-01-01,65.1
NSME,I90,CO_FARM,FI,1990-01-01,100.0
NSME,I90,CO_FARM,FI,1991-01-01,104.5
NSME,I90,CO_FARM,FI,1992-01-01,97.5
NSME,I90,CO_FARM,FI,1993-01-01,85.8
NSME,I90,CO_FARM,FI,1994-01-01,92.2
NSME,I90,CO_FARM,FI,1995-01-01,89.7
NSME,I90,CO_FARM,FI,1996-01-01,79.9
NSME,I90,CO_FARM,FI,1997-01-01,79.1
NSME,I90,CO_FARM,FI,1998-01-01,84.8
NSME,I90,CO_FARM,FI,1999-01-01,79.6
NSME,I90,CO_FARM,FI,2000-01-01,74.9
NSME,I90,CO_FARM,FI,2001-01-01,86.9
NSME,I90,CO_FARM,FI,2002-01-01,83.7
NSME,I90,CO_FARM,FI,2003-01-01,78.7
NSME,I90,CO_FARM,FI,2004-01-01,80.4
NSME,I90,CO_FARM,FI,2005-01-01,79.1
NSME,I90,CO_FARM,FI,2006-01-01,74.2
NSME,I90,CO_FARM,FI,2007-01-01,76.9
NSME,I90,CO_FARM,FI,2008-01-01,75.0
NSME,I90,CO_FARM,FI,2009-01-01,71.9
NSME,I90,CO_FARM,FI,2010-01-01,61.4
NSME,I90,CO_FARM,FI,2011-01-01,65.7
NSME,I90,CO_FARM,FI,2012-01-01,61.5
NSME,I90,CO_FARM,FI,2013-01-01,59.4
NSME,I90,CO_FARM,FI,2014-01-01,61.1
NSME,I90,CO_FARM,FI,2015-01-01,
NSME,I90,CO_FARM,FR,1990-01-01,100.0
NSME,I90,CO_FARM,FR,1991-01-01,80.9
NSME,I90,CO_FARM,FR,1992-01-01,89.9
NSME,I90,CO_FARM,FR,1993-01-01,80.6
NSME,I90,CO_FARM,FR,1994-01-01,83.6
NSME,I90,CO_FARM,FR,1995-01-01,80.9
NSME,I90,CO_FARM,FR,1996-01-01,79.9
NSME,I90,CO_FARM,FR,1997-01-01,88.1
NSME,I90,CO_FARM,FR,1998-01-01,85.0
NSME,I90,CO_FARM,FR,1999-01-01,74.8
NSME,I90,CO_FARM,FR,2000-01-01,75.9
NSME,I90,CO_FARM,FR,2001-01-01,77.9
NSME,I90,CO_FARM,FR,2002-01-01,70.4
NSME,I90,CO_FARM,FR,2003-01-01,68.1
NSME,I90,CO_FARM,FR,2004-01-01,71.1
NSME,I90,CO_FARM,FR,2005-01-01,74.4
NSME,I90,CO_FARM,FR,2006-01-01,70.2
NSME,I90,CO_FARM,FR,2007-01-01,71.2
NSME,I90,CO_FARM,FR,2008-01-01,71.8
NSME,I90,CO_FARM,FR,2009-01-01,65.4
NSME,I90,CO_FARM,FR,2010-01-01,64.3
NSME,I90,CO_FARM,FR,2011-01-01,63.9
NSME,I90,CO_FARM,FR,2012-01-01,62.2
NSME,I90,CO_FARM,FR,2013-01-01,61.0
NSME,I90,CO_FARM,FR,2014-01-01,59.3
NSME,I90,CO_FARM,FR,2015-01-01,
NSME,I90,CO_FARM,NL,1990-01-01,100.0
NSME,I90,CO_FARM,NL,1991-01-01,88.0
NSME,I90,CO_FARM,NL,1992-01-01,92.0
NSME,I90,CO_FARM,NL,1993-01-01,93.0
NSME,I90,CO_FARM,NL,1994-01-01,90.0
NSME,I90,CO_FARM,NL,1995-01-01,86.0
NSME,I90,CO_FARM,NL,1996-01-01,84.0
NSME,I90,CO_FARM,NL,1997-01-01,91.0
NSME,I90,CO_FARM,NL,1998-01-01,90.0
NSME,I90,CO_FARM,NL,1999-01-01,85.0
NSME,I90,CO_FARM,NL,2000-01-01,85.0
NSME,I90,CO_FARM,NL,2001-01-01,80.0
NSME,I90,CO_FARM,NL,2002-01-01,77.0
NSME,I90,CO_FARM,NL,2003-01-01,75.0
NSME,I90,CO_FARM,NL,2004-01-01,76.0
NSME,I90,CO_FARM,NL,2005-01-01,76.0
NSME,I90,CO_FARM,NL,2006-01-01,68.0
NSME,I90,CO_FARM,NL,2007-01-01,66.0
NSME,I90,CO_FARM,NL,2008-01-01,66.0
NSME,I90,CO_FARM,NL,2009-01-01,63.0
NSME,I90,CO_FARM,NL,2010-01-01,61.0
NSME,I90,CO_FARM,NL,2011-01-01,71.0
NSME,I90,CO_FARM,NL,2012-01-01,64.0
NSME,I90,CO_FARM,NL,2013-01-01,57.0
NSME,I90,CO_FARM,NL,2014-01-01,62.0
NSME,I90,CO_FARM,NL,2015-01-01,
NSME,I90,CO_FARM,SE,1990-01-01,100.0
NSME,I90,CO_FARM,SE,1991-01-01,81.0
NSME,I90,CO_FARM,SE,1992-01-01,85.4
NSME,I90,CO_FARM,SE,1993-01-01,84.7
NSME,I90,CO_FARM,SE,1994-01-01,88.8
