unit,nace_r2,geo\time,date,value
PC,B-S_X_O,EA18,2016-01-01,16.3 p
PC,B-S_X_O,EA19,2002-01-01,: 
PC,B-S_X_O,EA19,2006-01-01,: 
PC,B-S_X_O,EA19,2007-01-01,: 
PC,B-S_X_O,EA19,2008-01-01,: 
PC,B-S_X_O,EA19,2009-01-01,: 
PC,B-S_X_O,EA19,2010-01-01,17.0 
PC,B-S_X_O,EA19,2011-01-01,17.3 
PC,B-S_X_O,EA19,2012-01-01,17.6 
PC,B-S_X_O,EA19,2013-01-01,17.1 
PC,B-S_X_O,EA19,2014-01-01,16.9
PC,B-S_X_O,EA19,2015-01-01,16.7 p
PC,B-S_X_O,EA19,2016-01-01,16.3 p
PC,B-S_X_O,EE,2002-01-01,: 
PC,B-S_X_O,EE,2006-01-01,29.8 
PC,B-S_X_O,EE,2007-01-01,30.9 
PC,B-S_X_O,EE,2008-01-01,27.6 
PC,B-S_X_O,EE,2009-01-01,26.6 
PC,B-S_X_O,EE,2010-01-01,27.7 
PC,B-S_X_O,EE,2011-01-01,27.3 
PC,B-S_X_O,EE,2012-01-01,29.9 
PC,B-S_X_O,EE,2013-01-01,29.8 
PC,B-S_X_O,EE,2014-01-01,28.1
PC,B-S_X_O,EE,2015-01-01,26.9 
PC,B-S_X_O,EE,2016-01-01,25.3 
PC,B-S_X_O,EL,2002-01-01,25.5 
PC,B-S_X_O,EL,2006-01-01,20.7 
PC,B-S_X_O,EL,2007-01-01,21.5 
PC,B-S_X_O,EL,2008-01-01,22 d
PC,B-S_X_O,EL,2009-01-01,: 
PC,B-S_X_O,EL,2010-01-01,15.0 
PC,B-S_X_O,EL,2011-01-01,: 
PC,B-S_X_O,EL,2012-01-01,: 
PC,B-S_X_O,EL,2013-01-01,: 
PC,B-S_X_O,EL,2014-01-01,12.5
PC,B-S_X_O,EL,2015-01-01,: 
PC,B-S_X_O,EL,2016-01-01,: 
PC,B-S_X_O,ES,2002-01-01,20.2 
PC,B-S_X_O,ES,2006-01-01,17.9 
PC,B-S_X_O,ES,2007-01-01,18.1 
PC,B-S_X_O,ES,2008-01-01,16.1 
PC,B-S_X_O,ES,2009-01-01,16.7 
PC,B-S_X_O,ES,2010-01-01,16.2 
PC,B-S_X_O,ES,2011-01-01,17.6 
PC,B-S_X_O,ES,2012-01-01,18.7 
PC,B-S_X_O,ES,2013-01-01,17.8 
PC,B-S_X_O,ES,2014-01-01,14.9
PC,B-S_X_O,ES,2015-01-01,14.2 
PC,B-S_X_O,ES,2016-01-01,14.2 p
PC,B-S_X_O,EU27,2002-01-01,: 
PC,B-S_X_O,EU27,2006-01-01,17.7 
PC,B-S_X_O,EU27,2007-01-01,: 
PC,B-S_X_O,EU27,2008-01-01,17.3 
PC,B-S_X_O,EU27,2009-01-01,17.2 p
PC,B-S_X_O,EU27,2010-01-01,17.2 
PC,B-S_X_O,EU27,2011-01-01,17.2 
PC,B-S_X_O,EU27,2012-01-01,17.5 
PC,B-S_X_O,EU27,2013-01-01,16.9 
PC,B-S_X_O,EU27,2014-01-01,16.6
PC,B-S_X_O,EU27,2015-01-01,16.6 p
PC,B-S_X_O,EU27,2016-01-01,16.3 p
PC,B-S_X_O,EU28,2002-01-01,: 
PC,B-S_X_O,EU28,2006-01-01,: 
PC,B-S_X_O,EU28,2007-01-01,: 
PC,B-S_X_O,EU28,2008-01-01,: 
PC,B-S_X_O,EU28,2009-01-01,: 
PC,B-S_X_O,EU28,2010-01-01,17.1 
PC,B-S_X_O,EU28,2011-01-01,17.1 
PC,B-S_X_O,EU28,2012-01-01,17.4 
PC,B-S_X_O,EU28,2013-01-01,16.8 
PC,B-S_X_O,EU28,2014-01-01,16.6
PC,B-S_X_O,EU28,2015-01-01,16.5 p
PC,B-S_X_O,EU28,2016-01-01,16.2 p
PC,B-S_X_O,FI,2002-01-01,: 
PC,B-S_X_O,FI,2006-01-01,21.3 
PC,B-S_X_O,FI,2007-01-01,20.2 
PC,B-S_X_O,FI,2008-01-01,20.5 
PC,B-S_X_O,FI,2009-01-01,20.8 
PC,B-S_X_O,FI,2010-01-01,20.3 
PC,B-S_X_O,FI,2011-01-01,19.1 
PC,B-S_X_O,FI,2012-01-01,19.2 
PC,B-S_X_O,FI,2013-01-01,18.8 
PC,B-S_X_O,FI,2014-01-01,18.4
PC,B-S_X_O,FI,2015-01-01,17.6 
PC,B-S_X_O,FI,2016-01-01,17.4 p
PC,B-S_X_O,FR,2002-01-01,: 
PC,B-S_X_O,FR,2006-01-01,15.4 
PC,B-S_X_O,FR,2007-01-01,17.3 
PC,B-S_X_O,FR,2008-01-01,16.9 
PC,B-S_X_O,FR,2009-01-01,15.2 
PC,B-S_X_O,FR,2010-01-01,15.6 
PC,B-S_X_O,FR,2011-01-01,15.7 
PC,B-S_X_O,FR,2012-01-01,15.6 
PC,B-S_X_O,FR,2013-01-01,15.5 
PC,B-S_X_O,FR,2014-01-01,15.5
PC,B-S_X_O,FR,2015-01-01,15.3 
PC,B-S_X_O,FR,2016-01-01,15.2 p
PC,B-S_X_O,HR,2002-01-01,: 
PC,B-S_X_O,HR,2006-01-01,: 
PC,B-S_X_O,HR,2007-01-01,: 
PC,B-S_X_O,HR,2008-01-01,: 
PC,B-S_X_O,HR,2009-01-01,: 
PC,B-S_X_O,HR,2010-01-01,5.7 
PC,B-S_X_O,HR,2011-01-01,: 
PC,B-S_X_O,HR,2012-01-01,: 
PC,B-S_X_O,HR,2013-01-01,7.7 
PC,B-S_X_O,HR,2014-01-01,8.7
PC,B-S_X_O,HR,2015-01-01,: 
PC,B-S_X_O,HR,2016-01-01,: 
PC,B-S_X_O,HU,2002-01-01,19.1 
PC,B-S_X_O,HU,2006-01-01,14.4 
PC,B-S_X_O,HU,2007-01-01,16.3 
PC,B-S_X_O,HU,2008-01-01,17.5 
PC,B-S_X_O,HU,2009-01-01,17.1 
PC,B-S_X_O,HU,2010-01-01,17.6 
PC,B-S_X_O,HU,2011-01-01,18.0 
PC,B-S_X_O,HU,2012-01-01,20.1 
PC,B-S_X_O,HU,2013-01-01,18.4 
PC,B-S_X_O,HU,2014-01-01,15.1
PC,B-S_X_O,HU,2015-01-01,14.0 
PC,B-S_X_O,HU,2016-01-01,14.0 
PC,B-S_X_O,IE,2002-01-01,15.1 
PC,B-S_X_O,IE,2006-01-01,17.2 
PC,B-S_X_O,IE,2007-01-01,17.3 
PC,B-S_X_O,IE,2008-01-01,12.6 
PC,B-S_X_O,IE,2009-01-01,12.6 
PC,B-S_X_O,IE,2010-01-01,13.9 
PC,B-S_X_O,IE,2011-01-01,12.7 
PC,B-S_X_O,IE,2012-01-01,12.2 
