age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2006-01-01,75.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2007-01-01,83.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2008-01-01,71.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2009-01-01,83.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2010-01-01,79.9 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2011-01-01,73.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2012-01-01,70.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2013-01-01,68.1
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2014-01-01,80.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2015-01-01,77.4
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2016-01-01,85.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,CZ,2017-01-01,76.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2006-01-01,45.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2007-01-01,60.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2008-01-01,67.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2009-01-01,65.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2010-01-01,69.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2011-01-01,67.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2012-01-01,68.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2013-01-01,55.3
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2014-01-01,57.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,DE,2015-01-01,63.4
