wst_oper,unit,geotime,date,value
GEN,KG_HAB,CZ,2010-01-01,318.0
GEN,KG_HAB,CZ,2011-01-01,320.0
GEN,KG_HAB,CZ,2012-01-01,308.0
GEN,KG_HAB,CZ,2013-01-01,307.0
GEN,KG_HAB,CZ,2014-01-01,310.0
GEN,KG_HAB,CZ,2015-01-01,316.0
GEN,KG_HAB,CZ,2016-01-01,339.0
GEN,KG_HAB,DE,2000-01-01,642.0
GEN,KG_HAB,DE,2001-01-01,632.0
GEN,KG_HAB,DE,2002-01-01,640.0
GEN,KG_HAB,DE,2003-01-01,601.0
GEN,KG_HAB,DE,2004-01-01,587.0
GEN,KG_HAB,DE,2005-01-01,565.0
GEN,KG_HAB,DE,2006-01-01,564.0
GEN,KG_HAB,DE,2007-01-01,582.0
GEN,KG_HAB,DE,2008-01-01,589.0
GEN,KG_HAB,DE,2009-01-01,592.0
GEN,KG_HAB,DE,2010-01-01,602.0
GEN,KG_HAB,DE,2011-01-01,626.0
GEN,KG_HAB,DE,2012-01-01,619.0
GEN,KG_HAB,DE,2013-01-01,615.0
GEN,KG_HAB,DE,2014-01-01,631.0
GEN,KG_HAB,DE,2015-01-01,632.0
GEN,KG_HAB,DE,2016-01-01,627.0
GEN,KG_HAB,DK,2000-01-01,664.0
GEN,KG_HAB,DK,2001-01-01,657.0
GEN,KG_HAB,DK,2002-01-01,664.0
GEN,KG_HAB,DK,2003-01-01,671.0
GEN,KG_HAB,DK,2004-01-01,695.0
GEN,KG_HAB,DK,2005-01-01,736.0
GEN,KG_HAB,DK,2006-01-01,740.0
GEN,KG_HAB,DK,2007-01-01,790.0
GEN,KG_HAB,DK,2008-01-01,830.0
GEN,KG_HAB,DK,2009-01-01,762.0
GEN,KG_HAB,DK,2010-01-01,
GEN,KG_HAB,DK,2011-01-01,781.0
GEN,KG_HAB,DK,2012-01-01,791.0
GEN,KG_HAB,DK,2013-01-01,790.0
GEN,KG_HAB,DK,2014-01-01,789.0
GEN,KG_HAB,DK,2015-01-01,789.0
GEN,KG_HAB,DK,2016-01-01,777.0
GEN,KG_HAB,EE,2000-01-01,453.0
GEN,KG_HAB,EE,2001-01-01,366.0
GEN,KG_HAB,EE,2002-01-01,401.0
GEN,KG_HAB,EE,2003-01-01,414.0
GEN,KG_HAB,EE,2004-01-01,445.0
GEN,KG_HAB,EE,2005-01-01,433.0
GEN,KG_HAB,EE,2006-01-01,398.0
GEN,KG_HAB,EE,2007-01-01,449.0
GEN,KG_HAB,EE,2008-01-01,392.0
GEN,KG_HAB,EE,2009-01-01,339.0
GEN,KG_HAB,EE,2010-01-01,305.0
GEN,KG_HAB,EE,2011-01-01,301.0
GEN,KG_HAB,EE,2012-01-01,280.0
GEN,KG_HAB,EE,2013-01-01,293.0
GEN,KG_HAB,EE,2014-01-01,357.0
GEN,KG_HAB,EE,2015-01-01,359.0
GEN,KG_HAB,EE,2016-01-01,376.0
GEN,KG_HAB,EL,2000-01-01,412.0
GEN,KG_HAB,EL,2001-01-01,420.0
GEN,KG_HAB,EL,2002-01-01,426.0
GEN,KG_HAB,EL,2003-01-01,431.0
GEN,KG_HAB,EL,2004-01-01,436.0
GEN,KG_HAB,EL,2005-01-01,442.0
GEN,KG_HAB,EL,2006-01-01,447.0
GEN,KG_HAB,EL,2007-01-01,453.0
GEN,KG_HAB,EL,2008-01-01,458.0
GEN,KG_HAB,EL,2009-01-01,464.0
GEN,KG_HAB,EL,2010-01-01,532.0
GEN,KG_HAB,EL,2011-01-01,503.0
GEN,KG_HAB,EL,2012-01-01,495.0
GEN,KG_HAB,EL,2013-01-01,482.0
GEN,KG_HAB,EL,2014-01-01,488.0
GEN,KG_HAB,EL,2015-01-01,488.0
GEN,KG_HAB,EL,2016-01-01,498.0
GEN,KG_HAB,ES,2000-01-01,653.0
GEN,KG_HAB,ES,2001-01-01,652.0
GEN,KG_HAB,ES,2002-01-01,637.0
GEN,KG_HAB,ES,2003-01-01,646.0
GEN,KG_HAB,ES,2004-01-01,600.0
GEN,KG_HAB,ES,2005-01-01,588.0
GEN,KG_HAB,ES,2006-01-01,590.0
GEN,KG_HAB,ES,2007-01-01,578.0
GEN,KG_HAB,ES,2008-01-01,551.0
GEN,KG_HAB,ES,2009-01-01,542.0
GEN,KG_HAB,ES,2010-01-01,510.0
GEN,KG_HAB,ES,2011-01-01,485.0
GEN,KG_HAB,ES,2012-01-01,468.0
GEN,KG_HAB,ES,2013-01-01,454.0
GEN,KG_HAB,ES,2014-01-01,448.0
GEN,KG_HAB,ES,2015-01-01,456.0
GEN,KG_HAB,ES,2016-01-01,443.0
GEN,KG_HAB,EU27,2000-01-01,523.0
GEN,KG_HAB,EU27,2001-01-01,522.0
GEN,KG_HAB,EU27,2002-01-01,527.0
GEN,KG_HAB,EU27,2003-01-01,515.0
GEN,KG_HAB,EU27,2004-01-01,514.0
GEN,KG_HAB,EU27,2005-01-01,517.0
GEN,KG_HAB,EU27,2006-01-01,523.0
GEN,KG_HAB,EU27,2007-01-01,525.0
GEN,KG_HAB,EU27,2008-01-01,522.0
GEN,KG_HAB,EU27,2009-01-01,512.0
GEN,KG_HAB,EU27,2010-01-01,505.0
GEN,KG_HAB,EU27,2011-01-01,498.0
GEN,KG_HAB,EU27,2012-01-01,487.0
GEN,KG_HAB,EU27,2013-01-01,479.0
GEN,KG_HAB,EU27,2014-01-01,479.0
GEN,KG_HAB,EU27,2015-01-01,481.0
GEN,KG_HAB,EU27,2016-01-01,483.0
GEN,KG_HAB,EU28,2000-01-01,521.0
GEN,KG_HAB,EU28,2001-01-01,
GEN,KG_HAB,EU28,2002-01-01,
GEN,KG_HAB,EU28,2003-01-01,
GEN,KG_HAB,EU28,2004-01-01,512.0
GEN,KG_HAB,EU28,2005-01-01,515.0
GEN,KG_HAB,EU28,2006-01-01,522.0
GEN,KG_HAB,EU28,2007-01-01,524.0
GEN,KG_HAB,EU28,2008-01-01,521.0
GEN,KG_HAB,EU28,2009-01-01,511.0
GEN,KG_HAB,EU28,2010-01-01,504.0
GEN,KG_HAB,EU28,2011-01-01,497.0
GEN,KG_HAB,EU28,2012-01-01,486.0
GEN,KG_HAB,EU28,2013-01-01,479.0
GEN,KG_HAB,EU28,2014-01-01,478.0
GEN,KG_HAB,EU28,2015-01-01,481.0
GEN,KG_HAB,EU28,2016-01-01,483.0
GEN,KG_HAB,FI,2000-01-01,502.0
GEN,KG_HAB,FI,2001-01-01,465.0
GEN,KG_HAB,FI,2002-01-01,458.0
GEN,KG_HAB,FI,2003-01-01,466.0
GEN,KG_HAB,FI,2004-01-01,469.0
GEN,KG_HAB,FI,2005-01-01,478.0
GEN,KG_HAB,FI,2006-01-01,494.0
GEN,KG_HAB,FI,2007-01-01,506.0
GEN,KG_HAB,FI,2008-01-01,521.0
GEN,KG_HAB,FI,2009-01-01,480.0
GEN,KG_HAB,FI,2010-01-01,470.0
GEN,KG_HAB,FI,2011-01-01,505.0
GEN,KG_HAB,FI,2012-01-01,506.0
GEN,KG_HAB,FI,2013-01-01,493.0
GEN,KG_HAB,FI,2014-01-01,482.0
GEN,KG_HAB,FI,2015-01-01,500.0
GEN,KG_HAB,FI,2016-01-01,504.0
GEN,KG_HAB,FR,2000-01-01,514.0
GEN,KG_HAB,FR,2001-01-01,526.0
GEN,KG_HAB,FR,2002-01-01,530.0
GEN,KG_HAB,FR,2003-01-01,506.0
GEN,KG_HAB,FR,2004-01-01,519.0
GEN,KG_HAB,FR,2005-01-01,530.0
GEN,KG_HAB,FR,2006-01-01,536.0
GEN,KG_HAB,FR,2007-01-01,543.0
GEN,KG_HAB,FR,2008-01-01,541.0
GEN,KG_HAB,FR,2009-01-01,535.0
GEN,KG_HAB,FR,2010-01-01,534.0
GEN,KG_HAB,FR,2011-01-01,534.0
GEN,KG_HAB,FR,2012-01-01,527.0
GEN,KG_HAB,FR,2013-01-01,520.0
GEN,KG_HAB,FR,2014-01-01,519.0
GEN,KG_HAB,FR,2015-01-01,517.0
GEN,KG_HAB,FR,2016-01-01,511.0
GEN,KG_HAB,HR,2000-01-01,262.0
GEN,KG_HAB,HR,2001-01-01,
GEN,KG_HAB,HR,2002-01-01,
GEN,KG_HAB,HR,2003-01-01,
GEN,KG_HAB,HR,2004-01-01,304.0
GEN,KG_HAB,HR,2005-01-01,336.0
GEN,KG_HAB,HR,2006-01-01,384.0
GEN,KG_HAB,HR,2007-01-01,399.0
GEN,KG_HAB,HR,2008-01-01,415.0
GEN,KG_HAB,HR,2009-01-01,405.0
GEN,KG_HAB,HR,2010-01-01,379.0
GEN,KG_HAB,HR,2011-01-01,384.0
GEN,KG_HAB,HR,2012-01-01,391.0
GEN,KG_HAB,HR,2013-01-01,404.0
GEN,KG_HAB,HR,2014-01-01,387.0
GEN,KG_HAB,HR,2015-01-01,393.0
GEN,KG_HAB,HR,2016-01-01,403.0
GEN,KG_HAB,HU,2000-01-01,446.0
GEN,KG_HAB,HU,2001-01-01,452.0
GEN,KG_HAB,HU,2002-01-01,457.0
GEN,KG_HAB,HU,2003-01-01,464.0
GEN,KG_HAB,HU,2004-01-01,454.0
GEN,KG_HAB,HU,2005-01-01,461.0
GEN,KG_HAB,HU,2006-01-01,468.0
GEN,KG_HAB,HU,2007-01-01,457.0
GEN,KG_HAB,HU,2008-01-01,454.0
GEN,KG_HAB,HU,2009-01-01,430.0
GEN,KG_HAB,HU,2010-01-01,403.0
GEN,KG_HAB,HU,2011-01-01,382.0
GEN,KG_HAB,HU,2012-01-01,402.0
