indic_em,age,unit,sex,geotime,date,value
EMP_LFS,Y20-64,PC_POP,F,AT,1993-01-01,
EMP_LFS,Y20-64,PC_POP,F,AT,1994-01-01,
EMP_LFS,Y20-64,PC_POP,F,AT,1995-01-01,60.9
EMP_LFS,Y20-64,PC_POP,F,AT,1996-01-01,60.7
EMP_LFS,Y20-64,PC_POP,F,AT,1997-01-01,60.9
EMP_LFS,Y20-64,PC_POP,F,AT,1998-01-01,61.5
EMP_LFS,Y20-64,PC_POP,F,AT,1999-01-01,61.8
EMP_LFS,Y20-64,PC_POP,F,AT,2000-01-01,62.3
EMP_LFS,Y20-64,PC_POP,F,AT,2001-01-01,62.8
EMP_LFS,Y20-64,PC_POP,F,AT,2002-01-01,64.1
EMP_LFS,Y20-64,PC_POP,F,AT,2003-01-01,64.5
EMP_LFS,Y20-64,PC_POP,F,AT,2004-01-01,62.7
EMP_LFS,Y20-64,PC_POP,F,AT,2005-01-01,64.0
EMP_LFS,Y20-64,PC_POP,F,AT,2006-01-01,65.2
EMP_LFS,Y20-64,PC_POP,F,AT,2007-01-01,66.2
EMP_LFS,Y20-64,PC_POP,F,AT,2008-01-01,67.6
EMP_LFS,Y20-64,PC_POP,F,AT,2009-01-01,68.2
EMP_LFS,Y20-64,PC_POP,F,AT,2010-01-01,68.8
EMP_LFS,Y20-64,PC_POP,F,AT,2011-01-01,69.2
EMP_LFS,Y20-64,PC_POP,F,AT,2012-01-01,69.6
EMP_LFS,Y20-64,PC_POP,F,AT,2013-01-01,70.0
EMP_LFS,Y20-64,PC_POP,F,AT,2014-01-01,70.1
EMP_LFS,Y20-64,PC_POP,F,AT,2015-01-01,70.2
EMP_LFS,Y20-64,PC_POP,F,AT,2016-01-01,70.9
EMP_LFS,Y20-64,PC_POP,F,AT,2017-01-01,71.4
EMP_LFS,Y20-64,PC_POP,F,BE,1993-01-01,48.9
EMP_LFS,Y20-64,PC_POP,F,BE,1994-01-01,49.1
EMP_LFS,Y20-64,PC_POP,F,BE,1995-01-01,49.6
EMP_LFS,Y20-64,PC_POP,F,BE,1996-01-01,50.2
