unit,landcover,geotime,date,value
PC,LCC1,AT,2009-01-01,41.1
PC,LCC1,AT,2012-01-01,41.3
PC,LCC1,AT,2015-01-01,42.9
PC,LCC1,BE,2009-01-01,20.8
PC,LCC1,BE,2012-01-01,21.6
PC,LCC1,BE,2015-01-01,22.3
PC,LCC1,BG,2009-01-01,
PC,LCC1,BG,2012-01-01,38.2
PC,LCC1,BG,2015-01-01,40.8
PC,LCC1,CY,2009-01-01,
PC,LCC1,CY,2012-01-01,20.3
PC,LCC1,CY,2015-01-01,23.2
PC,LCC1,CZ,2009-01-01,36.3
PC,LCC1,CZ,2012-01-01,36.7
PC,LCC1,CZ,2015-01-01,36.9
PC,LCC1,DE,2009-01-01,30.3
PC,LCC1,DE,2012-01-01,30.5
PC,LCC1,DE,2015-01-01,31.6
PC,LCC1,DK,2009-01-01,12.3
PC,LCC1,DK,2012-01-01,12.0
PC,LCC1,DK,2015-01-01,14.0
PC,LCC1,EE,2009-01-01,51.9
PC,LCC1,EE,2012-01-01,54.5
PC,LCC1,EE,2015-01-01,56.3
PC,LCC1,EL,2009-01-01,28.1
PC,LCC1,EL,2012-01-01,28.4
PC,LCC1,EL,2015-01-01,31.1
PC,LCC1,ES,2009-01-01,24.6
PC,LCC1,ES,2012-01-01,25.0
PC,LCC1,ES,2015-01-01,27.0
PC,LCC1,EU27,2009-01-01,
PC,LCC1,EU27,2012-01-01,35.1
PC,LCC1,EU27,2015-01-01,36.1
PC,LCC1,EU28,2009-01-01,
PC,LCC1,EU28,2012-01-01,
PC,LCC1,EU28,2015-01-01,36.2
PC,LCC1,EU_V,2009-01-01,34.6
PC,LCC1,EU_V,2012-01-01,35.2
PC,LCC1,EU_V,2015-01-01,36.2
PC,LCC1,FI,2009-01-01,65.1
PC,LCC1,FI,2012-01-01,66.4
PC,LCC1,FI,2015-01-01,66.8
PC,LCC1,FR,2009-01-01,27.6
PC,LCC1,FR,2012-01-01,27.6
PC,LCC1,FR,2015-01-01,28.3
PC,LCC1,HR,2009-01-01,
PC,LCC1,HR,2012-01-01,
PC,LCC1,HR,2015-01-01,44.8
PC,LCC1,HU,2009-01-01,20.2
PC,LCC1,HU,2012-01-01,21.6
PC,LCC1,HU,2015-01-01,23.6
PC,LCC1,IE,2009-01-01,9.1
PC,LCC1,IE,2012-01-01,10.2
PC,LCC1,IE,2015-01-01,10.5
PC,LCC1,IT,2009-01-01,30.1
PC,LCC1,IT,2012-01-01,30.9
PC,LCC1,IT,2015-01-01,31.3
PC,LCC1,LT,2009-01-01,34.7
PC,LCC1,LT,2012-01-01,36.2
PC,LCC1,LT,2015-01-01,37.4
PC,LCC1,LU,2009-01-01,33.2
PC,LCC1,LU,2012-01-01,32.8
PC,LCC1,LU,2015-01-01,33.9
PC,LCC1,LV,2009-01-01,49.2
PC,LCC1,LV,2012-01-01,51.6
PC,LCC1,LV,2015-01-01,51.7
PC,LCC1,MT,2009-01-01,
PC,LCC1,MT,2012-01-01,2.9
PC,LCC1,MT,2015-01-01,1.3
PC,LCC1,NL,2009-01-01,6.5
PC,LCC1,NL,2012-01-01,6.3
PC,LCC1,NL,2015-01-01,6.5
PC,LCC1,PL,2009-01-01,31.8
PC,LCC1,PL,2012-01-01,33.2
PC,LCC1,PL,2015-01-01,34.7
PC,LCC1,PT,2009-01-01,27.2
PC,LCC1,PT,2012-01-01,28.2
PC,LCC1,PT,2015-01-01,31.8
PC,LCC1,RO,2009-01-01,
PC,LCC1,RO,2012-01-01,31.1
PC,LCC1,RO,2015-01-01,32.7
PC,LCC1,SE,2009-01-01,60.5
PC,LCC1,SE,2012-01-01,61.4
PC,LCC1,SE,2015-01-01,61.7
PC,LCC1,SI,2009-01-01,60.4
PC,LCC1,SI,2012-01-01,60.2
PC,LCC1,SI,2015-01-01,61.7
PC,LCC1,SK,2009-01-01,43.5
PC,LCC1,SK,2012-01-01,44.6
PC,LCC1,SK,2015-01-01,45.8
PC,LCC1,UK,2009-01-01,9.9
PC,LCC1,UK,2012-01-01,10.2
PC,LCC1,UK,2015-01-01,9.7
PC,LCC1_2,AT,2009-01-01,45.2
PC,LCC1_2,AT,2012-01-01,45.0
PC,LCC1_2,AT,2015-01-01,46.7
PC,LCC1_2,BE,2009-01-01,21.7
PC,LCC1_2,BE,2012-01-01,22.4
PC,LCC1_2,BE,2015-01-01,23.1
PC,LCC1_2,BG,2009-01-01,
PC,LCC1_2,BG,2012-01-01,42.2
PC,LCC1_2,BG,2015-01-01,44.7
PC,LCC1_2,CY,2009-01-01,
PC,LCC1_2,CY,2012-01-01,33.3
PC,LCC1_2,CY,2015-01-01,39.7
PC,LCC1_2,CZ,2009-01-01,37.0
PC,LCC1_2,CZ,2012-01-01,37.5
PC,LCC1_2,CZ,2015-01-01,37.7
PC,LCC1_2,DE,2009-01-01,30.9
PC,LCC1_2,DE,2012-01-01,31.1
PC,LCC1_2,DE,2015-01-01,32.2
PC,LCC1_2,DK,2009-01-01,13.7
PC,LCC1_2,DK,2012-01-01,13.4
PC,LCC1_2,DK,2015-01-01,15.6
PC,LCC1_2,EE,2009-01-01,55.6
PC,LCC1_2,EE,2012-01-01,57.6
PC,LCC1_2,EE,2015-01-01,58.2
PC,LCC1_2,EL,2009-01-01,38.4
PC,LCC1_2,EL,2012-01-01,40.4
PC,LCC1_2,EL,2015-01-01,44.5
PC,LCC1_2,ES,2009-01-01,33.5
PC,LCC1_2,ES,2012-01-01,36.6
PC,LCC1_2,ES,2015-01-01,39.2
PC,LCC1_2,EU27,2009-01-01,
PC,LCC1_2,EU27,2012-01-01,40.3
PC,LCC1_2,EU27,2015-01-01,41.6
PC,LCC1_2,EU28,2009-01-01,
PC,LCC1_2,EU28,2012-01-01,
PC,LCC1_2,EU28,2015-01-01,41.7
PC,LCC1_2,EU_V,2009-01-01,39.3
PC,LCC1_2,EU_V,2012-01-01,40.7
PC,LCC1_2,EU_V,2015-01-01,41.9
PC,LCC1_2,FI,2009-01-01,68.7
PC,LCC1_2,FI,2012-01-01,70.5
PC,LCC1_2,FI,2015-01-01,71.3
PC,LCC1_2,FR,2009-01-01,30.1
PC,LCC1_2,FR,2012-01-01,30.6
PC,LCC1_2,FR,2015-01-01,31.0
PC,LCC1_2,HR,2009-01-01,
PC,LCC1_2,HR,2012-01-01,
PC,LCC1_2,HR,2015-01-01,50.6
PC,LCC1_2,HU,2009-01-01,22.0
PC,LCC1_2,HU,2012-01-01,23.4
PC,LCC1_2,HU,2015-01-01,25.2
PC,LCC1_2,IE,2009-01-01,15.8
PC,LCC1_2,IE,2012-01-01,22.0
PC,LCC1_2,IE,2015-01-01,22.4
PC,LCC1_2,IT,2009-01-01,33.6
PC,LCC1_2,IT,2012-01-01,35.0
PC,LCC1_2,IT,2015-01-01,35.6
PC,LCC1_2,LT,2009-01-01,36.3
PC,LCC1_2,LT,2012-01-01,37.8
PC,LCC1_2,LT,2015-01-01,38.3
PC,LCC1_2,LU,2009-01-01,34.4
PC,LCC1_2,LU,2012-01-01,34.0
PC,LCC1_2,LU,2015-01-01,36.3
PC,LCC1_2,LV,2009-01-01,53.2
PC,LCC1_2,LV,2012-01-01,55.0
PC,LCC1_2,LV,2015-01-01,56.4
PC,LCC1_2,MT,2009-01-01,
PC,LCC1_2,MT,2012-01-01,13.1
PC,LCC1_2,MT,2015-01-01,11.5
PC,LCC1_2,NL,2009-01-01,7.4
PC,LCC1_2,NL,2012-01-01,7.4
PC,LCC1_2,NL,2015-01-01,8.0
PC,LCC1_2,PL,2009-01-01,33.2
PC,LCC1_2,PL,2012-01-01,34.6
PC,LCC1_2,PL,2015-01-01,36.1
PC,LCC1_2,PT,2009-01-01,36.9
PC,LCC1_2,PT,2012-01-01,41.9
PC,LCC1_2,PT,2015-01-01,46.6
PC,LCC1_2,RO,2009-01-01,
PC,LCC1_2,RO,2012-01-01,32.5
PC,LCC1_2,RO,2015-01-01,34.1
PC,LCC1_2,SE,2009-01-01,64.6
PC,LCC1_2,SE,2012-01-01,66.5
PC,LCC1_2,SE,2015-01-01,66.5
PC,LCC1_2,SI,2009-01-01,62.1
PC,LCC1_2,SI,2012-01-01,62.0
PC,LCC1_2,SI,2015-01-01,63.4
PC,LCC1_2,SK,2009-01-01,45.8
PC,LCC1_2,SK,2012-01-01,47.0
PC,LCC1_2,SK,2015-01-01,48.7
PC,LCC1_2,UK,2009-01-01,25.3
PC,LCC1_2,UK,2012-01-01,25.6
PC,LCC1_2,UK,2015-01-01,26.9
PC,LCC2,AT,2009-01-01,4.1
PC,LCC2,AT,2012-01-01,3.7
PC,LCC2,AT,2015-01-01,3.8
PC,LCC2,BE,2009-01-01,0.9
PC,LCC2,BE,2012-01-01,0.8
PC,LCC2,BE,2015-01-01,0.8
PC,LCC2,BG,2009-01-01,
PC,LCC2,BG,2012-01-01,4.0
PC,LCC2,BG,2015-01-01,3.9
PC,LCC2,CY,2009-01-01,
PC,LCC2,CY,2012-01-01,13.0
PC,LCC2,CY,2015-01-01,16.5
PC,LCC2,CZ,2009-01-01,0.7
PC,LCC2,CZ,2012-01-01,0.8
PC,LCC2,CZ,2015-01-01,0.8
PC,LCC2,DE,2009-01-01,0.6
PC,LCC2,DE,2012-01-01,0.6
PC,LCC2,DE,2015-01-01,0.6
PC,LCC2,DK,2009-01-01,1.4
PC,LCC2,DK,2012-01-01,1.4
PC,LCC2,DK,2015-01-01,1.6
PC,LCC2,EE,2009-01-01,3.7
PC,LCC2,EE,2012-01-01,3.1
PC,LCC2,EE,2015-01-01,1.9
PC,LCC2,EL,2009-01-01,10.3
PC,LCC2,EL,2012-01-01,12.0
PC,LCC2,EL,2015-01-01,13.4
PC,LCC2,ES,2009-01-01,8.9
PC,LCC2,ES,2012-01-01,11.6
PC,LCC2,ES,2015-01-01,12.2
PC,LCC2,EU27,2009-01-01,
PC,LCC2,EU27,2012-01-01,5.2
PC,LCC2,EU27,2015-01-01,5.5
PC,LCC2,EU28,2009-01-01,
PC,LCC2,EU28,2012-01-01,
PC,LCC2,EU28,2015-01-01,5.5
PC,LCC2,EU_V,2009-01-01,4.7
PC,LCC2,EU_V,2012-01-01,5.5
PC,LCC2,EU_V,2015-01-01,5.7
PC,LCC2,FI,2009-01-01,3.6
PC,LCC2,FI,2012-01-01,4.1
PC,LCC2,FI,2015-01-01,4.5
PC,LCC2,FR,2009-01-01,2.5
PC,LCC2,FR,2012-01-01,3.0
PC,LCC2,FR,2015-01-01,2.7
PC,LCC2,HR,2009-01-01,
PC,LCC2,HR,2012-01-01,
PC,LCC2,HR,2015-01-01,5.8
PC,LCC2,HU,2009-01-01,1.8
PC,LCC2,HU,2012-01-01,1.8
PC,LCC2,HU,2015-01-01,1.6
PC,LCC2,IE,2009-01-01,6.7
PC,LCC2,IE,2012-01-01,11.8
PC,LCC2,IE,2015-01-01,11.9
PC,LCC2,IT,2009-01-01,3.5
PC,LCC2,IT,2012-01-01,4.1
PC,LCC2,IT,2015-01-01,4.3
PC,LCC2,LT,2009-01-01,1.6
PC,LCC2,LT,2012-01-01,1.6
PC,LCC2,LT,2015-01-01,0.9
PC,LCC2,LU,2009-01-01,1.2
PC,LCC2,LU,2012-01-01,1.2
PC,LCC2,LU,2015-01-01,2.4
PC,LCC2,LV,2009-01-01,4.0
PC,LCC2,LV,2012-01-01,3.4
PC,LCC2,LV,2015-01-01,4.7
PC,LCC2,MT,2009-01-01,
PC,LCC2,MT,2012-01-01,10.2
PC,LCC2,MT,2015-01-01,10.2
PC,LCC2,NL,2009-01-01,0.9
PC,LCC2,NL,2012-01-01,1.1
PC,LCC2,NL,2015-01-01,1.5
PC,LCC2,PL,2009-01-01,1.4
PC,LCC2,PL,2012-01-01,1.4
PC,LCC2,PL,2015-01-01,1.4
PC,LCC2,PT,2009-01-01,9.7
PC,LCC2,PT,2012-01-01,13.7
PC,LCC2,PT,2015-01-01,14.8
PC,LCC2,RO,2009-01-01,
PC,LCC2,RO,2012-01-01,1.4
PC,LCC2,RO,2015-01-01,1.4
PC,LCC2,SE,2009-01-01,4.1
PC,LCC2,SE,2012-01-01,5.1
PC,LCC2,SE,2015-01-01,4.8
PC,LCC2,SI,2009-01-01,1.7
PC,LCC2,SI,2012-01-01,1.8
PC,LCC2,SI,2015-01-01,1.7
PC,LCC2,SK,2009-01-01,2.3
PC,LCC2,SK,2012-01-01,2.4
PC,LCC2,SK,2015-01-01,2.9
PC,LCC2,UK,2009-01-01,15.4
PC,LCC2,UK,2012-01-01,15.4
PC,LCC2,UK,2015-01-01,17.2
