sex,unit,indic_il,age,geotime,date,value
T,PC,LI_R_MD60,TOTAL,EE,2004-01-01,20.2
T,PC,LI_R_MD60,TOTAL,EE,2005-01-01,18.3
T,PC,LI_R_MD60,TOTAL,EE,2006-01-01,18.3
T,PC,LI_R_MD60,TOTAL,EE,2007-01-01,19.4
T,PC,LI_R_MD60,TOTAL,EE,2008-01-01,19.5
T,PC,LI_R_MD60,TOTAL,EE,2009-01-01,19.7
T,PC,LI_R_MD60,TOTAL,EE,2010-01-01,15.8
T,PC,LI_R_MD60,TOTAL,EE,2011-01-01,17.5
T,PC,LI_R_MD60,TOTAL,EE,2012-01-01,17.5
T,PC,LI_R_MD60,TOTAL,EE,2013-01-01,18.6
T,PC,LI_R_MD60,TOTAL,EE,2014-01-01,21.8
T,PC,LI_R_MD60,TOTAL,EE,2015-01-01,21.6
T,PC,LI_R_MD60,TOTAL,EE,2016-01-01,21.7
T,PC,LI_R_MD60,TOTAL,EE,2017-01-01,21.0
T,PC,LI_R_MD60,TOTAL,EL,1995-01-01,22.0
T,PC,LI_R_MD60,TOTAL,EL,1996-01-01,21.0
T,PC,LI_R_MD60,TOTAL,EL,1997-01-01,21.0
T,PC,LI_R_MD60,TOTAL,EL,1998-01-01,21.0
T,PC,LI_R_MD60,TOTAL,EL,1999-01-01,21.0
T,PC,LI_R_MD60,TOTAL,EL,2000-01-01,20.0
T,PC,LI_R_MD60,TOTAL,EL,2001-01-01,20.0
T,PC,LI_R_MD60,TOTAL,EL,2002-01-01,
T,PC,LI_R_MD60,TOTAL,EL,2003-01-01,20.7
T,PC,LI_R_MD60,TOTAL,EL,2004-01-01,19.9
T,PC,LI_R_MD60,TOTAL,EL,2005-01-01,19.6
T,PC,LI_R_MD60,TOTAL,EL,2006-01-01,20.5
T,PC,LI_R_MD60,TOTAL,EL,2007-01-01,20.3
T,PC,LI_R_MD60,TOTAL,EL,2008-01-01,20.1
T,PC,LI_R_MD60,TOTAL,EL,2009-01-01,19.7
T,PC,LI_R_MD60,TOTAL,EL,2010-01-01,20.1
T,PC,LI_R_MD60,TOTAL,EL,2011-01-01,21.4
T,PC,LI_R_MD60,TOTAL,EL,2012-01-01,23.1
T,PC,LI_R_MD60,TOTAL,EL,2013-01-01,23.1
T,PC,LI_R_MD60,TOTAL,EL,2014-01-01,22.1
T,PC,LI_R_MD60,TOTAL,EL,2015-01-01,21.4
T,PC,LI_R_MD60,TOTAL,EL,2016-01-01,21.2
T,PC,LI_R_MD60,TOTAL,EL,2017-01-01,20.2
T,PC,LI_R_MD60,TOTAL,ES,1995-01-01,19.0
T,PC,LI_R_MD60,TOTAL,ES,1996-01-01,18.0
T,PC,LI_R_MD60,TOTAL,ES,1997-01-01,20.0
T,PC,LI_R_MD60,TOTAL,ES,1998-01-01,18.0
T,PC,LI_R_MD60,TOTAL,ES,1999-01-01,19.0
T,PC,LI_R_MD60,TOTAL,ES,2000-01-01,18.0
T,PC,LI_R_MD60,TOTAL,ES,2001-01-01,19.0
T,PC,LI_R_MD60,TOTAL,ES,2002-01-01,19.0
T,PC,LI_R_MD60,TOTAL,ES,2003-01-01,
T,PC,LI_R_MD60,TOTAL,ES,2004-01-01,20.1
T,PC,LI_R_MD60,TOTAL,ES,2005-01-01,20.1
T,PC,LI_R_MD60,TOTAL,ES,2006-01-01,20.3
T,PC,LI_R_MD60,TOTAL,ES,2007-01-01,19.7
T,PC,LI_R_MD60,TOTAL,ES,2008-01-01,19.8
T,PC,LI_R_MD60,TOTAL,ES,2009-01-01,20.4
T,PC,LI_R_MD60,TOTAL,ES,2010-01-01,20.7
T,PC,LI_R_MD60,TOTAL,ES,2011-01-01,20.6
T,PC,LI_R_MD60,TOTAL,ES,2012-01-01,20.8
T,PC,LI_R_MD60,TOTAL,ES,2013-01-01,20.4
T,PC,LI_R_MD60,TOTAL,ES,2014-01-01,22.2
T,PC,LI_R_MD60,TOTAL,ES,2015-01-01,22.1
T,PC,LI_R_MD60,TOTAL,ES,2016-01-01,22.3
T,PC,LI_R_MD60,TOTAL,ES,2017-01-01,21.6
T,PC,LI_R_MD60,TOTAL,FI,1995-01-01,
T,PC,LI_R_MD60,TOTAL,FI,1996-01-01,8.0
T,PC,LI_R_MD60,TOTAL,FI,1997-01-01,8.0
T,PC,LI_R_MD60,TOTAL,FI,1998-01-01,9.0
T,PC,LI_R_MD60,TOTAL,FI,1999-01-01,11.0
T,PC,LI_R_MD60,TOTAL,FI,2000-01-01,11.0
T,PC,LI_R_MD60,TOTAL,FI,2001-01-01,11.0
T,PC,LI_R_MD60,TOTAL,FI,2002-01-01,11.0
T,PC,LI_R_MD60,TOTAL,FI,2003-01-01,
T,PC,LI_R_MD60,TOTAL,FI,2004-01-01,11.0
T,PC,LI_R_MD60,TOTAL,FI,2005-01-01,11.7
T,PC,LI_R_MD60,TOTAL,FI,2006-01-01,12.6
T,PC,LI_R_MD60,TOTAL,FI,2007-01-01,13.0
T,PC,LI_R_MD60,TOTAL,FI,2008-01-01,13.6
T,PC,LI_R_MD60,TOTAL,FI,2009-01-01,13.8
T,PC,LI_R_MD60,TOTAL,FI,2010-01-01,13.1
T,PC,LI_R_MD60,TOTAL,FI,2011-01-01,13.7
T,PC,LI_R_MD60,TOTAL,FI,2012-01-01,13.2
T,PC,LI_R_MD60,TOTAL,FI,2013-01-01,11.8
T,PC,LI_R_MD60,TOTAL,FI,2014-01-01,12.8
T,PC,LI_R_MD60,TOTAL,FI,2015-01-01,12.4
T,PC,LI_R_MD60,TOTAL,FI,2016-01-01,11.6
T,PC,LI_R_MD60,TOTAL,FI,2017-01-01,11.5
T,PC,LI_R_MD60,TOTAL,FR,1995-01-01,15.0
T,PC,LI_R_MD60,TOTAL,FR,1996-01-01,15.0
T,PC,LI_R_MD60,TOTAL,FR,1997-01-01,15.0
T,PC,LI_R_MD60,TOTAL,FR,1998-01-01,15.0
T,PC,LI_R_MD60,TOTAL,FR,1999-01-01,15.0
T,PC,LI_R_MD60,TOTAL,FR,2000-01-01,16.0
T,PC,LI_R_MD60,TOTAL,FR,2001-01-01,13.0
T,PC,LI_R_MD60,TOTAL,FR,2002-01-01,12.0
T,PC,LI_R_MD60,TOTAL,FR,2003-01-01,
