worktime,age,unit,sex,geotime,date,value
TEMP,Y20-64,PC_EMP,T,AT,2005-01-01,4
TEMP,Y20-64,PC_EMP,T,AT,2006-01-01,4
TEMP,Y20-64,PC_EMP,T,AT,2007-01-01,4
TEMP,Y20-64,PC_EMP,T,AT,2008-01-01,4
TEMP,Y20-64,PC_EMP,T,AT,2009-01-01,4
TEMP,Y20-64,PC_EMP,T,AT,2010-01-01,5
TEMP,Y20-64,PC_EMP,T,AT,2011-01-01,5
TEMP,Y20-64,PC_EMP,T,AT,2012-01-01,5
TEMP,Y20-64,PC_EMP,T,AT,2013-01-01,5
TEMP,Y20-64,PC_EMP,T,AT,2014-01-01,5
TEMP,Y20-64,PC_EMP,T,AT,2015-01-01,5
TEMP,Y20-64,PC_EMP,T,AT,2016-01-01,5
TEMP,Y20-64,PC_EMP,T,AT,2017-01-01,6
TEMP,Y20-64,PC_EMP,T,BE,2005-01-01,7
TEMP,Y20-64,PC_EMP,T,BE,2006-01-01,6
TEMP,Y20-64,PC_EMP,T,BE,2007-01-01,6
TEMP,Y20-64,PC_EMP,T,BE,2008-01-01,6
TEMP,Y20-64,PC_EMP,T,BE,2009-01-01,6
TEMP,Y20-64,PC_EMP,T,BE,2010-01-01,6
TEMP,Y20-64,PC_EMP,T,BE,2011-01-01,7
TEMP,Y20-64,PC_EMP,T,BE,2012-01-01,6
TEMP,Y20-64,PC_EMP,T,BE,2013-01-01,6
TEMP,Y20-64,PC_EMP,T,BE,2014-01-01,7
TEMP,Y20-64,PC_EMP,T,BE,2015-01-01,7
TEMP,Y20-64,PC_EMP,T,BE,2016-01-01,7
TEMP,Y20-64,PC_EMP,T,BE,2017-01-01,8
TEMP,Y20-64,PC_EMP,T,BG,2005-01-01,5
TEMP,Y20-64,PC_EMP,T,BG,2006-01-01,4
TEMP,Y20-64,PC_EMP,T,BG,2007-01-01,4
TEMP,Y20-64,PC_EMP,T,BG,2008-01-01,4
TEMP,Y20-64,PC_EMP,T,BG,2009-01-01,3
TEMP,Y20-64,PC_EMP,T,BG,2010-01-01,3
TEMP,Y20-64,PC_EMP,T,BG,2011-01-01,3
TEMP,Y20-64,PC_EMP,T,BG,2012-01-01,3
TEMP,Y20-64,PC_EMP,T,BG,2013-01-01,4
TEMP,Y20-64,PC_EMP,T,BG,2014-01-01,4
TEMP,Y20-64,PC_EMP,T,BG,2015-01-01,3
TEMP,Y20-64,PC_EMP,T,BG,2016-01-01,3
TEMP,Y20-64,PC_EMP,T,BG,2017-01-01,3
TEMP,Y20-64,PC_EMP,T,CH,2005-01-01,
TEMP,Y20-64,PC_EMP,T,CH,2006-01-01,
TEMP,Y20-64,PC_EMP,T,CH,2007-01-01,
TEMP,Y20-64,PC_EMP,T,CH,2008-01-01,
TEMP,Y20-64,PC_EMP,T,CH,2009-01-01,
TEMP,Y20-64,PC_EMP,T,CH,2010-01-01,7
TEMP,Y20-64,PC_EMP,T,CH,2011-01-01,6
TEMP,Y20-64,PC_EMP,T,CH,2012-01-01,7
TEMP,Y20-64,PC_EMP,T,CH,2013-01-01,7
TEMP,Y20-64,PC_EMP,T,CH,2014-01-01,7
TEMP,Y20-64,PC_EMP,T,CH,2015-01-01,8
TEMP,Y20-64,PC_EMP,T,CH,2016-01-01,7
TEMP,Y20-64,PC_EMP,T,CH,2017-01-01,7
TEMP,Y20-64,PC_EMP,T,CY,2005-01-01,10
TEMP,Y20-64,PC_EMP,T,CY,2006-01-01,10
TEMP,Y20-64,PC_EMP,T,CY,2007-01-01,10
TEMP,Y20-64,PC_EMP,T,CY,2008-01-01,11
TEMP,Y20-64,PC_EMP,T,CY,2009-01-01,11
TEMP,Y20-64,PC_EMP,T,CY,2010-01-01,11
TEMP,Y20-64,PC_EMP,T,CY,2011-01-01,11
TEMP,Y20-64,PC_EMP,T,CY,2012-01-01,12
TEMP,Y20-64,PC_EMP,T,CY,2013-01-01,14
TEMP,Y20-64,PC_EMP,T,CY,2014-01-01,15
TEMP,Y20-64,PC_EMP,T,CY,2015-01-01,15
TEMP,Y20-64,PC_EMP,T,CY,2016-01-01,14
TEMP,Y20-64,PC_EMP,T,CY,2017-01-01,13
TEMP,Y20-64,PC_EMP,T,CZ,2005-01-01,6
TEMP,Y20-64,PC_EMP,T,CZ,2006-01-01,6
TEMP,Y20-64,PC_EMP,T,CZ,2007-01-01,6
TEMP,Y20-64,PC_EMP,T,CZ,2008-01-01,5
TEMP,Y20-64,PC_EMP,T,CZ,2009-01-01,6
TEMP,Y20-64,PC_EMP,T,CZ,2010-01-01,6
TEMP,Y20-64,PC_EMP,T,CZ,2011-01-01,6
TEMP,Y20-64,PC_EMP,T,CZ,2012-01-01,6
TEMP,Y20-64,PC_EMP,T,CZ,2013-01-01,7
TEMP,Y20-64,PC_EMP,T,CZ,2014-01-01,7
TEMP,Y20-64,PC_EMP,T,CZ,2015-01-01,8
TEMP,Y20-64,PC_EMP,T,CZ,2016-01-01,7
TEMP,Y20-64,PC_EMP,T,CZ,2017-01-01,7
TEMP,Y20-64,PC_EMP,T,DE,2005-01-01,10
TEMP,Y20-64,PC_EMP,T,DE,2006-01-01,10
TEMP,Y20-64,PC_EMP,T,DE,2007-01-01,10
TEMP,Y20-64,PC_EMP,T,DE,2008-01-01,10
TEMP,Y20-64,PC_EMP,T,DE,2009-01-01,10
TEMP,Y20-64,PC_EMP,T,DE,2010-01-01,11
TEMP,Y20-64,PC_EMP,T,DE,2011-01-01,11
TEMP,Y20-64,PC_EMP,T,DE,2012-01-01,10
TEMP,Y20-64,PC_EMP,T,DE,2013-01-01,10
TEMP,Y20-64,PC_EMP,T,DE,2014-01-01,10
TEMP,Y20-64,PC_EMP,T,DE,2015-01-01,10
TEMP,Y20-64,PC_EMP,T,DE,2016-01-01,10
TEMP,Y20-64,PC_EMP,T,DE,2017-01-01,10
TEMP,Y20-64,PC_EMP,T,DK,2005-01-01,7
TEMP,Y20-64,PC_EMP,T,DK,2006-01-01,7
TEMP,Y20-64,PC_EMP,T,DK,2007-01-01,7
TEMP,Y20-64,PC_EMP,T,DK,2008-01-01,6
TEMP,Y20-64,PC_EMP,T,DK,2009-01-01,7
TEMP,Y20-64,PC_EMP,T,DK,2010-01-01,7
TEMP,Y20-64,PC_EMP,T,DK,2011-01-01,7
TEMP,Y20-64,PC_EMP,T,DK,2012-01-01,7
TEMP,Y20-64,PC_EMP,T,DK,2013-01-01,7
TEMP,Y20-64,PC_EMP,T,DK,2014-01-01,7
TEMP,Y20-64,PC_EMP,T,DK,2015-01-01,7
TEMP,Y20-64,PC_EMP,T,DK,2016-01-01,11
TEMP,Y20-64,PC_EMP,T,DK,2017-01-01,9
TEMP,Y20-64,PC_EMP,T,EA18,2005-01-01,12
TEMP,Y20-64,PC_EMP,T,EA18,2006-01-01,12
TEMP,Y20-64,PC_EMP,T,EA18,2007-01-01,12
TEMP,Y20-64,PC_EMP,T,EA18,2008-01-01,12
TEMP,Y20-64,PC_EMP,T,EA18,2009-01-01,11
TEMP,Y20-64,PC_EMP,T,EA18,2010-01-01,12
TEMP,Y20-64,PC_EMP,T,EA18,2011-01-01,12
TEMP,Y20-64,PC_EMP,T,EA18,2012-01-01,11
TEMP,Y20-64,PC_EMP,T,EA18,2013-01-01,11
TEMP,Y20-64,PC_EMP,T,EA18,2014-01-01,11
TEMP,Y20-64,PC_EMP,T,EA18,2015-01-01,12
TEMP,Y20-64,PC_EMP,T,EA18,2016-01-01,12
TEMP,Y20-64,PC_EMP,T,EA18,2017-01-01,12
TEMP,Y20-64,PC_EMP,T,EA19,2005-01-01,12
TEMP,Y20-64,PC_EMP,T,EA19,2006-01-01,12
TEMP,Y20-64,PC_EMP,T,EA19,2007-01-01,12
TEMP,Y20-64,PC_EMP,T,EA19,2008-01-01,12
TEMP,Y20-64,PC_EMP,T,EA19,2009-01-01,11
TEMP,Y20-64,PC_EMP,T,EA19,2010-01-01,11
TEMP,Y20-64,PC_EMP,T,EA19,2011-01-01,12
TEMP,Y20-64,PC_EMP,T,EA19,2012-01-01,11
TEMP,Y20-64,PC_EMP,T,EA19,2013-01-01,11
TEMP,Y20-64,PC_EMP,T,EA19,2014-01-01,11
TEMP,Y20-64,PC_EMP,T,EA19,2015-01-01,12
TEMP,Y20-64,PC_EMP,T,EA19,2016-01-01,12
TEMP,Y20-64,PC_EMP,T,EA19,2017-01-01,12
TEMP,Y20-64,PC_EMP,T,EE,2005-01-01,2
TEMP,Y20-64,PC_EMP,T,EE,2006-01-01,2
TEMP,Y20-64,PC_EMP,T,EE,2007-01-01,1
TEMP,Y20-64,PC_EMP,T,EE,2008-01-01,2
TEMP,Y20-64,PC_EMP,T,EE,2009-01-01,2
TEMP,Y20-64,PC_EMP,T,EE,2010-01-01,3
TEMP,Y20-64,PC_EMP,T,EE,2011-01-01,3
TEMP,Y20-64,PC_EMP,T,EE,2012-01-01,2
TEMP,Y20-64,PC_EMP,T,EE,2013-01-01,3
TEMP,Y20-64,PC_EMP,T,EE,2014-01-01,2
TEMP,Y20-64,PC_EMP,T,EE,2015-01-01,2
TEMP,Y20-64,PC_EMP,T,EE,2016-01-01,3
TEMP,Y20-64,PC_EMP,T,EE,2017-01-01,2
TEMP,Y20-64,PC_EMP,T,EL,2005-01-01,7
TEMP,Y20-64,PC_EMP,T,EL,2006-01-01,6
TEMP,Y20-64,PC_EMP,T,EL,2007-01-01,7
TEMP,Y20-64,PC_EMP,T,EL,2008-01-01,7
TEMP,Y20-64,PC_EMP,T,EL,2009-01-01,7
TEMP,Y20-64,PC_EMP,T,EL,2010-01-01,8
TEMP,Y20-64,PC_EMP,T,EL,2011-01-01,7
TEMP,Y20-64,PC_EMP,T,EL,2012-01-01,6
TEMP,Y20-64,PC_EMP,T,EL,2013-01-01,6
TEMP,Y20-64,PC_EMP,T,EL,2014-01-01,7
TEMP,Y20-64,PC_EMP,T,EL,2015-01-01,7
TEMP,Y20-64,PC_EMP,T,EL,2016-01-01,7
TEMP,Y20-64,PC_EMP,T,EL,2017-01-01,7
TEMP,Y20-64,PC_EMP,T,ES,2005-01-01,26
TEMP,Y20-64,PC_EMP,T,ES,2006-01-01,27
TEMP,Y20-64,PC_EMP,T,ES,2007-01-01,25
TEMP,Y20-64,PC_EMP,T,ES,2008-01-01,23
TEMP,Y20-64,PC_EMP,T,ES,2009-01-01,20
TEMP,Y20-64,PC_EMP,T,ES,2010-01-01,20
TEMP,Y20-64,PC_EMP,T,ES,2011-01-01,20
TEMP,Y20-64,PC_EMP,T,ES,2012-01-01,19
TEMP,Y20-64,PC_EMP,T,ES,2013-01-01,18
TEMP,Y20-64,PC_EMP,T,ES,2014-01-01,19
TEMP,Y20-64,PC_EMP,T,ES,2015-01-01,20
TEMP,Y20-64,PC_EMP,T,ES,2016-01-01,21
TEMP,Y20-64,PC_EMP,T,ES,2017-01-01,22
TEMP,Y20-64,PC_EMP,T,EU27,2005-01-01,10
TEMP,Y20-64,PC_EMP,T,EU27,2006-01-01,11
TEMP,Y20-64,PC_EMP,T,EU27,2007-01-01,11
TEMP,Y20-64,PC_EMP,T,EU27,2008-01-01,10
TEMP,Y20-64,PC_EMP,T,EU27,2009-01-01,10
TEMP,Y20-64,PC_EMP,T,EU27,2010-01-01,10
TEMP,Y20-64,PC_EMP,T,EU27,2011-01-01,11
TEMP,Y20-64,PC_EMP,T,EU27,2012-01-01,10
TEMP,Y20-64,PC_EMP,T,EU27,2013-01-01,10
TEMP,Y20-64,PC_EMP,T,EU27,2014-01-01,10
TEMP,Y20-64,PC_EMP,T,EU27,2015-01-01,11
TEMP,Y20-64,PC_EMP,T,EU27,2016-01-01,11
TEMP,Y20-64,PC_EMP,T,EU27,2017-01-01,11
TEMP,Y20-64,PC_EMP,T,EU28,2005-01-01,10
TEMP,Y20-64,PC_EMP,T,EU28,2006-01-01,11
TEMP,Y20-64,PC_EMP,T,EU28,2007-01-01,11
TEMP,Y20-64,PC_EMP,T,EU28,2008-01-01,10
TEMP,Y20-64,PC_EMP,T,EU28,2009-01-01,10
TEMP,Y20-64,PC_EMP,T,EU28,2010-01-01,10
TEMP,Y20-64,PC_EMP,T,EU28,2011-01-01,11
TEMP,Y20-64,PC_EMP,T,EU28,2012-01-01,10
TEMP,Y20-64,PC_EMP,T,EU28,2013-01-01,10
TEMP,Y20-64,PC_EMP,T,EU28,2014-01-01,10
TEMP,Y20-64,PC_EMP,T,EU28,2015-01-01,11
TEMP,Y20-64,PC_EMP,T,EU28,2016-01-01,11
TEMP,Y20-64,PC_EMP,T,EU28,2017-01-01,11
TEMP,Y20-64,PC_EMP,T,FI,2005-01-01,13
TEMP,Y20-64,PC_EMP,T,FI,2006-01-01,13
TEMP,Y20-64,PC_EMP,T,FI,2007-01-01,12
TEMP,Y20-64,PC_EMP,T,FI,2008-01-01,11
TEMP,Y20-64,PC_EMP,T,FI,2009-01-01,11
TEMP,Y20-64,PC_EMP,T,FI,2010-01-01,12
TEMP,Y20-64,PC_EMP,T,FI,2011-01-01,12
TEMP,Y20-64,PC_EMP,T,FI,2012-01-01,12
TEMP,Y20-64,PC_EMP,T,FI,2013-01-01,12
TEMP,Y20-64,PC_EMP,T,FI,2014-01-01,12
TEMP,Y20-64,PC_EMP,T,FI,2015-01-01,12
TEMP,Y20-64,PC_EMP,T,FI,2016-01-01,12
TEMP,Y20-64,PC_EMP,T,FI,2017-01-01,12
TEMP,Y20-64,PC_EMP,T,FR,2005-01-01,
