sex,age,unit,isced11,geo\time,date,value
T,Y30-34,PC,ED5-8,DE,2013-01-01,32.9 
T,Y30-34,PC,ED5-8,DE,2014-01-01,31.4 b
T,Y30-34,PC,ED5-8,DE,2015-01-01,32.3 
T,Y30-34,PC,ED5-8,DE,2016-01-01,33.2 
T,Y30-34,PC,ED5-8,DE,2017-01-01,34.0 
T,Y30-34,PC,ED5-8,DK,2005-01-01,43.1 
T,Y30-34,PC,ED5-8,DK,2006-01-01,43.0 
T,Y30-34,PC,ED5-8,DK,2007-01-01,38.1 b
T,Y30-34,PC,ED5-8,DK,2008-01-01,39.2 
T,Y30-34,PC,ED5-8,DK,2009-01-01,40.7 
T,Y30-34,PC,ED5-8,DK,2010-01-01,41.2 
T,Y30-34,PC,ED5-8,DK,2011-01-01,41.2 
T,Y30-34,PC,ED5-8,DK,2012-01-01,43.0
T,Y30-34,PC,ED5-8,DK,2013-01-01,43.4 
T,Y30-34,PC,ED5-8,DK,2014-01-01,44.9 b
T,Y30-34,PC,ED5-8,DK,2015-01-01,47.6 
T,Y30-34,PC,ED5-8,DK,2016-01-01,47.7 b
T,Y30-34,PC,ED5-8,DK,2017-01-01,48.8 b
T,Y30-34,PC,ED5-8,EA18,2005-01-01,29.2 
T,Y30-34,PC,ED5-8,EA18,2006-01-01,29.9 
T,Y30-34,PC,ED5-8,EA18,2007-01-01,31.0 
T,Y30-34,PC,ED5-8,EA18,2008-01-01,31.8 
T,Y30-34,PC,ED5-8,EA18,2009-01-01,32.6 
T,Y30-34,PC,ED5-8,EA18,2010-01-01,33.6 
T,Y30-34,PC,ED5-8,EA18,2011-01-01,34.1 
T,Y30-34,PC,ED5-8,EA18,2012-01-01,35.0
T,Y30-34,PC,ED5-8,EA18,2013-01-01,35.9 
T,Y30-34,PC,ED5-8,EA18,2014-01-01,36.4 b
T,Y30-34,PC,ED5-8,EA18,2015-01-01,37.1 
T,Y30-34,PC,ED5-8,EA18,2016-01-01,37.4 
T,Y30-34,PC,ED5-8,EA18,2017-01-01,38.2 
T,Y30-34,PC,ED5-8,EA19,2005-01-01,29.3 
T,Y30-34,PC,ED5-8,EA19,2006-01-01,30.0 
T,Y30-34,PC,ED5-8,EA19,2007-01-01,31.1 
T,Y30-34,PC,ED5-8,EA19,2008-01-01,31.9 
T,Y30-34,PC,ED5-8,EA19,2009-01-01,32.6 
T,Y30-34,PC,ED5-8,EA19,2010-01-01,33.7 
T,Y30-34,PC,ED5-8,EA19,2011-01-01,34.2 
T,Y30-34,PC,ED5-8,EA19,2012-01-01,35.1
T,Y30-34,PC,ED5-8,EA19,2013-01-01,36.1 
T,Y30-34,PC,ED5-8,EA19,2014-01-01,36.5 b
T,Y30-34,PC,ED5-8,EA19,2015-01-01,37.3 
T,Y30-34,PC,ED5-8,EA19,2016-01-01,37.6 
T,Y30-34,PC,ED5-8,EA19,2017-01-01,38.4 
T,Y30-34,PC,ED5-8,EE,2005-01-01,31.7 
T,Y30-34,PC,ED5-8,EE,2006-01-01,32.5 
T,Y30-34,PC,ED5-8,EE,2007-01-01,33.5 
T,Y30-34,PC,ED5-8,EE,2008-01-01,34.4 
T,Y30-34,PC,ED5-8,EE,2009-01-01,36.3 
T,Y30-34,PC,ED5-8,EE,2010-01-01,40.2 
T,Y30-34,PC,ED5-8,EE,2011-01-01,40.2 
T,Y30-34,PC,ED5-8,EE,2012-01-01,39.5
T,Y30-34,PC,ED5-8,EE,2013-01-01,42.5 
T,Y30-34,PC,ED5-8,EE,2014-01-01,43.2 b
T,Y30-34,PC,ED5-8,EE,2015-01-01,45.3 
T,Y30-34,PC,ED5-8,EE,2016-01-01,45.4 
T,Y30-34,PC,ED5-8,EE,2017-01-01,48.4 
T,Y30-34,PC,ED5-8,EL,2005-01-01,25.5 
T,Y30-34,PC,ED5-8,EL,2006-01-01,26.9 
T,Y30-34,PC,ED5-8,EL,2007-01-01,26.3 
T,Y30-34,PC,ED5-8,EL,2008-01-01,25.7 
T,Y30-34,PC,ED5-8,EL,2009-01-01,26.6 b
T,Y30-34,PC,ED5-8,EL,2010-01-01,28.6 
T,Y30-34,PC,ED5-8,EL,2011-01-01,29.1 
T,Y30-34,PC,ED5-8,EL,2012-01-01,31.2
T,Y30-34,PC,ED5-8,EL,2013-01-01,34.9 
T,Y30-34,PC,ED5-8,EL,2014-01-01,37.2 b
T,Y30-34,PC,ED5-8,EL,2015-01-01,40.4 
T,Y30-34,PC,ED5-8,EL,2016-01-01,42.7 
T,Y30-34,PC,ED5-8,EL,2017-01-01,43.7 
T,Y30-34,PC,ED5-8,ES,2005-01-01,39.9 b
T,Y30-34,PC,ED5-8,ES,2006-01-01,39.4 
T,Y30-34,PC,ED5-8,ES,2007-01-01,40.9 
T,Y30-34,PC,ED5-8,ES,2008-01-01,41.3 
T,Y30-34,PC,ED5-8,ES,2009-01-01,40.7 
T,Y30-34,PC,ED5-8,ES,2010-01-01,42.0 
T,Y30-34,PC,ED5-8,ES,2011-01-01,41.9 
T,Y30-34,PC,ED5-8,ES,2012-01-01,41.5
T,Y30-34,PC,ED5-8,ES,2013-01-01,42.3 
T,Y30-34,PC,ED5-8,ES,2014-01-01,42.3 b
T,Y30-34,PC,ED5-8,ES,2015-01-01,40.9 
T,Y30-34,PC,ED5-8,ES,2016-01-01,40.1 
T,Y30-34,PC,ED5-8,ES,2017-01-01,41.2 
T,Y30-34,PC,ED5-8,EU27,2005-01-01,28.2 
T,Y30-34,PC,ED5-8,EU27,2006-01-01,29.0 
T,Y30-34,PC,ED5-8,EU27,2007-01-01,30.2 
T,Y30-34,PC,ED5-8,EU27,2008-01-01,31.3 
T,Y30-34,PC,ED5-8,EU27,2009-01-01,32.4 
T,Y30-34,PC,ED5-8,EU27,2010-01-01,33.9 
T,Y30-34,PC,ED5-8,EU27,2011-01-01,34.9 
T,Y30-34,PC,ED5-8,EU27,2012-01-01,36.1
T,Y30-34,PC,ED5-8,EU27,2013-01-01,37.2 
T,Y30-34,PC,ED5-8,EU27,2014-01-01,38.0 b
T,Y30-34,PC,ED5-8,EU27,2015-01-01,38.8 
T,Y30-34,PC,ED5-8,EU27,2016-01-01,39.2 
T,Y30-34,PC,ED5-8,EU27,2017-01-01,40.0 
T,Y30-34,PC,ED5-8,EU28,2005-01-01,28.1 
T,Y30-34,PC,ED5-8,EU28,2006-01-01,29.0 
T,Y30-34,PC,ED5-8,EU28,2007-01-01,30.1 
T,Y30-34,PC,ED5-8,EU28,2008-01-01,31.2 
T,Y30-34,PC,ED5-8,EU28,2009-01-01,32.3 
T,Y30-34,PC,ED5-8,EU28,2010-01-01,33.8 
T,Y30-34,PC,ED5-8,EU28,2011-01-01,34.8 
T,Y30-34,PC,ED5-8,EU28,2012-01-01,36.0
T,Y30-34,PC,ED5-8,EU28,2013-01-01,37.1 
T,Y30-34,PC,ED5-8,EU28,2014-01-01,37.9 b
T,Y30-34,PC,ED5-8,EU28,2015-01-01,38.7 
T,Y30-34,PC,ED5-8,EU28,2016-01-01,39.1 
T,Y30-34,PC,ED5-8,EU28,2017-01-01,39.9 
T,Y30-34,PC,ED5-8,FI,2005-01-01,43.7 
T,Y30-34,PC,ED5-8,FI,2006-01-01,46.2 
T,Y30-34,PC,ED5-8,FI,2007-01-01,47.3 
T,Y30-34,PC,ED5-8,FI,2008-01-01,45.7 
T,Y30-34,PC,ED5-8,FI,2009-01-01,45.9 
T,Y30-34,PC,ED5-8,FI,2010-01-01,45.7 
T,Y30-34,PC,ED5-8,FI,2011-01-01,46.0 
T,Y30-34,PC,ED5-8,FI,2012-01-01,45.8
T,Y30-34,PC,ED5-8,FI,2013-01-01,45.1 
T,Y30-34,PC,ED5-8,FI,2014-01-01,45.3 b
T,Y30-34,PC,ED5-8,FI,2015-01-01,45.5 
T,Y30-34,PC,ED5-8,FI,2016-01-01,46.1 
T,Y30-34,PC,ED5-8,FI,2017-01-01,44.6 
T,Y30-34,PC,ED5-8,FR,2005-01-01,37.7 
T,Y30-34,PC,ED5-8,FR,2006-01-01,39.7 
T,Y30-34,PC,ED5-8,FR,2007-01-01,41.4 
T,Y30-34,PC,ED5-8,FR,2008-01-01,41.0 
T,Y30-34,PC,ED5-8,FR,2009-01-01,43.0 
T,Y30-34,PC,ED5-8,FR,2010-01-01,43.2 
T,Y30-34,PC,ED5-8,FR,2011-01-01,43.1 
T,Y30-34,PC,ED5-8,FR,2012-01-01,43.3
T,Y30-34,PC,ED5-8,FR,2013-01-01,44.0 b
T,Y30-34,PC,ED5-8,FR,2014-01-01,43.7 b
T,Y30-34,PC,ED5-8,FR,2015-01-01,45.0 
T,Y30-34,PC,ED5-8,FR,2016-01-01,43.6 
T,Y30-34,PC,ED5-8,FR,2017-01-01,44.3 
T,Y30-34,PC,ED5-8,HR,2005-01-01,17.4 
T,Y30-34,PC,ED5-8,HR,2006-01-01,16.7 
T,Y30-34,PC,ED5-8,HR,2007-01-01,16.8 
T,Y30-34,PC,ED5-8,HR,2008-01-01,18.5 
T,Y30-34,PC,ED5-8,HR,2009-01-01,21.3 
T,Y30-34,PC,ED5-8,HR,2010-01-01,24.5 b
T,Y30-34,PC,ED5-8,HR,2011-01-01,23.9 
T,Y30-34,PC,ED5-8,HR,2012-01-01,23.1
T,Y30-34,PC,ED5-8,HR,2013-01-01,25.6 
T,Y30-34,PC,ED5-8,HR,2014-01-01,32.1 b
T,Y30-34,PC,ED5-8,HR,2015-01-01,30.8 
T,Y30-34,PC,ED5-8,HR,2016-01-01,29.3 
T,Y30-34,PC,ED5-8,HR,2017-01-01,28.7 
T,Y30-34,PC,ED5-8,HU,2005-01-01,17.9 
T,Y30-34,PC,ED5-8,HU,2006-01-01,19.4 
T,Y30-34,PC,ED5-8,HU,2007-01-01,20.6 
T,Y30-34,PC,ED5-8,HU,2008-01-01,22.8 
T,Y30-34,PC,ED5-8,HU,2009-01-01,24.0 
T,Y30-34,PC,ED5-8,HU,2010-01-01,26.1 
T,Y30-34,PC,ED5-8,HU,2011-01-01,28.2 
T,Y30-34,PC,ED5-8,HU,2012-01-01,29.8
T,Y30-34,PC,ED5-8,HU,2013-01-01,32.3 
T,Y30-34,PC,ED5-8,HU,2014-01-01,34.1 b
T,Y30-34,PC,ED5-8,HU,2015-01-01,34.3 
T,Y30-34,PC,ED5-8,HU,2016-01-01,33.0 
T,Y30-34,PC,ED5-8,HU,2017-01-01,32.1 
T,Y30-34,PC,ED5-8,IE,2005-01-01,39.2 
T,Y30-34,PC,ED5-8,IE,2006-01-01,41.3 
T,Y30-34,PC,ED5-8,IE,2007-01-01,44.3 b
T,Y30-34,PC,ED5-8,IE,2008-01-01,47.1 
T,Y30-34,PC,ED5-8,IE,2009-01-01,49.6 
T,Y30-34,PC,ED5-8,IE,2010-01-01,50.6 
T,Y30-34,PC,ED5-8,IE,2011-01-01,50.2 
T,Y30-34,PC,ED5-8,IE,2012-01-01,51.4
T,Y30-34,PC,ED5-8,IE,2013-01-01,52.7 
T,Y30-34,PC,ED5-8,IE,2014-01-01,52.2 b
T,Y30-34,PC,ED5-8,IE,2015-01-01,51.9 
T,Y30-34,PC,ED5-8,IE,2016-01-01,52.5 
T,Y30-34,PC,ED5-8,IE,2017-01-01,53.5 b
T,Y30-34,PC,ED5-8,IS,2005-01-01,41.1 
T,Y30-34,PC,ED5-8,IS,2006-01-01,36.4 u
T,Y30-34,PC,ED5-8,IS,2007-01-01,36.3 
T,Y30-34,PC,ED5-8,IS,2008-01-01,38.3 
T,Y30-34,PC,ED5-8,IS,2009-01-01,41.7 
T,Y30-34,PC,ED5-8,IS,2010-01-01,40.9 
T,Y30-34,PC,ED5-8,IS,2011-01-01,44.6 
T,Y30-34,PC,ED5-8,IS,2012-01-01,42.8
T,Y30-34,PC,ED5-8,IS,2013-01-01,43.9 
T,Y30-34,PC,ED5-8,IS,2014-01-01,46.4 b
T,Y30-34,PC,ED5-8,IS,2015-01-01,47.1 
T,Y30-34,PC,ED5-8,IS,2016-01-01,48.8 
T,Y30-34,PC,ED5-8,IS,2017-01-01,53.7 
T,Y30-34,PC,ED5-8,IT,2005-01-01,17.1 
T,Y30-34,PC,ED5-8,IT,2006-01-01,17.6 
T,Y30-34,PC,ED5-8,IT,2007-01-01,18.6 
T,Y30-34,PC,ED5-8,IT,2008-01-01,19.2 
T,Y30-34,PC,ED5-8,IT,2009-01-01,19.0 
T,Y30-34,PC,ED5-8,IT,2010-01-01,19.9 
T,Y30-34,PC,ED5-8,IT,2011-01-01,20.4 
T,Y30-34,PC,ED5-8,IT,2012-01-01,21.9
T,Y30-34,PC,ED5-8,IT,2013-01-01,22.5 
T,Y30-34,PC,ED5-8,IT,2014-01-01,23.9 b
T,Y30-34,PC,ED5-8,IT,2015-01-01,25.3 
T,Y30-34,PC,ED5-8,IT,2016-01-01,26.2 
T,Y30-34,PC,ED5-8,IT,2017-01-01,26.9 
T,Y30-34,PC,ED5-8,LT,2005-01-01,37.7 
T,Y30-34,PC,ED5-8,LT,2006-01-01,39.4 
T,Y30-34,PC,ED5-8,LT,2007-01-01,36.4 
T,Y30-34,PC,ED5-8,LT,2008-01-01,39.9 
T,Y30-34,PC,ED5-8,LT,2009-01-01,40.4 
T,Y30-34,PC,ED5-8,LT,2010-01-01,43.8 
T,Y30-34,PC,ED5-8,LT,2011-01-01,45.7 
T,Y30-34,PC,ED5-8,LT,2012-01-01,48.6
T,Y30-34,PC,ED5-8,LT,2013-01-01,51.3 
T,Y30-34,PC,ED5-8,LT,2014-01-01,53.3 b
T,Y30-34,PC,ED5-8,LT,2015-01-01,57.6 
T,Y30-34,PC,ED5-8,LT,2016-01-01,58.7 
T,Y30-34,PC,ED5-8,LT,2017-01-01,58.0 
T,Y30-34,PC,ED5-8,LU,2005-01-01,37.6 
T,Y30-34,PC,ED5-8,LU,2006-01-01,35.5 
T,Y30-34,PC,ED5-8,LU,2007-01-01,35.3 b
T,Y30-34,PC,ED5-8,LU,2008-01-01,39.8 
T,Y30-34,PC,ED5-8,LU,2009-01-01,46.6 b
T,Y30-34,PC,ED5-8,LU,2010-01-01,46.1 
