stk_flow,sitc06,partner,unit,geotime,date,value
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2017-09-01,6.7
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2017-10-01,8.0
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2017-11-01,8.5
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2017-12-01,-1.7
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2018-01-01,8.2
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2018-02-01,0.3
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2018-03-01,-4.5
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2018-04-01,12.1
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2018-05-01,-4.3
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2018-06-01,5.7
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2018-07-01,6.9
EXP,SITC7,WRL_REST,PCH_M12_NSA,EA19,2018-08-01,1.6
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2017-09-01,8.2
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2017-10-01,8.9
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2017-11-01,7.4
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2017-12-01,-4.1
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2018-01-01,6.4
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2018-02-01,0.7
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2018-03-01,-5.6
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2018-04-01,8.5
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2018-05-01,-8.1
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2018-06-01,7.3
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2018-07-01,8.6
EXP,SITC7,WRL_REST,PCH_M12_NSA,EU28,2018-08-01,3.3
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2017-09-01,1.5
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2017-10-01,-4.5
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2017-11-01,4.4
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2017-12-01,2.9
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2018-01-01,-3.4
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2018-02-01,-2.7
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2018-03-01,2.2
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2018-04-01,1.2
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2018-05-01,-1.8
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2018-06-01,2.6
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2018-07-01,-3.2
EXP,SITC7,WRL_REST,PCH_M1_SA,EA19,2018-08-01,3.1
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2017-09-01,2.9
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2017-10-01,-4.0
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2017-11-01,2.9
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2017-12-01,2.2
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2018-01-01,-2.4
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2018-02-01,-2.3
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2018-03-01,2.2
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2018-04-01,-1.4
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2018-05-01,-2.8
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2018-06-01,7.2
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2018-07-01,-2.2
EXP,SITC7,WRL_REST,PCH_M1_SA,EU28,2018-08-01,1.7
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2017-09-01,79466.4
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2017-10-01,75884.5
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2017-11-01,79198.1
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2017-12-01,81457.5
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2018-01-01,78648.9
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2018-02-01,76513.5
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2018-03-01,78175.5
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2018-04-01,79075.0
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2018-05-01,77631.6
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2018-06-01,79682.4
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2018-07-01,77105.5
EXP,SITC7,WRL_REST,TVAL_SA,EA19,2018-08-01,79509.8
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2017-09-01,68298.4
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2017-10-01,65552.7
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2017-11-01,67480.6
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2017-12-01,68950.0
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2018-01-01,67296.5
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2018-02-01,65739.9
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2018-03-01,67188.8
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2018-04-01,66216.1
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2018-05-01,64330.3
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2018-06-01,68961.2
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2018-07-01,67412.0
EXP,SITC7,WRL_REST,TVAL_SA,EU28,2018-08-01,68588.8
