unit,sex,age,incgrp,geotime,date,value
PC,T,TOTAL,A_MD60,AT,2006-01-01,13.5 
PC,T,TOTAL,A_MD60,AT,2007-01-01,13.2 
PC,T,TOTAL,A_MD60,AT,2008-01-01,11.8 b
PC,T,TOTAL,A_MD60,AT,2009-01-01,10.4 
PC,T,TOTAL,A_MD60,AT,2010-01-01,8.9 
PC,T,TOTAL,A_MD60,AT,2011-01-01,9.5 
PC,T,TOTAL,A_MD60,AT,2012-01-01,10.4 
PC,T,TOTAL,A_MD60,AT,2013-01-01,12.2 
PC,T,TOTAL,A_MD60,AT,2014-01-01,12.3 
PC,T,TOTAL,A_MD60,AT,2015-01-01,12.2
PC,T,TOTAL,A_MD60,AT,2016-01-01,11.7 
PC,T,TOTAL,A_MD60,AT,2017-01-01,11.4 
PC,T,TOTAL,A_MD60,BE,2006-01-01,2.0 
PC,T,TOTAL,A_MD60,BE,2007-01-01,2.5 
PC,T,TOTAL,A_MD60,BE,2008-01-01,2.8 
PC,T,TOTAL,A_MD60,BE,2009-01-01,2.4 
PC,T,TOTAL,A_MD60,BE,2010-01-01,2.4 
PC,T,TOTAL,A_MD60,BE,2011-01-01,1.1 
PC,T,TOTAL,A_MD60,BE,2012-01-01,0.5 
PC,T,TOTAL,A_MD60,BE,2013-01-01,0.8 
PC,T,TOTAL,A_MD60,BE,2014-01-01,0.6 
PC,T,TOTAL,A_MD60,BE,2015-01-01,0.7
PC,T,TOTAL,A_MD60,BE,2016-01-01,2.1 
PC,T,TOTAL,A_MD60,BE,2017-01-01,3.1 
PC,T,TOTAL,A_MD60,BG,2006-01-01,47.4 
PC,T,TOTAL,A_MD60,BG,2007-01-01,49.2 
PC,T,TOTAL,A_MD60,BG,2008-01-01,47.7 
PC,T,TOTAL,A_MD60,BG,2009-01-01,47.1 
PC,T,TOTAL,A_MD60,BG,2010-01-01,47.0 
PC,T,TOTAL,A_MD60,BG,2011-01-01,46.7 
PC,T,TOTAL,A_MD60,BG,2012-01-01,44.1 
PC,T,TOTAL,A_MD60,BG,2013-01-01,44.0 
PC,T,TOTAL,A_MD60,BG,2014-01-01,42.5 
PC,T,TOTAL,A_MD60,BG,2015-01-01,42.1
PC,T,TOTAL,A_MD60,BG,2016-01-01,43.2 b
PC,T,TOTAL,A_MD60,BG,2017-01-01,42.8 
PC,T,TOTAL,A_MD60,CH,2006-01-01,
PC,T,TOTAL,A_MD60,CH,2007-01-01,6.2 
PC,T,TOTAL,A_MD60,CH,2008-01-01,6.2 
PC,T,TOTAL,A_MD60,CH,2009-01-01,6.2 
PC,T,TOTAL,A_MD60,CH,2010-01-01,4.0 
PC,T,TOTAL,A_MD60,CH,2011-01-01,4.4 
PC,T,TOTAL,A_MD60,CH,2012-01-01,4.4 
PC,T,TOTAL,A_MD60,CH,2013-01-01,6.1 
PC,T,TOTAL,A_MD60,CH,2014-01-01,5.7 b
PC,T,TOTAL,A_MD60,CH,2015-01-01,4.4
PC,T,TOTAL,A_MD60,CH,2016-01-01,4.7 
PC,T,TOTAL,A_MD60,CH,2017-01-01,
PC,T,TOTAL,A_MD60,CY,2006-01-01,1.3 
PC,T,TOTAL,A_MD60,CY,2007-01-01,1.1 
PC,T,TOTAL,A_MD60,CY,2008-01-01,2.4 b
PC,T,TOTAL,A_MD60,CY,2009-01-01,2.2 
PC,T,TOTAL,A_MD60,CY,2010-01-01,2.8 
PC,T,TOTAL,A_MD60,CY,2011-01-01,2.1 
PC,T,TOTAL,A_MD60,CY,2012-01-01,2.0 
PC,T,TOTAL,A_MD60,CY,2013-01-01,2.0 
PC,T,TOTAL,A_MD60,CY,2014-01-01,1.9 
PC,T,TOTAL,A_MD60,CY,2015-01-01,1.0
PC,T,TOTAL,A_MD60,CY,2016-01-01,1.9 
PC,T,TOTAL,A_MD60,CY,2017-01-01,2.4 
PC,T,TOTAL,A_MD60,CZ,2006-01-01,31.8 
PC,T,TOTAL,A_MD60,CZ,2007-01-01,30.2 
PC,T,TOTAL,A_MD60,CZ,2008-01-01,28.6 
PC,T,TOTAL,A_MD60,CZ,2009-01-01,25.2 
PC,T,TOTAL,A_MD60,CZ,2010-01-01,21.0 
PC,T,TOTAL,A_MD60,CZ,2011-01-01,19.6 
PC,T,TOTAL,A_MD60,CZ,2012-01-01,19.6 
PC,T,TOTAL,A_MD60,CZ,2013-01-01,19.9 
PC,T,TOTAL,A_MD60,CZ,2014-01-01,18.0 
PC,T,TOTAL,A_MD60,CZ,2015-01-01,17.0
PC,T,TOTAL,A_MD60,CZ,2016-01-01,16.1 
PC,T,TOTAL,A_MD60,CZ,2017-01-01,14.5 
PC,T,TOTAL,A_MD60,DE,2006-01-01,5.8 
PC,T,TOTAL,A_MD60,DE,2007-01-01,4.3 
PC,T,TOTAL,A_MD60,DE,2008-01-01,4.4 
PC,T,TOTAL,A_MD60,DE,2009-01-01,3.9 
PC,T,TOTAL,A_MD60,DE,2010-01-01,4.5 
PC,T,TOTAL,A_MD60,DE,2011-01-01,3.9 
PC,T,TOTAL,A_MD60,DE,2012-01-01,4.2 
PC,T,TOTAL,A_MD60,DE,2013-01-01,4.4 
PC,T,TOTAL,A_MD60,DE,2014-01-01,4.3 
PC,T,TOTAL,A_MD60,DE,2015-01-01,4.5
