s_adj,age,sex,unit,geotime,date,value
SA,TOTAL,F,THS_PER,AT,2017-10-01,
SA,TOTAL,F,THS_PER,AT,2017-11-01,
SA,TOTAL,F,THS_PER,AT,2017-12-01,
SA,TOTAL,F,THS_PER,AT,2018-01-01,
SA,TOTAL,F,THS_PER,AT,2018-02-01,
SA,TOTAL,F,THS_PER,AT,2018-03-01,
SA,TOTAL,F,THS_PER,AT,2018-04-01,
SA,TOTAL,F,THS_PER,AT,2018-05-01,
SA,TOTAL,F,THS_PER,AT,2018-06-01,
SA,TOTAL,F,THS_PER,AT,2018-07-01,102
SA,TOTAL,F,THS_PER,AT,2018-08-01,106
SA,TOTAL,F,THS_PER,AT,2018-09-01,
SA,TOTAL,F,THS_PER,BE,2017-10-01,
SA,TOTAL,F,THS_PER,BE,2017-11-01,
SA,TOTAL,F,THS_PER,BE,2017-12-01,
SA,TOTAL,F,THS_PER,BE,2018-01-01,
SA,TOTAL,F,THS_PER,BE,2018-02-01,
SA,TOTAL,F,THS_PER,BE,2018-03-01,
SA,TOTAL,F,THS_PER,BE,2018-04-01,
SA,TOTAL,F,THS_PER,BE,2018-05-01,
SA,TOTAL,F,THS_PER,BE,2018-06-01,
SA,TOTAL,F,THS_PER,BE,2018-07-01,149
SA,TOTAL,F,THS_PER,BE,2018-08-01,148
SA,TOTAL,F,THS_PER,BE,2018-09-01,
SA,TOTAL,F,THS_PER,BG,2017-10-01,
SA,TOTAL,F,THS_PER,BG,2017-11-01,
SA,TOTAL,F,THS_PER,BG,2017-12-01,
SA,TOTAL,F,THS_PER,BG,2018-01-01,
SA,TOTAL,F,THS_PER,BG,2018-02-01,
SA,TOTAL,F,THS_PER,BG,2018-03-01,
SA,TOTAL,F,THS_PER,BG,2018-04-01,
SA,TOTAL,F,THS_PER,BG,2018-05-01,
SA,TOTAL,F,THS_PER,BG,2018-06-01,
SA,TOTAL,F,THS_PER,BG,2018-07-01,71
SA,TOTAL,F,THS_PER,BG,2018-08-01,70
SA,TOTAL,F,THS_PER,BG,2018-09-01,
SA,TOTAL,F,THS_PER,CY,2017-10-01,
SA,TOTAL,F,THS_PER,CY,2017-11-01,
SA,TOTAL,F,THS_PER,CY,2017-12-01,
SA,TOTAL,F,THS_PER,CY,2018-01-01,
SA,TOTAL,F,THS_PER,CY,2018-02-01,
SA,TOTAL,F,THS_PER,CY,2018-03-01,
SA,TOTAL,F,THS_PER,CY,2018-04-01,
