geo\time,date,value
SI,2004-01-01,11.2 
SI,2006-01-01,9.2 
SI,2008-01-01,8.0 
SI,2010-01-01,11.6 
SI,2012-01-01,13.7 
SI,2014-01-01,12.3 
SI,2016-01-01,11.5 
SK,2004-01-01,10.0 
SK,2006-01-01,13.1 
SK,2008-01-01,10.7 
SK,2010-01-01,9.2 
SK,2012-01-01,10.5 
SK,2014-01-01,9.3 
SK,2016-01-01,10.9 
TR,2004-01-01,9.0 
TR,2006-01-01,5.8 
TR,2008-01-01,7.3 
TR,2010-01-01,5.9 
TR,2012-01-01,6.5 
TR,2014-01-01,7.0 
TR,2016-01-01,: 
UK,2004-01-01,21.4 
UK,2006-01-01,21.0 
UK,2008-01-01,21.2 
UK,2010-01-01,18.3 
UK,2012-01-01,17.5 
UK,2014-01-01,16.9 
UK,2016-01-01,21.0 ps
