aquaenv,geotime,date,value
FRW_EXC_NR,AT,2011-01-01,223
FRW_EXC_NR,AT,2012-01-01,196
FRW_EXC_NR,AT,2013-01-01,
FRW_EXC_NR,AT,2014-01-01,
FRW_EXC_NR,AT,2015-01-01,
FRW_EXC_NR,AT,2016-01-01,
FRW_EXC_NR,AT,2017-01-01,
FRW_EXC_NR,BE,2011-01-01,48
FRW_EXC_NR,BE,2012-01-01,51
FRW_EXC_NR,BE,2013-01-01,
FRW_EXC_NR,BE,2014-01-01,
FRW_EXC_NR,BE,2015-01-01,
FRW_EXC_NR,BE,2016-01-01,
FRW_EXC_NR,BE,2017-01-01,
FRW_EXC_NR,BG,2011-01-01,1
FRW_EXC_NR,BG,2012-01-01,4
FRW_EXC_NR,BG,2013-01-01,
FRW_EXC_NR,BG,2014-01-01,
FRW_EXC_NR,BG,2015-01-01,
FRW_EXC_NR,BG,2016-01-01,
FRW_EXC_NR,BG,2017-01-01,
FRW_EXC_NR,CH,2011-01-01,131
FRW_EXC_NR,CH,2012-01-01,34
FRW_EXC_NR,CH,2013-01-01,
FRW_EXC_NR,CH,2014-01-01,
FRW_EXC_NR,CH,2015-01-01,
FRW_EXC_NR,CH,2016-01-01,
FRW_EXC_NR,CH,2017-01-01,
FRW_EXC_NR,CZ,2011-01-01,116
FRW_EXC_NR,CZ,2012-01-01,120
FRW_EXC_NR,CZ,2013-01-01,
FRW_EXC_NR,CZ,2014-01-01,
FRW_EXC_NR,CZ,2015-01-01,
FRW_EXC_NR,CZ,2016-01-01,
FRW_EXC_NR,CZ,2017-01-01,
FRW_EXC_NR,DE,2011-01-01,1749
FRW_EXC_NR,DE,2012-01-01,1731
FRW_EXC_NR,DE,2013-01-01,
FRW_EXC_NR,DE,2014-01-01,
FRW_EXC_NR,DE,2015-01-01,
FRW_EXC_NR,DE,2016-01-01,
FRW_EXC_NR,DE,2017-01-01,
FRW_EXC_NR,DK,2011-01-01,98
FRW_EXC_NR,DK,2012-01-01,105
FRW_EXC_NR,DK,2013-01-01,
FRW_EXC_NR,DK,2014-01-01,
FRW_EXC_NR,DK,2015-01-01,
FRW_EXC_NR,DK,2016-01-01,
FRW_EXC_NR,DK,2017-01-01,
FRW_EXC_NR,EE,2011-01-01,26
FRW_EXC_NR,EE,2012-01-01,24
FRW_EXC_NR,EE,2013-01-01,
FRW_EXC_NR,EE,2014-01-01,
FRW_EXC_NR,EE,2015-01-01,
FRW_EXC_NR,EE,2016-01-01,
FRW_EXC_NR,EE,2017-01-01,
