org_inst,sex,unit,geotime,date,value
GOV_NAT,F,PC_WMN,AT,2003-01-01,26
GOV_NAT,F,PC_WMN,AT,2004-01-01,27
GOV_NAT,F,PC_WMN,AT,2005-01-01,37
GOV_NAT,F,PC_WMN,AT,2006-01-01,33
GOV_NAT,F,PC_WMN,AT,2007-01-01,35
GOV_NAT,F,PC_WMN,AT,2008-01-01,35
GOV_NAT,F,PC_WMN,AT,2009-01-01,33
GOV_NAT,F,PC_WMN,AT,2010-01-01,38
GOV_NAT,F,PC_WMN,AT,2011-01-01,33
GOV_NAT,F,PC_WMN,AT,2012-01-01,33
GOV_NAT,F,PC_WMN,AT,2013-01-01,33
GOV_NAT,F,PC_WMN,AT,2014-01-01,31
GOV_NAT,F,PC_WMN,AT,2015-01-01,31
GOV_NAT,F,PC_WMN,AT,2016-01-01,25
GOV_NAT,F,PC_WMN,AT,2017-01-01,26
GOV_NAT,F,PC_WMN,AT,2018-01-01,37
GOV_NAT,F,PC_WMN,BE,2003-01-01,40
GOV_NAT,F,PC_WMN,BE,2004-01-01,26
GOV_NAT,F,PC_WMN,BE,2005-01-01,26
GOV_NAT,F,PC_WMN,BE,2006-01-01,25
GOV_NAT,F,PC_WMN,BE,2007-01-01,26
GOV_NAT,F,PC_WMN,BE,2008-01-01,31
GOV_NAT,F,PC_WMN,BE,2009-01-01,18
GOV_NAT,F,PC_WMN,BE,2010-01-01,22
GOV_NAT,F,PC_WMN,BE,2011-01-01,23
GOV_NAT,F,PC_WMN,BE,2012-01-01,31
GOV_NAT,F,PC_WMN,BE,2013-01-01,31
GOV_NAT,F,PC_WMN,BE,2014-01-01,22
GOV_NAT,F,PC_WMN,BE,2015-01-01,27
GOV_NAT,F,PC_WMN,BE,2016-01-01,22
GOV_NAT,F,PC_WMN,BE,2017-01-01,22
GOV_NAT,F,PC_WMN,BE,2018-01-01,22
GOV_NAT,F,PC_WMN,BG,2003-01-01,26
GOV_NAT,F,PC_WMN,BG,2004-01-01,27
GOV_NAT,F,PC_WMN,BG,2005-01-01,30
GOV_NAT,F,PC_WMN,BG,2006-01-01,29
GOV_NAT,F,PC_WMN,BG,2007-01-01,30
GOV_NAT,F,PC_WMN,BG,2008-01-01,29
GOV_NAT,F,PC_WMN,BG,2009-01-01,31
GOV_NAT,F,PC_WMN,BG,2010-01-01,33
GOV_NAT,F,PC_WMN,BG,2011-01-01,35
GOV_NAT,F,PC_WMN,BG,2012-01-01,38
GOV_NAT,F,PC_WMN,BG,2013-01-01,33
GOV_NAT,F,PC_WMN,BG,2014-01-01,30
GOV_NAT,F,PC_WMN,BG,2015-01-01,27
GOV_NAT,F,PC_WMN,BG,2016-01-01,36
GOV_NAT,F,PC_WMN,BG,2017-01-01,37
GOV_NAT,F,PC_WMN,BG,2018-01-01,37
GOV_NAT,F,PC_WMN,CH,2003-01-01,
GOV_NAT,F,PC_WMN,CH,2004-01-01,
GOV_NAT,F,PC_WMN,CH,2005-01-01,
GOV_NAT,F,PC_WMN,CH,2006-01-01,
GOV_NAT,F,PC_WMN,CH,2007-01-01,
GOV_NAT,F,PC_WMN,CH,2008-01-01,
GOV_NAT,F,PC_WMN,CH,2009-01-01,
GOV_NAT,F,PC_WMN,CH,2010-01-01,
GOV_NAT,F,PC_WMN,CH,2011-01-01,
GOV_NAT,F,PC_WMN,CH,2012-01-01,
GOV_NAT,F,PC_WMN,CH,2013-01-01,
GOV_NAT,F,PC_WMN,CH,2014-01-01,
GOV_NAT,F,PC_WMN,CH,2015-01-01,
GOV_NAT,F,PC_WMN,CH,2016-01-01,
GOV_NAT,F,PC_WMN,CH,2017-01-01,
GOV_NAT,F,PC_WMN,CH,2018-01-01,
GOV_NAT,F,PC_WMN,CY,2003-01-01,9
GOV_NAT,F,PC_WMN,CY,2004-01-01,0
GOV_NAT,F,PC_WMN,CY,2005-01-01,0
GOV_NAT,F,PC_WMN,CY,2006-01-01,0
GOV_NAT,F,PC_WMN,CY,2007-01-01,16
GOV_NAT,F,PC_WMN,CY,2008-01-01,12
GOV_NAT,F,PC_WMN,CY,2009-01-01,8
GOV_NAT,F,PC_WMN,CY,2010-01-01,16
GOV_NAT,F,PC_WMN,CY,2011-01-01,25
GOV_NAT,F,PC_WMN,CY,2012-01-01,33
GOV_NAT,F,PC_WMN,CY,2013-01-01,8
GOV_NAT,F,PC_WMN,CY,2014-01-01,8
GOV_NAT,F,PC_WMN,CY,2015-01-01,8
GOV_NAT,F,PC_WMN,CY,2016-01-01,8
GOV_NAT,F,PC_WMN,CY,2017-01-01,8
GOV_NAT,F,PC_WMN,CY,2018-01-01,16
GOV_NAT,F,PC_WMN,CZ,2003-01-01,
GOV_NAT,F,PC_WMN,CZ,2004-01-01,11
GOV_NAT,F,PC_WMN,CZ,2005-01-01,9
GOV_NAT,F,PC_WMN,CZ,2006-01-01,11
GOV_NAT,F,PC_WMN,CZ,2007-01-01,16
GOV_NAT,F,PC_WMN,CZ,2008-01-01,11
GOV_NAT,F,PC_WMN,CZ,2009-01-01,17
GOV_NAT,F,PC_WMN,CZ,2010-01-01,0
GOV_NAT,F,PC_WMN,CZ,2011-01-01,6
GOV_NAT,F,PC_WMN,CZ,2012-01-01,12
GOV_NAT,F,PC_WMN,CZ,2013-01-01,6
GOV_NAT,F,PC_WMN,CZ,2014-01-01,17
GOV_NAT,F,PC_WMN,CZ,2015-01-01,17
GOV_NAT,F,PC_WMN,CZ,2016-01-01,17
GOV_NAT,F,PC_WMN,CZ,2017-01-01,11
GOV_NAT,F,PC_WMN,CZ,2018-01-01,11
GOV_NAT,F,PC_WMN,DE,2003-01-01,45
GOV_NAT,F,PC_WMN,DE,2004-01-01,46
GOV_NAT,F,PC_WMN,DE,2005-01-01,26
GOV_NAT,F,PC_WMN,DE,2006-01-01,38
GOV_NAT,F,PC_WMN,DE,2007-01-01,30
GOV_NAT,F,PC_WMN,DE,2008-01-01,32
GOV_NAT,F,PC_WMN,DE,2009-01-01,32
GOV_NAT,F,PC_WMN,DE,2010-01-01,28
GOV_NAT,F,PC_WMN,DE,2011-01-01,28
GOV_NAT,F,PC_WMN,DE,2012-01-01,28
GOV_NAT,F,PC_WMN,DE,2013-01-01,27
GOV_NAT,F,PC_WMN,DE,2014-01-01,42
GOV_NAT,F,PC_WMN,DE,2015-01-01,40
GOV_NAT,F,PC_WMN,DE,2016-01-01,40
GOV_NAT,F,PC_WMN,DE,2017-01-01,42
GOV_NAT,F,PC_WMN,DE,2018-01-01,39
GOV_NAT,F,PC_WMN,DK,2003-01-01,27
