unit,direct,na_item,sector,geotime,date,value
CP_MNAC,PAID,B8N,S1,AT,1995-01-01,14580.0
CP_MNAC,PAID,B8N,S1,AT,1996-01-01,14200.0
CP_MNAC,PAID,B8N,S1,AT,1997-01-01,14925.0
CP_MNAC,PAID,B8N,S1,AT,1998-01-01,16285.0
CP_MNAC,PAID,B8N,S1,AT,1999-01-01,15428.0
CP_MNAC,PAID,B8N,S1,AT,2000-01-01,18472.0
CP_MNAC,PAID,B8N,S1,AT,2001-01-01,17297.0
CP_MNAC,PAID,B8N,S1,AT,2002-01-01,21105.0
CP_MNAC,PAID,B8N,S1,AT,2003-01-01,20384.0
CP_MNAC,PAID,B8N,S1,AT,2004-01-01,22766.0
CP_MNAC,PAID,B8N,S1,AT,2005-01-01,22614.0
CP_MNAC,PAID,B8N,S1,AT,2006-01-01,27355.0
CP_MNAC,PAID,B8N,S1,AT,2007-01-01,33774.0
CP_MNAC,PAID,B8N,S1,AT,2008-01-01,35508.0
CP_MNAC,PAID,B8N,S1,AT,2009-01-01,21138.0
CP_MNAC,PAID,B8N,S1,AT,2010-01-01,24641.0
CP_MNAC,PAID,B8N,S1,AT,2011-01-01,27193.0
CP_MNAC,PAID,B8N,S1,AT,2012-01-01,26094.0
CP_MNAC,PAID,B8N,S1,AT,2013-01-01,24457.0
CP_MNAC,PAID,B8N,S1,AT,2014-01-01,26665.0
CP_MNAC,PAID,B8N,S1,AT,2015-01-01,26699.0
CP_MNAC,PAID,B8N,S1,AT,2016-01-01,31956.0
CP_MNAC,PAID,B8N,S1,AT,2017-01-01,35015.0
CP_MNAC,PAID,B8N,S1,BE,1995-01-01,22625.0
CP_MNAC,PAID,B8N,S1,BE,1996-01-01,20258.0
CP_MNAC,PAID,B8N,S1,BE,1997-01-01,24299.0
CP_MNAC,PAID,B8N,S1,BE,1998-01-01,24633.0
CP_MNAC,PAID,B8N,S1,BE,1999-01-01,26659.0
CP_MNAC,PAID,B8N,S1,BE,2000-01-01,28445.0
CP_MNAC,PAID,B8N,S1,BE,2001-01-01,25757.0
CP_MNAC,PAID,B8N,S1,BE,2002-01-01,26440.0
CP_MNAC,PAID,B8N,S1,BE,2003-01-01,25276.0
CP_MNAC,PAID,B8N,S1,BE,2004-01-01,28928.0
CP_MNAC,PAID,B8N,S1,BE,2005-01-01,29304.0
CP_MNAC,PAID,B8N,S1,BE,2006-01-01,31342.0
CP_MNAC,PAID,B8N,S1,BE,2007-01-01,35990.0
CP_MNAC,PAID,B8N,S1,BE,2008-01-01,29685.0
CP_MNAC,PAID,B8N,S1,BE,2009-01-01,10923.0
CP_MNAC,PAID,B8N,S1,BE,2010-01-01,26078.0
CP_MNAC,PAID,B8N,S1,BE,2011-01-01,18164.0
CP_MNAC,PAID,B8N,S1,BE,2012-01-01,19401.0
CP_MNAC,PAID,B8N,S1,BE,2013-01-01,14167.0
CP_MNAC,PAID,B8N,S1,BE,2014-01-01,14354.0
CP_MNAC,PAID,B8N,S1,BE,2015-01-01,15543.0
CP_MNAC,PAID,B8N,S1,BE,2016-01-01,20454.0
CP_MNAC,PAID,B8N,S1,BE,2017-01-01,
CP_MNAC,PAID,B8N,S1,BG,1995-01-01,137.0
CP_MNAC,PAID,B8N,S1,BG,1996-01-01,-139.0
CP_MNAC,PAID,B8N,S1,BG,1997-01-01,2270.0
CP_MNAC,PAID,B8N,S1,BG,1998-01-01,3298.0
CP_MNAC,PAID,B8N,S1,BG,1999-01-01,26.0
CP_MNAC,PAID,B8N,S1,BG,2000-01-01,262.0
CP_MNAC,PAID,B8N,S1,BG,2001-01-01,977.0
CP_MNAC,PAID,B8N,S1,BG,2002-01-01,1661.0
