coicop,unit,geotime,date,value
CP03,I15,AT,2017-10-01,110
CP03,I15,AT,2017-11-01,111
CP03,I15,AT,2017-12-01,109
CP03,I15,AT,2018-01-01,95
CP03,I15,AT,2018-02-01,94
CP03,I15,AT,2018-03-01,106
CP03,I15,AT,2018-04-01,108
CP03,I15,AT,2018-05-01,107
CP03,I15,AT,2018-06-01,104
CP03,I15,AT,2018-07-01,90
CP03,I15,AT,2018-08-01,88
CP03,I15,AT,2018-09-01,107
CP03,I15,BE,2017-10-01,104
CP03,I15,BE,2017-11-01,105
CP03,I15,BE,2017-12-01,105
CP03,I15,BE,2018-01-01,84
CP03,I15,BE,2018-02-01,105
CP03,I15,BE,2018-03-01,105
CP03,I15,BE,2018-04-01,105
CP03,I15,BE,2018-05-01,105
CP03,I15,BE,2018-06-01,105
CP03,I15,BE,2018-07-01,81
CP03,I15,BE,2018-08-01,105
CP03,I15,BE,2018-09-01,105
CP03,I15,BG,2017-10-01,101
CP03,I15,BG,2017-11-01,101
CP03,I15,BG,2017-12-01,100
CP03,I15,BG,2018-01-01,97
CP03,I15,BG,2018-02-01,95
CP03,I15,BG,2018-03-01,95
CP03,I15,BG,2018-04-01,99
CP03,I15,BG,2018-05-01,100
CP03,I15,BG,2018-06-01,99
CP03,I15,BG,2018-07-01,96
CP03,I15,BG,2018-08-01,93
CP03,I15,BG,2018-09-01,93
CP03,I15,CH,2017-10-01,118
CP03,I15,CH,2017-11-01,117
CP03,I15,CH,2017-12-01,119
CP03,I15,CH,2018-01-01,106
CP03,I15,CH,2018-02-01,112
CP03,I15,CH,2018-03-01,118
CP03,I15,CH,2018-04-01,119
CP03,I15,CH,2018-05-01,119
CP03,I15,CH,2018-06-01,116
CP03,I15,CH,2018-07-01,105
CP03,I15,CH,2018-08-01,111
CP03,I15,CH,2018-09-01,116
CP03,I15,CY,2017-10-01,103
CP03,I15,CY,2017-11-01,105
CP03,I15,CY,2017-12-01,105
