age,isced11,unit,sex,geotime,date,value
Y30-34,ED5-8,PC,F,AT,1992-01-01,
Y30-34,ED5-8,PC,F,AT,1993-01-01,
Y30-34,ED5-8,PC,F,AT,1994-01-01,
Y30-34,ED5-8,PC,F,AT,1995-01-01,10.0
Y30-34,ED5-8,PC,F,AT,1996-01-01,10.3
Y30-34,ED5-8,PC,F,AT,1997-01-01,10.4
Y30-34,ED5-8,PC,F,AT,1998-01-01,9.6
Y30-34,ED5-8,PC,F,AT,1999-01-01,15.5
Y30-34,ED5-8,PC,F,AT,2000-01-01,
Y30-34,ED5-8,PC,F,AT,2001-01-01,
Y30-34,ED5-8,PC,F,AT,2002-01-01,
Y30-34,ED5-8,PC,F,AT,2003-01-01,
Y30-34,ED5-8,PC,F,AT,2004-01-01,19.9
Y30-34,ED5-8,PC,F,AT,2005-01-01,20.4
Y30-34,ED5-8,PC,F,AT,2006-01-01,20.4
Y30-34,ED5-8,PC,F,AT,2007-01-01,20.1
Y30-34,ED5-8,PC,F,AT,2008-01-01,22.0
Y30-34,ED5-8,PC,F,AT,2009-01-01,23.9
Y30-34,ED5-8,PC,F,AT,2010-01-01,24.4
Y30-34,ED5-8,PC,F,AT,2011-01-01,24.3
Y30-34,ED5-8,PC,F,AT,2012-01-01,26.5
Y30-34,ED5-8,PC,F,AT,2013-01-01,27.8
Y30-34,ED5-8,PC,F,AT,2014-01-01,41.6
Y30-34,ED5-8,PC,F,AT,2015-01-01,40.0
Y30-34,ED5-8,PC,F,AT,2016-01-01,42.0
Y30-34,ED5-8,PC,F,AT,2017-01-01,44.0
Y30-34,ED5-8,PC,F,BE,1992-01-01,27.9
Y30-34,ED5-8,PC,F,BE,1993-01-01,30.4
Y30-34,ED5-8,PC,F,BE,1994-01-01,31.3
Y30-34,ED5-8,PC,F,BE,1995-01-01,31.7
Y30-34,ED5-8,PC,F,BE,1996-01-01,33.1
Y30-34,ED5-8,PC,F,BE,1997-01-01,34.7
Y30-34,ED5-8,PC,F,BE,1998-01-01,36.0
Y30-34,ED5-8,PC,F,BE,1999-01-01,35.8
Y30-34,ED5-8,PC,F,BE,2000-01-01,37.1
Y30-34,ED5-8,PC,F,BE,2001-01-01,37.9
Y30-34,ED5-8,PC,F,BE,2002-01-01,39.0
Y30-34,ED5-8,PC,F,BE,2003-01-01,41.3
Y30-34,ED5-8,PC,F,BE,2004-01-01,44.1
Y30-34,ED5-8,PC,F,BE,2005-01-01,43.4
Y30-34,ED5-8,PC,F,BE,2006-01-01,46.2
Y30-34,ED5-8,PC,F,BE,2007-01-01,46.4
Y30-34,ED5-8,PC,F,BE,2008-01-01,48.6
Y30-34,ED5-8,PC,F,BE,2009-01-01,47.7
Y30-34,ED5-8,PC,F,BE,2010-01-01,50.0
Y30-34,ED5-8,PC,F,BE,2011-01-01,48.1
Y30-34,ED5-8,PC,F,BE,2012-01-01,50.7
Y30-34,ED5-8,PC,F,BE,2013-01-01,49.3
Y30-34,ED5-8,PC,F,BE,2014-01-01,50.2
Y30-34,ED5-8,PC,F,BE,2015-01-01,48.7
Y30-34,ED5-8,PC,F,BE,2016-01-01,50.7
Y30-34,ED5-8,PC,F,BE,2017-01-01,50.9
Y30-34,ED5-8,PC,F,BG,1992-01-01,
Y30-34,ED5-8,PC,F,BG,1993-01-01,
Y30-34,ED5-8,PC,F,BG,1994-01-01,
Y30-34,ED5-8,PC,F,BG,1995-01-01,
Y30-34,ED5-8,PC,F,BG,1996-01-01,
Y30-34,ED5-8,PC,F,BG,1997-01-01,
Y30-34,ED5-8,PC,F,BG,1998-01-01,
Y30-34,ED5-8,PC,F,BG,1999-01-01,
Y30-34,ED5-8,PC,F,BG,2000-01-01,23.1
Y30-34,ED5-8,PC,F,BG,2001-01-01,28.3
Y30-34,ED5-8,PC,F,BG,2002-01-01,28.8
Y30-34,ED5-8,PC,F,BG,2003-01-01,29.5
Y30-34,ED5-8,PC,F,BG,2004-01-01,31.8
Y30-34,ED5-8,PC,F,BG,2005-01-01,31.5
Y30-34,ED5-8,PC,F,BG,2006-01-01,32.8
Y30-34,ED5-8,PC,F,BG,2007-01-01,33.2
Y30-34,ED5-8,PC,F,BG,2008-01-01,34.5
Y30-34,ED5-8,PC,F,BG,2009-01-01,35.6
Y30-34,ED5-8,PC,F,BG,2010-01-01,35.9
Y30-34,ED5-8,PC,F,BG,2011-01-01,34.2
Y30-34,ED5-8,PC,F,BG,2012-01-01,33.6
Y30-34,ED5-8,PC,F,BG,2013-01-01,37.6
Y30-34,ED5-8,PC,F,BG,2014-01-01,39.0
Y30-34,ED5-8,PC,F,BG,2015-01-01,39.9
Y30-34,ED5-8,PC,F,BG,2016-01-01,41.0
Y30-34,ED5-8,PC,F,BG,2017-01-01,40.5
Y30-34,ED5-8,PC,F,CH,1992-01-01,
Y30-34,ED5-8,PC,F,CH,1993-01-01,
Y30-34,ED5-8,PC,F,CH,1994-01-01,
Y30-34,ED5-8,PC,F,CH,1995-01-01,
Y30-34,ED5-8,PC,F,CH,1996-01-01,15.3
Y30-34,ED5-8,PC,F,CH,1997-01-01,17.0
Y30-34,ED5-8,PC,F,CH,1998-01-01,17.4
Y30-34,ED5-8,PC,F,CH,1999-01-01,15.8
Y30-34,ED5-8,PC,F,CH,2000-01-01,17.7
Y30-34,ED5-8,PC,F,CH,2001-01-01,17.6
Y30-34,ED5-8,PC,F,CH,2002-01-01,20.8
Y30-34,ED5-8,PC,F,CH,2003-01-01,23.2
Y30-34,ED5-8,PC,F,CH,2004-01-01,23.7
Y30-34,ED5-8,PC,F,CH,2005-01-01,25.4
Y30-34,ED5-8,PC,F,CH,2006-01-01,27.3
Y30-34,ED5-8,PC,F,CH,2007-01-01,29.7
Y30-34,ED5-8,PC,F,CH,2008-01-01,34.4
Y30-34,ED5-8,PC,F,CH,2009-01-01,38.1
Y30-34,ED5-8,PC,F,CH,2010-01-01,38.9
Y30-34,ED5-8,PC,F,CH,2011-01-01,39.7
Y30-34,ED5-8,PC,F,CH,2012-01-01,39.3
Y30-34,ED5-8,PC,F,CH,2013-01-01,42.3
Y30-34,ED5-8,PC,F,CH,2014-01-01,46.0
Y30-34,ED5-8,PC,F,CH,2015-01-01,50.0
Y30-34,ED5-8,PC,F,CH,2016-01-01,50.1
Y30-34,ED5-8,PC,F,CH,2017-01-01,51.6
Y30-34,ED5-8,PC,F,CY,1992-01-01,
Y30-34,ED5-8,PC,F,CY,1993-01-01,
Y30-34,ED5-8,PC,F,CY,1994-01-01,
Y30-34,ED5-8,PC,F,CY,1995-01-01,
Y30-34,ED5-8,PC,F,CY,1996-01-01,
Y30-34,ED5-8,PC,F,CY,1997-01-01,
Y30-34,ED5-8,PC,F,CY,1998-01-01,
Y30-34,ED5-8,PC,F,CY,1999-01-01,29.9
Y30-34,ED5-8,PC,F,CY,2000-01-01,31.5
Y30-34,ED5-8,PC,F,CY,2001-01-01,32.3
Y30-34,ED5-8,PC,F,CY,2002-01-01,36.1
Y30-34,ED5-8,PC,F,CY,2003-01-01,37.7
Y30-34,ED5-8,PC,F,CY,2004-01-01,38.7
Y30-34,ED5-8,PC,F,CY,2005-01-01,42.5
Y30-34,ED5-8,PC,F,CY,2006-01-01,46.8
Y30-34,ED5-8,PC,F,CY,2007-01-01,48.0
Y30-34,ED5-8,PC,F,CY,2008-01-01,52.9
Y30-34,ED5-8,PC,F,CY,2009-01-01,49.3
Y30-34,ED5-8,PC,F,CY,2010-01-01,48.9
Y30-34,ED5-8,PC,F,CY,2011-01-01,52.0
Y30-34,ED5-8,PC,F,CY,2012-01-01,55.5
Y30-34,ED5-8,PC,F,CY,2013-01-01,53.4
Y30-34,ED5-8,PC,F,CY,2014-01-01,58.2
Y30-34,ED5-8,PC,F,CY,2015-01-01,61.6
Y30-34,ED5-8,PC,F,CY,2016-01-01,62.1
Y30-34,ED5-8,PC,F,CY,2017-01-01,63.6
Y30-34,ED5-8,PC,F,CZ,1992-01-01,
Y30-34,ED5-8,PC,F,CZ,1993-01-01,
Y30-34,ED5-8,PC,F,CZ,1994-01-01,
Y30-34,ED5-8,PC,F,CZ,1995-01-01,
Y30-34,ED5-8,PC,F,CZ,1996-01-01,
Y30-34,ED5-8,PC,F,CZ,1997-01-01,
Y30-34,ED5-8,PC,F,CZ,1998-01-01,11.0
Y30-34,ED5-8,PC,F,CZ,1999-01-01,10.7
Y30-34,ED5-8,PC,F,CZ,2000-01-01,13.0
Y30-34,ED5-8,PC,F,CZ,2001-01-01,12.5
Y30-34,ED5-8,PC,F,CZ,2002-01-01,11.4
Y30-34,ED5-8,PC,F,CZ,2003-01-01,10.8
Y30-34,ED5-8,PC,F,CZ,2004-01-01,12.1
Y30-34,ED5-8,PC,F,CZ,2005-01-01,13.0
Y30-34,ED5-8,PC,F,CZ,2006-01-01,12.4
Y30-34,ED5-8,PC,F,CZ,2007-01-01,13.7
Y30-34,ED5-8,PC,F,CZ,2008-01-01,15.9
Y30-34,ED5-8,PC,F,CZ,2009-01-01,18.7
Y30-34,ED5-8,PC,F,CZ,2010-01-01,22.3
Y30-34,ED5-8,PC,F,CZ,2011-01-01,26.1
Y30-34,ED5-8,PC,F,CZ,2012-01-01,29.1
Y30-34,ED5-8,PC,F,CZ,2013-01-01,29.6
Y30-34,ED5-8,PC,F,CZ,2014-01-01,32.5
Y30-34,ED5-8,PC,F,CZ,2015-01-01,35.9
Y30-34,ED5-8,PC,F,CZ,2016-01-01,38.7
Y30-34,ED5-8,PC,F,CZ,2017-01-01,41.0
Y30-34,ED5-8,PC,F,DE,1992-01-01,20.9
Y30-34,ED5-8,PC,F,DE,1993-01-01,21.1
Y30-34,ED5-8,PC,F,DE,1994-01-01,20.5
Y30-34,ED5-8,PC,F,DE,1995-01-01,20.5
Y30-34,ED5-8,PC,F,DE,1996-01-01,20.0
Y30-34,ED5-8,PC,F,DE,1997-01-01,20.5
Y30-34,ED5-8,PC,F,DE,1998-01-01,
Y30-34,ED5-8,PC,F,DE,1999-01-01,20.9
Y30-34,ED5-8,PC,F,DE,2000-01-01,22.6
Y30-34,ED5-8,PC,F,DE,2001-01-01,21.9
Y30-34,ED5-8,PC,F,DE,2002-01-01,21.4
Y30-34,ED5-8,PC,F,DE,2003-01-01,22.5
Y30-34,ED5-8,PC,F,DE,2004-01-01,24.3
Y30-34,ED5-8,PC,F,DE,2005-01-01,24.1
Y30-34,ED5-8,PC,F,DE,2006-01-01,24.4
Y30-34,ED5-8,PC,F,DE,2007-01-01,25.7
