landcover,unit,geotime,date,value
LCA,I09,AT,2009-01-01,100.0
LCA,I09,AT,2012-01-01,105.8
LCA,I09,AT,2015-01-01,109.1
LCA,I09,BE,2009-01-01,100.0
LCA,I09,BE,2012-01-01,109.3
LCA,I09,BE,2015-01-01,114.8
LCA,I09,CZ,2009-01-01,100.0
LCA,I09,CZ,2012-01-01,103.5
LCA,I09,CZ,2015-01-01,108.5
LCA,I09,DE,2009-01-01,100.0
LCA,I09,DE,2012-01-01,103.2
LCA,I09,DE,2015-01-01,107.9
LCA,I09,DK,2009-01-01,100.0
LCA,I09,DK,2012-01-01,103.3
LCA,I09,DK,2015-01-01,106.8
LCA,I09,EE,2009-01-01,100.0
LCA,I09,EE,2012-01-01,104.7
LCA,I09,EE,2015-01-01,110.2
LCA,I09,EL,2009-01-01,100.0
LCA,I09,EL,2012-01-01,112.2
LCA,I09,EL,2015-01-01,117.3
LCA,I09,ES,2009-01-01,100.0
LCA,I09,ES,2012-01-01,104.0
LCA,I09,ES,2015-01-01,107.6
LCA,I09,EU_V,2009-01-01,100.0
LCA,I09,EU_V,2012-01-01,103.7
LCA,I09,EU_V,2015-01-01,107.8
LCA,I09,FI,2009-01-01,100.0
LCA,I09,FI,2012-01-01,103.7
LCA,I09,FI,2015-01-01,107.7
LCA,I09,FR,2009-01-01,100.0
LCA,I09,FR,2012-01-01,102.6
LCA,I09,FR,2015-01-01,105.6
LCA,I09,HU,2009-01-01,100.0
LCA,I09,HU,2012-01-01,105.5
LCA,I09,HU,2015-01-01,113.8
LCA,I09,IE,2009-01-01,100.0
LCA,I09,IE,2012-01-01,103.5
LCA,I09,IE,2015-01-01,104.0
LCA,I09,IT,2009-01-01,100.0
LCA,I09,IT,2012-01-01,102.7
LCA,I09,IT,2015-01-01,105.2
LCA,I09,LT,2009-01-01,100.0
LCA,I09,LT,2012-01-01,102.1
LCA,I09,LT,2015-01-01,106.0
LCA,I09,LU,2009-01-01,100.0
LCA,I09,LU,2012-01-01,109.6
LCA,I09,LU,2015-01-01,110.9
LCA,I09,LV,2009-01-01,100.0
