indic_em,age,sex,unit,geotime,date,value
LTU,Y15-74,F,PC_ACT,AT,2005-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2006-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2007-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2008-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2009-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2010-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2011-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2012-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2013-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2014-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2015-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2016-01-01,1
LTU,Y15-74,F,PC_ACT,AT,2017-01-01,1
LTU,Y15-74,F,PC_ACT,BE,2005-01-01,5
LTU,Y15-74,F,PC_ACT,BE,2006-01-01,4
LTU,Y15-74,F,PC_ACT,BE,2007-01-01,4
LTU,Y15-74,F,PC_ACT,BE,2008-01-01,3
LTU,Y15-74,F,PC_ACT,BE,2009-01-01,3
LTU,Y15-74,F,PC_ACT,BE,2010-01-01,4
LTU,Y15-74,F,PC_ACT,BE,2011-01-01,3
LTU,Y15-74,F,PC_ACT,BE,2012-01-01,3
LTU,Y15-74,F,PC_ACT,BE,2013-01-01,3
LTU,Y15-74,F,PC_ACT,BE,2014-01-01,3
LTU,Y15-74,F,PC_ACT,BE,2015-01-01,3
LTU,Y15-74,F,PC_ACT,BE,2016-01-01,3
LTU,Y15-74,F,PC_ACT,BE,2017-01-01,3
LTU,Y15-74,F,PC_ACT,BG,2005-01-01,6
LTU,Y15-74,F,PC_ACT,BG,2006-01-01,5
LTU,Y15-74,F,PC_ACT,BG,2007-01-01,4
LTU,Y15-74,F,PC_ACT,BG,2008-01-01,3
LTU,Y15-74,F,PC_ACT,BG,2009-01-01,3
LTU,Y15-74,F,PC_ACT,BG,2010-01-01,4
LTU,Y15-74,F,PC_ACT,BG,2011-01-01,5
LTU,Y15-74,F,PC_ACT,BG,2012-01-01,5
LTU,Y15-74,F,PC_ACT,BG,2013-01-01,6
LTU,Y15-74,F,PC_ACT,BG,2014-01-01,6
LTU,Y15-74,F,PC_ACT,BG,2015-01-01,5
LTU,Y15-74,F,PC_ACT,BG,2016-01-01,4
LTU,Y15-74,F,PC_ACT,BG,2017-01-01,3
LTU,Y15-74,F,PC_ACT,CH,2005-01-01,
LTU,Y15-74,F,PC_ACT,CH,2006-01-01,
LTU,Y15-74,F,PC_ACT,CH,2007-01-01,
LTU,Y15-74,F,PC_ACT,CH,2008-01-01,
LTU,Y15-74,F,PC_ACT,CH,2009-01-01,
LTU,Y15-74,F,PC_ACT,CH,2010-01-01,1
LTU,Y15-74,F,PC_ACT,CH,2011-01-01,1
LTU,Y15-74,F,PC_ACT,CH,2012-01-01,1
LTU,Y15-74,F,PC_ACT,CH,2013-01-01,1
LTU,Y15-74,F,PC_ACT,CH,2014-01-01,1
LTU,Y15-74,F,PC_ACT,CH,2015-01-01,1
LTU,Y15-74,F,PC_ACT,CH,2016-01-01,1
LTU,Y15-74,F,PC_ACT,CH,2017-01-01,1
LTU,Y15-74,F,PC_ACT,CY,2005-01-01,1
LTU,Y15-74,F,PC_ACT,CY,2006-01-01,1
LTU,Y15-74,F,PC_ACT,CY,2007-01-01,0
LTU,Y15-74,F,PC_ACT,CY,2008-01-01,0
LTU,Y15-74,F,PC_ACT,CY,2009-01-01,0
LTU,Y15-74,F,PC_ACT,CY,2010-01-01,1
LTU,Y15-74,F,PC_ACT,CY,2011-01-01,1
LTU,Y15-74,F,PC_ACT,CY,2012-01-01,3
LTU,Y15-74,F,PC_ACT,CY,2013-01-01,5
LTU,Y15-74,F,PC_ACT,CY,2014-01-01,7
LTU,Y15-74,F,PC_ACT,CY,2015-01-01,6
LTU,Y15-74,F,PC_ACT,CY,2016-01-01,5
LTU,Y15-74,F,PC_ACT,CY,2017-01-01,4
LTU,Y15-74,F,PC_ACT,CZ,2005-01-01,5
LTU,Y15-74,F,PC_ACT,CZ,2006-01-01,4
LTU,Y15-74,F,PC_ACT,CZ,2007-01-01,3
LTU,Y15-74,F,PC_ACT,CZ,2008-01-01,2
LTU,Y15-74,F,PC_ACT,CZ,2009-01-01,2
LTU,Y15-74,F,PC_ACT,CZ,2010-01-01,3
LTU,Y15-74,F,PC_ACT,CZ,2011-01-01,3
LTU,Y15-74,F,PC_ACT,CZ,2012-01-01,3
LTU,Y15-74,F,PC_ACT,CZ,2013-01-01,3
LTU,Y15-74,F,PC_ACT,CZ,2014-01-01,3
LTU,Y15-74,F,PC_ACT,CZ,2015-01-01,2
LTU,Y15-74,F,PC_ACT,CZ,2016-01-01,2
LTU,Y15-74,F,PC_ACT,CZ,2017-01-01,1
LTU,Y15-74,F,PC_ACT,DE,2005-01-01,5
LTU,Y15-74,F,PC_ACT,DE,2006-01-01,5
LTU,Y15-74,F,PC_ACT,DE,2007-01-01,4
LTU,Y15-74,F,PC_ACT,DE,2008-01-01,3
LTU,Y15-74,F,PC_ACT,DE,2009-01-01,3
LTU,Y15-74,F,PC_ACT,DE,2010-01-01,3
LTU,Y15-74,F,PC_ACT,DE,2011-01-01,2
LTU,Y15-74,F,PC_ACT,DE,2012-01-01,2
LTU,Y15-74,F,PC_ACT,DE,2013-01-01,2
LTU,Y15-74,F,PC_ACT,DE,2014-01-01,1
LTU,Y15-74,F,PC_ACT,DE,2015-01-01,1
LTU,Y15-74,F,PC_ACT,DE,2016-01-01,1
LTU,Y15-74,F,PC_ACT,DE,2017-01-01,1
LTU,Y15-74,F,PC_ACT,DK,2005-01-01,1
LTU,Y15-74,F,PC_ACT,DK,2006-01-01,0
LTU,Y15-74,F,PC_ACT,DK,2007-01-01,0
LTU,Y15-74,F,PC_ACT,DK,2008-01-01,0
LTU,Y15-74,F,PC_ACT,DK,2009-01-01,0
LTU,Y15-74,F,PC_ACT,DK,2010-01-01,1
LTU,Y15-74,F,PC_ACT,DK,2011-01-01,1
LTU,Y15-74,F,PC_ACT,DK,2012-01-01,2
