stk_flow,sitc06,partner,unit,geo\time,date,value
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-09-01,5.2
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-10-01,9.0
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-11-01,8.5
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-12-01,0.9
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-01-01,9.1
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-02-01,1.8
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-03-01,-3.2
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-04-01,8.2
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-05-01,-0.8
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-06-01,6.0
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-07-01,9.3
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-08-01,5.6
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-09-01,6.0
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-10-01,8.5
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-11-01,7.4
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-12-01,-3.1
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-01-01,6.3
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-02-01,0.3
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-03-01,-3.0
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-04-01,7.1
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-05-01,-2.5
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-06-01,8.6
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-07-01,9.6
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-08-01,9.2
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2017-09-01,1.0
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2017-10-01,-2.1
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2017-11-01,4.3
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2017-12-01,1.7
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-01-01,-0.9
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-02-01,-3.3
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-03-01,1.3
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-04-01,0.5
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-05-01,0.4
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-06-01,1.7
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-07-01,-1.1
EXP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-08-01,2.1
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2017-09-01,2.5
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2017-10-01,-2.0
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2017-11-01,4.2
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2017-12-01,2.4
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2018-01-01,-0.9
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2018-02-01,-4.0
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2018-03-01,3.3
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2018-04-01,-1.6
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2018-05-01,0.2
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2018-06-01,4.0
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2018-07-01,-1.0
EXP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2018-08-01,2.0
EXP,TOTAL,WRL_REST,TVAL_SA,EA19,2017-09-01,184894.7
EXP,TOTAL,WRL_REST,TVAL_SA,EA19,2017-10-01,180964.4
EXP,TOTAL,WRL_REST,TVAL_SA,EA19,2017-11-01,188676.0
