currency,s_adj,sector10,sectpart,stk_flow,partner,bop_item,geotime,date,value
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DE,2018-01-01,6862
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DE,2018-02-01,1872
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DE,2018-03-01,6967
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DE,2018-04-01,8089
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DE,2018-05-01,3590
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DE,2018-06-01,5461
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DE,2018-07-01,7329
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DE,2018-08-01,956
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2017-09-01,3563
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2017-10-01,2399
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2017-11-01,3024
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2017-12-01,445
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2018-01-01,2716
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2018-02-01,1534
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2018-03-01,2803
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2018-04-01,3594
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2018-05-01,3094
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2018-06-01,799
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2018-07-01,3575
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,DK,2018-08-01,1549
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2017-09-01,32532
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2017-10-01,8708
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2017-11-01,39445
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2017-12-01,46384
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2018-01-01,11802
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2018-02-01,3346
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,EA19,2018-03-01,56345
