stk_flow,sitc06,partner,unit,geotime,date,value
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2017-09-01,2.5
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2017-10-01,9.9
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2017-11-01,2.5
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2017-12-01,2.0
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2018-01-01,-0.8
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2018-02-01,1.2
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2018-03-01,-9.4
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2018-04-01,5.9
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2018-05-01,-1.3
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2018-06-01,4.9
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2018-07-01,12.8
IMP,SITC5,WRL_REST,PCH_M12_NSA,EA19,2018-08-01,1.9
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2017-09-01,1.8
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2017-10-01,10.8
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2017-11-01,0.9
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2017-12-01,-0.2
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2018-01-01,-1.4
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2018-02-01,-0.7
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2018-03-01,-8.8
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2018-04-01,5.7
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2018-05-01,-1.2
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2018-06-01,6.9
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2018-07-01,13.5
IMP,SITC5,WRL_REST,PCH_M12_NSA,EU28,2018-08-01,4.3
IMP,SITC5,WRL_REST,PCH_M1_SA,EA19,2017-09-01,-4.5
IMP,SITC5,WRL_REST,PCH_M1_SA,EA19,2017-10-01,1.6
IMP,SITC5,WRL_REST,PCH_M1_SA,EA19,2017-11-01,-0.3
IMP,SITC5,WRL_REST,PCH_M1_SA,EA19,2017-12-01,3.2
IMP,SITC5,WRL_REST,PCH_M1_SA,EA19,2018-01-01,-4.2
