indic_en,unit,geotime,date,value
119800,PC,DE,2010-01-01,
119800,PC,DE,2011-01-01,
119800,PC,DE,2012-01-01,
119800,PC,DE,2013-01-01,
119800,PC,DE,2014-01-01,
119800,PC,DE,2015-01-01,
119800,PC,DE,2016-01-01,
119800,PC,DK,2004-01-01,14
119800,PC,DK,2005-01-01,
119800,PC,DK,2006-01-01,
119800,PC,DK,2007-01-01,
119800,PC,DK,2008-01-01,
119800,PC,DK,2009-01-01,
119800,PC,DK,2010-01-01,
119800,PC,DK,2011-01-01,
119800,PC,DK,2012-01-01,
119800,PC,DK,2013-01-01,
119800,PC,DK,2014-01-01,
119800,PC,DK,2015-01-01,
119800,PC,DK,2016-01-01,
119800,PC,EE,2004-01-01,18
119800,PC,EE,2005-01-01,
119800,PC,EE,2006-01-01,
119800,PC,EE,2007-01-01,
119800,PC,EE,2008-01-01,
119800,PC,EE,2009-01-01,
119800,PC,EE,2010-01-01,
119800,PC,EE,2011-01-01,
119800,PC,EE,2012-01-01,
119800,PC,EE,2013-01-01,
119800,PC,EE,2014-01-01,
119800,PC,EE,2015-01-01,
119800,PC,EE,2016-01-01,
119800,PC,EL,2004-01-01,6
119800,PC,EL,2005-01-01,
119800,PC,EL,2006-01-01,
119800,PC,EL,2007-01-01,
119800,PC,EL,2008-01-01,
119800,PC,EL,2009-01-01,
119800,PC,EL,2010-01-01,
119800,PC,EL,2011-01-01,
119800,PC,EL,2012-01-01,
119800,PC,EL,2013-01-01,
119800,PC,EL,2014-01-01,
119800,PC,EL,2015-01-01,
119800,PC,EL,2016-01-01,
119800,PC,ES,2004-01-01,8
119800,PC,ES,2005-01-01,
119800,PC,ES,2006-01-01,
119800,PC,ES,2007-01-01,
119800,PC,ES,2008-01-01,
119800,PC,ES,2009-01-01,
119800,PC,ES,2010-01-01,
119800,PC,ES,2011-01-01,
119800,PC,ES,2012-01-01,
119800,PC,ES,2013-01-01,
119800,PC,ES,2014-01-01,
119800,PC,ES,2015-01-01,
119800,PC,ES,2016-01-01,
119800,PC,EU28,2004-01-01,8
119800,PC,EU28,2005-01-01,
119800,PC,EU28,2006-01-01,
119800,PC,EU28,2007-01-01,
119800,PC,EU28,2008-01-01,
119800,PC,EU28,2009-01-01,
119800,PC,EU28,2010-01-01,
119800,PC,EU28,2011-01-01,
119800,PC,EU28,2012-01-01,
119800,PC,EU28,2013-01-01,
119800,PC,EU28,2014-01-01,
119800,PC,EU28,2015-01-01,
119800,PC,EU28,2016-01-01,
119800,PC,FI,2004-01-01,29
119800,PC,FI,2005-01-01,
119800,PC,FI,2006-01-01,
119800,PC,FI,2007-01-01,
119800,PC,FI,2008-01-01,
119800,PC,FI,2009-01-01,
119800,PC,FI,2010-01-01,
119800,PC,FI,2011-01-01,
119800,PC,FI,2012-01-01,
119800,PC,FI,2013-01-01,
119800,PC,FI,2014-01-01,
119800,PC,FI,2015-01-01,
119800,PC,FI,2016-01-01,
119800,PC,FR,2004-01-01,9
119800,PC,FR,2005-01-01,
119800,PC,FR,2006-01-01,
119800,PC,FR,2007-01-01,
119800,PC,FR,2008-01-01,
119800,PC,FR,2009-01-01,
119800,PC,FR,2010-01-01,
119800,PC,FR,2011-01-01,
119800,PC,FR,2012-01-01,
119800,PC,FR,2013-01-01,
119800,PC,FR,2014-01-01,
119800,PC,FR,2015-01-01,
119800,PC,FR,2016-01-01,
119800,PC,HR,2004-01-01,23
119800,PC,HR,2005-01-01,
119800,PC,HR,2006-01-01,
119800,PC,HR,2007-01-01,
119800,PC,HR,2008-01-01,
119800,PC,HR,2009-01-01,
119800,PC,HR,2010-01-01,
119800,PC,HR,2011-01-01,
119800,PC,HR,2012-01-01,
119800,PC,HR,2013-01-01,
119800,PC,HR,2014-01-01,
119800,PC,HR,2015-01-01,
119800,PC,HR,2016-01-01,
119800,PC,HU,2004-01-01,4
119800,PC,HU,2005-01-01,
119800,PC,HU,2006-01-01,
119800,PC,HU,2007-01-01,
119800,PC,HU,2008-01-01,
119800,PC,HU,2009-01-01,
119800,PC,HU,2010-01-01,
119800,PC,HU,2011-01-01,
119800,PC,HU,2012-01-01,
119800,PC,HU,2013-01-01,
119800,PC,HU,2014-01-01,
119800,PC,HU,2015-01-01,
119800,PC,HU,2016-01-01,
119800,PC,IE,2004-01-01,2
119800,PC,IE,2005-01-01,
119800,PC,IE,2006-01-01,
119800,PC,IE,2007-01-01,
119800,PC,IE,2008-01-01,
119800,PC,IE,2009-01-01,
119800,PC,IE,2010-01-01,
119800,PC,IE,2011-01-01,
119800,PC,IE,2012-01-01,
119800,PC,IE,2013-01-01,
119800,PC,IE,2014-01-01,
119800,PC,IE,2015-01-01,
119800,PC,IE,2016-01-01,
119800,PC,IS,2004-01-01,58
119800,PC,IS,2005-01-01,
119800,PC,IS,2006-01-01,
119800,PC,IS,2007-01-01,
119800,PC,IS,2008-01-01,
119800,PC,IS,2009-01-01,
119800,PC,IS,2010-01-01,
119800,PC,IS,2011-01-01,
119800,PC,IS,2012-01-01,
119800,PC,IS,2013-01-01,
119800,PC,IS,2014-01-01,
119800,PC,IS,2015-01-01,
119800,PC,IS,2016-01-01,
119800,PC,IT,2004-01-01,6
119800,PC,IT,2005-01-01,
119800,PC,IT,2006-01-01,
119800,PC,IT,2007-01-01,
119800,PC,IT,2008-01-01,
119800,PC,IT,2009-01-01,
119800,PC,IT,2010-01-01,
119800,PC,IT,2011-01-01,
119800,PC,IT,2012-01-01,
119800,PC,IT,2013-01-01,
119800,PC,IT,2014-01-01,
119800,PC,IT,2015-01-01,
119800,PC,IT,2016-01-01,
119800,PC,LT,2004-01-01,17
119800,PC,LT,2005-01-01,
119800,PC,LT,2006-01-01,
119800,PC,LT,2007-01-01,
119800,PC,LT,2008-01-01,
119800,PC,LT,2009-01-01,
119800,PC,LT,2010-01-01,
119800,PC,LT,2011-01-01,
119800,PC,LT,2012-01-01,
119800,PC,LT,2013-01-01,
119800,PC,LT,2014-01-01,
119800,PC,LT,2015-01-01,
119800,PC,LT,2016-01-01,
119800,PC,LU,2004-01-01,0
119800,PC,LU,2005-01-01,
119800,PC,LU,2006-01-01,
119800,PC,LU,2007-01-01,
119800,PC,LU,2008-01-01,
119800,PC,LU,2009-01-01,
119800,PC,LU,2010-01-01,
119800,PC,LU,2011-01-01,
119800,PC,LU,2012-01-01,
119800,PC,LU,2013-01-01,
119800,PC,LU,2014-01-01,
119800,PC,LU,2015-01-01,
119800,PC,LU,2016-01-01,
119800,PC,LV,2004-01-01,32
119800,PC,LV,2005-01-01,
119800,PC,LV,2006-01-01,
119800,PC,LV,2007-01-01,
119800,PC,LV,2008-01-01,
119800,PC,LV,2009-01-01,
119800,PC,LV,2010-01-01,
119800,PC,LV,2011-01-01,
119800,PC,LV,2012-01-01,
119800,PC,LV,2013-01-01,
119800,PC,LV,2014-01-01,
119800,PC,LV,2015-01-01,
119800,PC,LV,2016-01-01,
119800,PC,ME,2004-01-01,
119800,PC,ME,2005-01-01,
119800,PC,ME,2006-01-01,
119800,PC,ME,2007-01-01,
119800,PC,ME,2008-01-01,
119800,PC,ME,2009-01-01,
119800,PC,ME,2010-01-01,
119800,PC,ME,2011-01-01,
119800,PC,ME,2012-01-01,
119800,PC,ME,2013-01-01,
119800,PC,ME,2014-01-01,
119800,PC,ME,2015-01-01,
119800,PC,ME,2016-01-01,
119800,PC,MK,2004-01-01,15
119800,PC,MK,2005-01-01,
119800,PC,MK,2006-01-01,
119800,PC,MK,2007-01-01,
119800,PC,MK,2008-01-01,
119800,PC,MK,2009-01-01,
119800,PC,MK,2010-01-01,
119800,PC,MK,2011-01-01,
119800,PC,MK,2012-01-01,
119800,PC,MK,2013-01-01,
119800,PC,MK,2014-01-01,
119800,PC,MK,2015-01-01,
119800,PC,MK,2016-01-01,
119800,PC,MT,2004-01-01,0
119800,PC,MT,2005-01-01,
119800,PC,MT,2006-01-01,
119800,PC,MT,2007-01-01,
119800,PC,MT,2008-01-01,
119800,PC,MT,2009-01-01,
119800,PC,MT,2010-01-01,
119800,PC,MT,2011-01-01,
119800,PC,MT,2012-01-01,
119800,PC,MT,2013-01-01,
119800,PC,MT,2014-01-01,
119800,PC,MT,2015-01-01,
119800,PC,MT,2016-01-01,
119800,PC,NL,2004-01-01,2
119800,PC,NL,2005-01-01,
119800,PC,NL,2006-01-01,
119800,PC,NL,2007-01-01,
119800,PC,NL,2008-01-01,
119800,PC,NL,2009-01-01,
119800,PC,NL,2010-01-01,
119800,PC,NL,2011-01-01,
119800,PC,NL,2012-01-01,
119800,PC,NL,2013-01-01,
119800,PC,NL,2014-01-01,
119800,PC,NL,2015-01-01,
119800,PC,NL,2016-01-01,
119800,PC,NO,2004-01-01,58
119800,PC,NO,2005-01-01,
119800,PC,NO,2006-01-01,
119800,PC,NO,2007-01-01,
119800,PC,NO,2008-01-01,
119800,PC,NO,2009-01-01,
119800,PC,NO,2010-01-01,
119800,PC,NO,2011-01-01,
119800,PC,NO,2012-01-01,
119800,PC,NO,2013-01-01,
119800,PC,NO,2014-01-01,
119800,PC,NO,2015-01-01,
119800,PC,NO,2016-01-01,
119800,PC,PL,2004-01-01,6
119800,PC,PL,2005-01-01,
119800,PC,PL,2006-01-01,
119800,PC,PL,2007-01-01,
119800,PC,PL,2008-01-01,
119800,PC,PL,2009-01-01,
119800,PC,PL,2010-01-01,
119800,PC,PL,2011-01-01,
119800,PC,PL,2012-01-01,
119800,PC,PL,2013-01-01,
119800,PC,PL,2014-01-01,
119800,PC,PL,2015-01-01,
119800,PC,PL,2016-01-01,
119800,PC,PT,2004-01-01,19
119800,PC,PT,2005-01-01,
119800,PC,PT,2006-01-01,
119800,PC,PT,2007-01-01,
119800,PC,PT,2008-01-01,
119800,PC,PT,2009-01-01,
119800,PC,PT,2010-01-01,
119800,PC,PT,2011-01-01,
119800,PC,PT,2012-01-01,
119800,PC,PT,2013-01-01,
119800,PC,PT,2014-01-01,
