currency,partner,sector10,sectpart,stk_flow,bop_item,geo\time,date,value
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2006-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2007-01-01,17779.1 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2008-01-01,13035.2 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2009-01-01,5475.9 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2010-01-01,2680.2 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2011-01-01,3006.6 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2012-01-01,2704.6 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2013-01-01,2951.7 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2014-01-01,1571.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2015-01-01,4580.6 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2016-01-01,2718.4 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,BG,2017-01-01,3708.3 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,1995-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,1996-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,1997-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,1998-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,1999-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2000-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2001-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2002-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2003-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2004-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2005-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2006-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2007-01-01,: 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2008-01-01,1663.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2009-01-01,2014.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2010-01-01,10290.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2011-01-01,-8592.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2012-01-01,: c
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2013-01-01,-4536.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2014-01-01,-391.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2015-01-01,7337.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2016-01-01,7435.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CY,2017-01-01,9782.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,1995-01-01,67993.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,1996-01-01,38775.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,1997-01-01,41251.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,1998-01-01,119968.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,1999-01-01,218811.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2000-01-01,192422.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2001-01-01,214586.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2002-01-01,277690.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2003-01-01,59316.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2004-01-01,164838.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2005-01-01,329578.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2006-01-01,158676.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2007-01-01,269705.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2008-01-01,148224.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2009-01-01,98893.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2010-01-01,194681.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2011-01-01,76356.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2012-01-01,184719.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2013-01-01,143984.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2014-01-01,168088.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2015-01-01,41558.0 
MIO_NAC,WRL_REST,S1,S1,LIAB,FA__D__F,CZ,2016-01-01,265177.0 
