na_item,nace_r2,unit,geotime,date,value
B1G,M_N,MIO_EUR_NSA,AL,2015-07-01,144
B1G,M_N,MIO_EUR_NSA,AL,2015-10-01,167
B1G,M_N,MIO_EUR_NSA,AL,2016-01-01,133
B1G,M_N,MIO_EUR_NSA,AL,2016-04-01,158
B1G,M_N,MIO_EUR_NSA,AL,2016-07-01,155
B1G,M_N,MIO_EUR_NSA,AL,2016-10-01,180
B1G,M_N,MIO_EUR_NSA,AL,2017-01-01,144
B1G,M_N,MIO_EUR_NSA,AL,2017-04-01,162
B1G,M_N,MIO_EUR_NSA,AL,2017-07-01,170
B1G,M_N,MIO_EUR_NSA,AL,2017-10-01,196
B1G,M_N,MIO_EUR_NSA,AL,2018-01-01,160
B1G,M_N,MIO_EUR_NSA,AL,2018-04-01,190
B1G,M_N,MIO_EUR_NSA,AT,2015-07-01,7486
B1G,M_N,MIO_EUR_NSA,AT,2015-10-01,8242
B1G,M_N,MIO_EUR_NSA,AT,2016-01-01,6790
B1G,M_N,MIO_EUR_NSA,AT,2016-04-01,7516
B1G,M_N,MIO_EUR_NSA,AT,2016-07-01,7713
B1G,M_N,MIO_EUR_NSA,AT,2016-10-01,8735
B1G,M_N,MIO_EUR_NSA,AT,2017-01-01,7091
B1G,M_N,MIO_EUR_NSA,AT,2017-04-01,7824
B1G,M_N,MIO_EUR_NSA,AT,2017-07-01,8200
B1G,M_N,MIO_EUR_NSA,AT,2017-10-01,9131
B1G,M_N,MIO_EUR_NSA,AT,2018-01-01,7737
B1G,M_N,MIO_EUR_NSA,AT,2018-04-01,8276
B1G,M_N,MIO_EUR_NSA,BE,2015-07-01,12492
B1G,M_N,MIO_EUR_NSA,BE,2015-10-01,14055
B1G,M_N,MIO_EUR_NSA,BE,2016-01-01,12366
B1G,M_N,MIO_EUR_NSA,BE,2016-04-01,13568
B1G,M_N,MIO_EUR_NSA,BE,2016-07-01,13010
B1G,M_N,MIO_EUR_NSA,BE,2016-10-01,14598
