statinfo,geo,unittime,date,value
SME,EU_V,I00,1990-01-01,125.44
SME,EU_V,I00,1991-01-01,118.51
SME,EU_V,I00,1992-01-01,112.92
SME,EU_V,I00,1993-01-01,108.38
SME,EU_V,I00,1994-01-01,104.85
SME,EU_V,I00,1995-01-01,102.18
SME,EU_V,I00,1996-01-01,100.15
SME,EU_V,I00,1997-01-01,99.22
SME,EU_V,I00,1998-01-01,99.32
SME,EU_V,I00,1999-01-01,99.46
SME,EU_V,I00,2000-01-01,100.0
SME,EU_V,I00,2001-01-01,101.02
SME,EU_V,I00,2002-01-01,100.99
SME,EU_V,I00,2003-01-01,99.02
SME,EU_V,I00,2004-01-01,96.89
SME,EU_V,I00,2005-01-01,94.73
SME,EU_V,I00,2006-01-01,92.62
SME,EU_V,I00,2007-01-01,91.61
SME,EU_V,I00,2008-01-01,90.89
SME,EU_V,I00,2009-01-01,90.02
SME,EU_V,I00,2010-01-01,88.92
SME,EU_V,I00,2011-01-01,87.84
SME,EU_V,I00,2012-01-01,86.73
SME,EU_V,I00,2013-01-01,85.54
SME,EU_V,I00,2014-01-01,84.31
SME,EU_V,I00,2015-01-01,83.04
SME,EU_V,I90,1990-01-01,100.0
SME,EU_V,I90,1991-01-01,94.48
SME,EU_V,I90,1992-01-01,90.02
SME,EU_V,I90,1993-01-01,86.4
SME,EU_V,I90,1994-01-01,83.59
SME,EU_V,I90,1995-01-01,81.46
SME,EU_V,I90,1996-01-01,79.84
SME,EU_V,I90,1997-01-01,79.1
SME,EU_V,I90,1998-01-01,79.18
SME,EU_V,I90,1999-01-01,79.29
SME,EU_V,I90,2000-01-01,79.72
SME,EU_V,I90,2001-01-01,80.53
SME,EU_V,I90,2002-01-01,80.51
SME,EU_V,I90,2003-01-01,78.94
SME,EU_V,I90,2004-01-01,77.24
SME,EU_V,I90,2005-01-01,75.52
SME,EU_V,I90,2006-01-01,73.84
SME,EU_V,I90,2007-01-01,73.03
SME,EU_V,I90,2008-01-01,72.46
SME,EU_V,I90,2009-01-01,71.76
SME,EU_V,I90,2010-01-01,70.89
SME,EU_V,I90,2011-01-01,70.03
SME,EU_V,I90,2012-01-01,69.14
SME,EU_V,I90,2013-01-01,68.19
SME,EU_V,I90,2014-01-01,67.21
SME,EU_V,I90,2015-01-01,66.2
