geotime,date,value
AL,2000-01-01,123.0
AL,2001-01-01,122.0
AL,2002-01-01,188.0
AL,2003-01-01,125.0
AL,2004-01-01,181.0
AL,2005-01-01,172.0
AL,2006-01-01,151.0
AL,2007-01-01,142.0
AL,2008-01-01,151.0
AL,2009-01-01,166.0
AL,2010-01-01,168.0
AL,2011-01-01,172.0
AL,2012-01-01,176.0
AL,2013-01-01,200.0
AL,2014-01-01,192.0
AL,2015-01-01,185.0
AL,2016-01-01,177.0
AT,2000-01-01,791.0
AT,2001-01-01,831.0
AT,2002-01-01,795.0
AT,2003-01-01,807.0
AT,2004-01-01,786.0
AT,2005-01-01,729.0
AT,2006-01-01,701.0
AT,2007-01-01,671.0
AT,2008-01-01,681.0
AT,2009-01-01,688.0
AT,2010-01-01,747.0
AT,2011-01-01,694.0
AT,2012-01-01,735.0
AT,2013-01-01,782.0
AT,2014-01-01,684.0
AT,2015-01-01,712.0
AT,2016-01-01,724.0
BA,2000-01-01,0.0
BA,2001-01-01,0.0
BA,2002-01-01,0.0
BA,2003-01-01,0.0
BA,2004-01-01,0.0
BA,2005-01-01,0.0
BA,2006-01-01,0.0
BA,2007-01-01,0.0
BA,2008-01-01,0.0
BA,2009-01-01,0.0
BA,2010-01-01,0.0
BA,2011-01-01,0.0
BA,2012-01-01,0.0
BA,2013-01-01,0.0
BA,2014-01-01,
BA,2015-01-01,
BA,2016-01-01,324.0
BE,2000-01-01,924.0
BE,2001-01-01,960.0
BE,2002-01-01,902.0
BE,2003-01-01,949.0
BE,2004-01-01,962.0
BE,2005-01-01,947.0
BE,2006-01-01,846.0
BE,2007-01-01,778.0
BE,2008-01-01,837.0
BE,2009-01-01,786.0
BE,2010-01-01,864.0
BE,2011-01-01,719.0
BE,2012-01-01,747.0
BE,2013-01-01,806.0
BE,2014-01-01,660.0
BE,2015-01-01,724.0
BE,2016-01-01,718.0
BG,2000-01-01,264.0
BG,2001-01-01,250.0
BG,2002-01-01,276.0
BG,2003-01-01,293.0
BG,2004-01-01,274.0
BG,2005-01-01,276.0
BG,2006-01-01,285.0
BG,2007-01-01,274.0
BG,2008-01-01,283.0
BG,2009-01-01,284.0
BG,2010-01-01,304.0
BG,2011-01-01,324.0
BG,2012-01-01,323.0
BG,2013-01-01,309.0
BG,2014-01-01,300.0
BG,2015-01-01,306.0
BG,2016-01-01,316.0
CY,2000-01-01,253.0
CY,2001-01-01,249.0
CY,2002-01-01,272.0
CY,2003-01-01,291.0
CY,2004-01-01,277.0
CY,2005-01-01,429.0
CY,2006-01-01,437.0
CY,2007-01-01,443.0
CY,2008-01-01,423.0
CY,2009-01-01,436.0
CY,2010-01-01,401.0
CY,2011-01-01,413.0
CY,2012-01-01,400.0
CY,2013-01-01,349.0
CY,2014-01-01,340.0
CY,2015-01-01,374.0
CY,2016-01-01,383.0
CZ,2000-01-01,626.0
CZ,2001-01-01,685.0
CZ,2002-01-01,658.0
CZ,2003-01-01,678.0
CZ,2004-01-01,668.0
CZ,2005-01-01,651.0
CZ,2006-01-01,661.0
CZ,2007-01-01,620.0
CZ,2008-01-01,624.0
CZ,2009-01-01,633.0
CZ,2010-01-01,706.0
CZ,2011-01-01,650.0
CZ,2012-01-01,672.0
CZ,2013-01-01,685.0
CZ,2014-01-01,616.0
CZ,2015-01-01,634.0
CZ,2016-01-01,662.0
DE,2000-01-01,794.0
DE,2001-01-01,847.0
DE,2002-01-01,814.0
DE,2003-01-01,805.0
DE,2004-01-01,782.0
DE,2005-01-01,770.0
DE,2006-01-01,776.0
DE,2007-01-01,662.0
DE,2008-01-01,738.0
DE,2009-01-01,715.0
DE,2010-01-01,764.0
DE,2011-01-01,680.0
DE,2012-01-01,704.0
DE,2013-01-01,740.0
DE,2014-01-01,636.0
DE,2015-01-01,651.0
DE,2016-01-01,681.0
DK,2000-01-01,779.0
DK,2001-01-01,823.0
DK,2002-01-01,801.0
DK,2003-01-01,819.0
DK,2004-01-01,814.0
DK,2005-01-01,821.0
DK,2006-01-01,817.0
DK,2007-01-01,814.0
DK,2008-01-01,805.0
DK,2009-01-01,801.0
DK,2010-01-01,886.0
DK,2011-01-01,790.0
DK,2012-01-01,776.0
DK,2013-01-01,779.0
DK,2014-01-01,714.0
DK,2015-01-01,756.0
DK,2016-01-01,779.0
EA19,2000-01-01,606.0
EA19,2001-01-01,638.0
EA19,2002-01-01,620.0
EA19,2003-01-01,637.0
EA19,2004-01-01,633.0
EA19,2005-01-01,631.0
EA19,2006-01-01,620.0
EA19,2007-01-01,575.0
EA19,2008-01-01,610.0
EA19,2009-01-01,603.0
EA19,2010-01-01,633.0
EA19,2011-01-01,562.0
EA19,2012-01-01,588.0
EA19,2013-01-01,599.0
EA19,2014-01-01,520.0
EA19,2015-01-01,544.0
EA19,2016-01-01,558.0
EE,2000-01-01,665.0
EE,2001-01-01,684.0
EE,2002-01-01,665.0
EE,2003-01-01,675.0
EE,2004-01-01,678.0
EE,2005-01-01,657.0
EE,2006-01-01,655.0
EE,2007-01-01,718.0
EE,2008-01-01,713.0
EE,2009-01-01,727.0
EE,2010-01-01,772.0
EE,2011-01-01,705.0
EE,2012-01-01,735.0
EE,2013-01-01,709.0
EE,2014-01-01,677.0
EE,2015-01-01,652.0
EE,2016-01-01,707.0
EL,2000-01-01,417.0
EL,2001-01-01,434.0
EL,2002-01-01,451.0
EL,2003-01-01,504.0
EL,2004-01-01,494.0
EL,2005-01-01,501.0
EL,2006-01-01,499.0
EL,2007-01-01,488.0
EL,2008-01-01,471.0
EL,2009-01-01,435.0
EL,2010-01-01,415.0
EL,2011-01-01,493.0
EL,2012-01-01,456.0
EL,2013-01-01,343.0
EL,2014-01-01,348.0
EL,2015-01-01,407.0
EL,2016-01-01,398.0
ES,2000-01-01,296.0
ES,2001-01-01,309.0
ES,2002-01-01,313.0
ES,2003-01-01,329.0
ES,2004-01-01,342.0
ES,2005-01-01,347.0
ES,2006-01-01,351.0
ES,2007-01-01,345.0
ES,2008-01-01,337.0
ES,2009-01-01,343.0
ES,2010-01-01,363.0
ES,2011-01-01,334.0
ES,2012-01-01,332.0
ES,2013-01-01,319.0
ES,2014-01-01,316.0
ES,2015-01-01,320.0
ES,2016-01-01,324.0
EU28,2000-01-01,596.0
EU28,2001-01-01,625.0
EU28,2002-01-01,611.0
EU28,2003-01-01,629.0
EU28,2004-01-01,626.0
EU28,2005-01-01,624.0
EU28,2006-01-01,615.0
EU28,2007-01-01,576.0
EU28,2008-01-01,603.0
EU28,2009-01-01,597.0
EU28,2010-01-01,635.0
EU28,2011-01-01,565.0
EU28,2012-01-01,589.0
EU28,2013-01-01,595.0
EU28,2014-01-01,522.0
EU28,2015-01-01,543.0
EU28,2016-01-01,558.0
FI,2000-01-01,867.0
FI,2001-01-01,941.0
FI,2002-01-01,955.0
FI,2003-01-01,981.0
FI,2004-01-01,963.0
FI,2005-01-01,957.0
FI,2006-01-01,973.0
FI,2007-01-01,969.0
FI,2008-01-01,949.0
FI,2009-01-01,993.0
FI,2010-01-01,1084.0
FI,2011-01-01,943.0
FI,2012-01-01,1003.0
FI,2013-01-01,940.0
FI,2014-01-01,928.0
FI,2015-01-01,894.0
FI,2016-01-01,963.0
FR,2000-01-01,667.0
FR,2001-01-01,693.0
FR,2002-01-01,661.0
FR,2003-01-01,683.0
FR,2004-01-01,704.0
FR,2005-01-01,681.0
FR,2006-01-01,665.0
FR,2007-01-01,626.0
FR,2008-01-01,677.0
FR,2009-01-01,669.0
FR,2010-01-01,684.0
FR,2011-01-01,578.0
FR,2012-01-01,632.0
FR,2013-01-01,664.0
FR,2014-01-01,546.0
FR,2015-01-01,572.0
FR,2016-01-01,596.0
HR,2000-01-01,514.0
HR,2001-01-01,574.0
HR,2002-01-01,577.0
HR,2003-01-01,628.0
HR,2004-01-01,627.0
HR,2005-01-01,653.0
HR,2006-01-01,615.0
HR,2007-01-01,585.0
HR,2008-01-01,599.0
HR,2009-01-01,611.0
HR,2010-01-01,641.0
HR,2011-01-01,614.0
HR,2012-01-01,597.0
HR,2013-01-01,582.0
HR,2014-01-01,523.0
HR,2015-01-01,574.0
HR,2016-01-01,574.0
HU,2000-01-01,549.0
HU,2001-01-01,590.0
HU,2002-01-01,592.0
HU,2003-01-01,652.0
