sex,age,unit,isced11,geotime,date,value
T,Y20-29,PC,TOTAL,TR,2015-01-01,52
T,Y20-29,PC,TOTAL,TR,2016-01-01,52
T,Y20-29,PC,TOTAL,TR,2017-01-01,53
T,Y20-29,PC,TOTAL,UK,2005-01-01,74
T,Y20-29,PC,TOTAL,UK,2006-01-01,74
T,Y20-29,PC,TOTAL,UK,2007-01-01,74
T,Y20-29,PC,TOTAL,UK,2008-01-01,74
T,Y20-29,PC,TOTAL,UK,2009-01-01,70
T,Y20-29,PC,TOTAL,UK,2010-01-01,70
T,Y20-29,PC,TOTAL,UK,2011-01-01,69
T,Y20-29,PC,TOTAL,UK,2012-01-01,
T,Y20-29,PC,TOTAL,UK,2013-01-01,
T,Y20-29,PC,TOTAL,UK,2014-01-01,72
T,Y20-29,PC,TOTAL,UK,2015-01-01,74
T,Y20-29,PC,TOTAL,UK,2016-01-01,75
T,Y20-29,PC,TOTAL,UK,2017-01-01,76
