sex,age,unit,isced11,geotime,date,value
T,Y20-29,PC,TOTAL,DK,2009-01-01,74
T,Y20-29,PC,TOTAL,DK,2010-01-01,70
T,Y20-29,PC,TOTAL,DK,2011-01-01,69
T,Y20-29,PC,TOTAL,DK,2012-01-01,
T,Y20-29,PC,TOTAL,DK,2013-01-01,
T,Y20-29,PC,TOTAL,DK,2014-01-01,67
T,Y20-29,PC,TOTAL,DK,2015-01-01,69
T,Y20-29,PC,TOTAL,DK,2016-01-01,69
T,Y20-29,PC,TOTAL,DK,2017-01-01,68
T,Y20-29,PC,TOTAL,EA18,2005-01-01,63
T,Y20-29,PC,TOTAL,EA18,2006-01-01,65
T,Y20-29,PC,TOTAL,EA18,2007-01-01,65
T,Y20-29,PC,TOTAL,EA18,2008-01-01,65
T,Y20-29,PC,TOTAL,EA18,2009-01-01,62
T,Y20-29,PC,TOTAL,EA18,2010-01-01,61
T,Y20-29,PC,TOTAL,EA18,2011-01-01,60
T,Y20-29,PC,TOTAL,EA18,2012-01-01,
T,Y20-29,PC,TOTAL,EA18,2013-01-01,
T,Y20-29,PC,TOTAL,EA18,2014-01-01,57
T,Y20-29,PC,TOTAL,EA18,2015-01-01,58
T,Y20-29,PC,TOTAL,EA18,2016-01-01,59
T,Y20-29,PC,TOTAL,EA18,2017-01-01,60
T,Y20-29,PC,TOTAL,EA19,2005-01-01,63
T,Y20-29,PC,TOTAL,EA19,2006-01-01,64
T,Y20-29,PC,TOTAL,EA19,2007-01-01,65
T,Y20-29,PC,TOTAL,EA19,2008-01-01,65
T,Y20-29,PC,TOTAL,EA19,2009-01-01,62
T,Y20-29,PC,TOTAL,EA19,2010-01-01,61
T,Y20-29,PC,TOTAL,EA19,2011-01-01,60
T,Y20-29,PC,TOTAL,EA19,2012-01-01,
T,Y20-29,PC,TOTAL,EA19,2013-01-01,
T,Y20-29,PC,TOTAL,EA19,2014-01-01,58
T,Y20-29,PC,TOTAL,EA19,2015-01-01,58
T,Y20-29,PC,TOTAL,EA19,2016-01-01,59
T,Y20-29,PC,TOTAL,EA19,2017-01-01,60
T,Y20-29,PC,TOTAL,EE,2005-01-01,65
T,Y20-29,PC,TOTAL,EE,2006-01-01,68
T,Y20-29,PC,TOTAL,EE,2007-01-01,68
T,Y20-29,PC,TOTAL,EE,2008-01-01,69
T,Y20-29,PC,TOTAL,EE,2009-01-01,59
T,Y20-29,PC,TOTAL,EE,2010-01-01,56
T,Y20-29,PC,TOTAL,EE,2011-01-01,61
T,Y20-29,PC,TOTAL,EE,2012-01-01,
T,Y20-29,PC,TOTAL,EE,2013-01-01,
T,Y20-29,PC,TOTAL,EE,2014-01-01,65
T,Y20-29,PC,TOTAL,EE,2015-01-01,69
T,Y20-29,PC,TOTAL,EE,2016-01-01,68
T,Y20-29,PC,TOTAL,EE,2017-01-01,74
T,Y20-29,PC,TOTAL,EL,2005-01-01,56
T,Y20-29,PC,TOTAL,EL,2006-01-01,57
T,Y20-29,PC,TOTAL,EL,2007-01-01,57
T,Y20-29,PC,TOTAL,EL,2008-01-01,58
T,Y20-29,PC,TOTAL,EL,2009-01-01,57
T,Y20-29,PC,TOTAL,EL,2010-01-01,53
T,Y20-29,PC,TOTAL,EL,2011-01-01,46
T,Y20-29,PC,TOTAL,EL,2012-01-01,
T,Y20-29,PC,TOTAL,EL,2013-01-01,
T,Y20-29,PC,TOTAL,EL,2014-01-01,38
T,Y20-29,PC,TOTAL,EL,2015-01-01,40
T,Y20-29,PC,TOTAL,EL,2016-01-01,41
T,Y20-29,PC,TOTAL,EL,2017-01-01,42
