currency,bop_item,sector10,sectpart,s_adj,stk_flow,partner,geo\time,date,value
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2015-07-01,45.6 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2015-10-01,32.8 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2016-01-01,6.6 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2016-04-01,7.2 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2016-07-01,3.1 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2016-10-01,49.3 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2017-01-01,23.7 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2017-04-01,25.2 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2017-07-01,30.4 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2017-10-01,42.9 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2018-01-01,18.3 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AL,2018-04-01,21.1 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2015-07-01,-1567.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2015-10-01,-379.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2016-01-01,-81.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2016-04-01,-674.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2016-07-01,668.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2016-10-01,-285.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2017-01-01,-40.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2017-04-01,-60.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2017-07-01,-63.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2017-10-01,-90.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2018-01-01,-139.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,AT,2018-04-01,-55.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2015-07-01,64.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2015-10-01,35.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2016-01-01,18.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2016-04-01,9.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2016-07-01,-30.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2016-10-01,413.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2017-01-01,-30.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2017-04-01,86.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2017-07-01,308.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2017-10-01,14.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2018-01-01,-35.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BE,2018-04-01,2.0 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BG,2015-07-01,301.5 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BG,2015-10-01,391.4 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BG,2016-01-01,561.6 
MIO_EUR,KA,S1,S1,NSA,BAL,WRL_REST,BG,2016-04-01,250.5 
