n_item,unit,age,sex,geotime,date,value
GE3,PC,TOTAL,F,AT,2006-01-01,10.4
GE3,PC,TOTAL,F,AT,2007-01-01,10.7
GE3,PC,TOTAL,F,AT,2008-01-01,13.9
GE3,PC,TOTAL,F,AT,2009-01-01,11.2
GE3,PC,TOTAL,F,AT,2010-01-01,11.3
GE3,PC,TOTAL,F,AT,2011-01-01,10.6
GE3,PC,TOTAL,F,AT,2012-01-01,10.2
GE3,PC,TOTAL,F,AT,2013-01-01,10.4
GE3,PC,TOTAL,F,AT,2014-01-01,10.2
GE3,PC,TOTAL,F,AT,2015-01-01,8.3
GE3,PC,TOTAL,F,AT,2016-01-01,8.9
GE3,PC,TOTAL,F,AT,2017-01-01,8.2
GE3,PC,TOTAL,F,BE,2006-01-01,13.9
GE3,PC,TOTAL,F,BE,2007-01-01,12.9
GE3,PC,TOTAL,F,BE,2008-01-01,12.3
GE3,PC,TOTAL,F,BE,2009-01-01,12.3
GE3,PC,TOTAL,F,BE,2010-01-01,12.6
GE3,PC,TOTAL,F,BE,2011-01-01,13.1
GE3,PC,TOTAL,F,BE,2012-01-01,12.7
GE3,PC,TOTAL,F,BE,2013-01-01,11.6
GE3,PC,TOTAL,F,BE,2014-01-01,11.7
GE3,PC,TOTAL,F,BE,2015-01-01,12.1
GE3,PC,TOTAL,F,BE,2016-01-01,13.2
GE3,PC,TOTAL,F,BE,2017-01-01,11.6
GE3,PC,TOTAL,F,BG,2006-01-01,71.8
GE3,PC,TOTAL,F,BG,2007-01-01,72.8
GE3,PC,TOTAL,F,BG,2008-01-01,56.3
GE3,PC,TOTAL,F,BG,2009-01-01,57.1
GE3,PC,TOTAL,F,BG,2010-01-01,60.7
GE3,PC,TOTAL,F,BG,2011-01-01,61.1
GE3,PC,TOTAL,F,BG,2012-01-01,62.9
GE3,PC,TOTAL,F,BG,2013-01-01,59.2
GE3,PC,TOTAL,F,BG,2014-01-01,48.3
GE3,PC,TOTAL,F,BG,2015-01-01,50.9
GE3,PC,TOTAL,F,BG,2016-01-01,48.9
GE3,PC,TOTAL,F,BG,2017-01-01,45.5
GE3,PC,TOTAL,F,CH,2006-01-01,
GE3,PC,TOTAL,F,CH,2007-01-01,7.0
GE3,PC,TOTAL,F,CH,2008-01-01,5.7
GE3,PC,TOTAL,F,CH,2009-01-01,6.4
GE3,PC,TOTAL,F,CH,2010-01-01,5.6
GE3,PC,TOTAL,F,CH,2011-01-01,3.3
GE3,PC,TOTAL,F,CH,2012-01-01,3.9
GE3,PC,TOTAL,F,CH,2013-01-01,3.8
GE3,PC,TOTAL,F,CH,2014-01-01,4.6
