cpatc,unit,geotime,date,value
Y02W_X_1030_3030_9010,NR,AT,2000-01-01,
Y02W_X_1030_3030_9010,NR,AT,2001-01-01,
Y02W_X_1030_3030_9010,NR,AT,2002-01-01,
Y02W_X_1030_3030_9010,NR,AT,2003-01-01,
Y02W_X_1030_3030_9010,NR,AT,2004-01-01,
Y02W_X_1030_3030_9010,NR,AT,2005-01-01,
Y02W_X_1030_3030_9010,NR,AT,2006-01-01,
Y02W_X_1030_3030_9010,NR,AT,2007-01-01,
Y02W_X_1030_3030_9010,NR,AT,2008-01-01,
Y02W_X_1030_3030_9010,NR,AT,2009-01-01,
Y02W_X_1030_3030_9010,NR,AT,2010-01-01,
Y02W_X_1030_3030_9010,NR,AT,2011-01-01,
Y02W_X_1030_3030_9010,NR,AT,2012-01-01,
Y02W_X_1030_3030_9010,NR,AT,2013-01-01,
Y02W_X_1030_3030_9010,NR,AU,2000-01-01,
Y02W_X_1030_3030_9010,NR,AU,2001-01-01,
Y02W_X_1030_3030_9010,NR,AU,2002-01-01,
Y02W_X_1030_3030_9010,NR,AU,2003-01-01,
Y02W_X_1030_3030_9010,NR,AU,2004-01-01,
Y02W_X_1030_3030_9010,NR,AU,2005-01-01,
Y02W_X_1030_3030_9010,NR,AU,2006-01-01,
Y02W_X_1030_3030_9010,NR,AU,2007-01-01,
Y02W_X_1030_3030_9010,NR,AU,2008-01-01,
Y02W_X_1030_3030_9010,NR,AU,2009-01-01,
Y02W_X_1030_3030_9010,NR,AU,2010-01-01,
Y02W_X_1030_3030_9010,NR,AU,2011-01-01,
Y02W_X_1030_3030_9010,NR,AU,2012-01-01,
Y02W_X_1030_3030_9010,NR,AU,2013-01-01,
Y02W_X_1030_3030_9010,NR,BE,2000-01-01,
Y02W_X_1030_3030_9010,NR,BE,2001-01-01,
Y02W_X_1030_3030_9010,NR,BE,2002-01-01,
Y02W_X_1030_3030_9010,NR,BE,2003-01-01,
Y02W_X_1030_3030_9010,NR,BE,2004-01-01,
Y02W_X_1030_3030_9010,NR,BE,2005-01-01,
Y02W_X_1030_3030_9010,NR,BE,2006-01-01,
Y02W_X_1030_3030_9010,NR,BE,2007-01-01,
Y02W_X_1030_3030_9010,NR,BE,2008-01-01,
Y02W_X_1030_3030_9010,NR,BE,2009-01-01,
Y02W_X_1030_3030_9010,NR,BE,2010-01-01,
Y02W_X_1030_3030_9010,NR,BE,2011-01-01,
Y02W_X_1030_3030_9010,NR,BE,2012-01-01,
Y02W_X_1030_3030_9010,NR,BE,2013-01-01,
Y02W_X_1030_3030_9010,NR,BG,2000-01-01,
Y02W_X_1030_3030_9010,NR,BG,2001-01-01,
Y02W_X_1030_3030_9010,NR,BG,2002-01-01,
Y02W_X_1030_3030_9010,NR,BG,2003-01-01,
Y02W_X_1030_3030_9010,NR,BG,2004-01-01,
Y02W_X_1030_3030_9010,NR,BG,2005-01-01,
Y02W_X_1030_3030_9010,NR,BG,2006-01-01,
Y02W_X_1030_3030_9010,NR,BG,2007-01-01,
Y02W_X_1030_3030_9010,NR,BG,2008-01-01,
Y02W_X_1030_3030_9010,NR,BG,2009-01-01,
Y02W_X_1030_3030_9010,NR,BG,2010-01-01,
Y02W_X_1030_3030_9010,NR,BG,2011-01-01,
Y02W_X_1030_3030_9010,NR,BG,2012-01-01,
Y02W_X_1030_3030_9010,NR,BG,2013-01-01,
Y02W_X_1030_3030_9010,NR,CA,2000-01-01,
Y02W_X_1030_3030_9010,NR,CA,2001-01-01,
Y02W_X_1030_3030_9010,NR,CA,2002-01-01,
Y02W_X_1030_3030_9010,NR,CA,2003-01-01,
Y02W_X_1030_3030_9010,NR,CA,2004-01-01,
Y02W_X_1030_3030_9010,NR,CA,2005-01-01,
Y02W_X_1030_3030_9010,NR,CA,2006-01-01,
Y02W_X_1030_3030_9010,NR,CA,2007-01-01,
Y02W_X_1030_3030_9010,NR,CA,2008-01-01,
Y02W_X_1030_3030_9010,NR,CA,2009-01-01,
Y02W_X_1030_3030_9010,NR,CA,2010-01-01,
Y02W_X_1030_3030_9010,NR,CA,2011-01-01,
Y02W_X_1030_3030_9010,NR,CA,2012-01-01,
Y02W_X_1030_3030_9010,NR,CA,2013-01-01,
Y02W_X_1030_3030_9010,NR,CN,2000-01-01,
Y02W_X_1030_3030_9010,NR,CN,2001-01-01,
Y02W_X_1030_3030_9010,NR,CN,2002-01-01,
Y02W_X_1030_3030_9010,NR,CN,2003-01-01,
Y02W_X_1030_3030_9010,NR,CN,2004-01-01,
Y02W_X_1030_3030_9010,NR,CN,2005-01-01,
Y02W_X_1030_3030_9010,NR,CN,2006-01-01,
Y02W_X_1030_3030_9010,NR,CN,2007-01-01,
Y02W_X_1030_3030_9010,NR,CN,2008-01-01,
Y02W_X_1030_3030_9010,NR,CN,2009-01-01,
Y02W_X_1030_3030_9010,NR,CN,2010-01-01,
Y02W_X_1030_3030_9010,NR,CN,2011-01-01,
Y02W_X_1030_3030_9010,NR,CN,2012-01-01,
Y02W_X_1030_3030_9010,NR,CN,2013-01-01,
Y02W_X_1030_3030_9010,NR,CY,2000-01-01,
Y02W_X_1030_3030_9010,NR,CY,2001-01-01,
Y02W_X_1030_3030_9010,NR,CY,2002-01-01,
Y02W_X_1030_3030_9010,NR,CY,2003-01-01,
Y02W_X_1030_3030_9010,NR,CY,2004-01-01,
Y02W_X_1030_3030_9010,NR,CY,2005-01-01,
Y02W_X_1030_3030_9010,NR,CY,2006-01-01,
Y02W_X_1030_3030_9010,NR,CY,2007-01-01,
Y02W_X_1030_3030_9010,NR,CY,2008-01-01,
Y02W_X_1030_3030_9010,NR,CY,2009-01-01,
Y02W_X_1030_3030_9010,NR,CY,2010-01-01,
Y02W_X_1030_3030_9010,NR,CY,2011-01-01,
Y02W_X_1030_3030_9010,NR,CY,2012-01-01,
Y02W_X_1030_3030_9010,NR,CY,2013-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2000-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2001-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2002-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2003-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2004-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2005-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2006-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2007-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2008-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2009-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2010-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2011-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2012-01-01,
Y02W_X_1030_3030_9010,NR,CZ,2013-01-01,
Y02W_X_1030_3030_9010,NR,DE,2000-01-01,
Y02W_X_1030_3030_9010,NR,DE,2001-01-01,
Y02W_X_1030_3030_9010,NR,DE,2002-01-01,
Y02W_X_1030_3030_9010,NR,DE,2003-01-01,
Y02W_X_1030_3030_9010,NR,DE,2004-01-01,
Y02W_X_1030_3030_9010,NR,DE,2005-01-01,
Y02W_X_1030_3030_9010,NR,DE,2006-01-01,
Y02W_X_1030_3030_9010,NR,DE,2007-01-01,
Y02W_X_1030_3030_9010,NR,DE,2008-01-01,
Y02W_X_1030_3030_9010,NR,DE,2009-01-01,
Y02W_X_1030_3030_9010,NR,DE,2010-01-01,
Y02W_X_1030_3030_9010,NR,DE,2011-01-01,
Y02W_X_1030_3030_9010,NR,DE,2012-01-01,
Y02W_X_1030_3030_9010,NR,DE,2013-01-01,
Y02W_X_1030_3030_9010,NR,DK,2000-01-01,
Y02W_X_1030_3030_9010,NR,DK,2001-01-01,
Y02W_X_1030_3030_9010,NR,DK,2002-01-01,
Y02W_X_1030_3030_9010,NR,DK,2003-01-01,
Y02W_X_1030_3030_9010,NR,DK,2004-01-01,
Y02W_X_1030_3030_9010,NR,DK,2005-01-01,
Y02W_X_1030_3030_9010,NR,DK,2006-01-01,
Y02W_X_1030_3030_9010,NR,DK,2007-01-01,
Y02W_X_1030_3030_9010,NR,DK,2008-01-01,
Y02W_X_1030_3030_9010,NR,DK,2009-01-01,
Y02W_X_1030_3030_9010,NR,DK,2010-01-01,
Y02W_X_1030_3030_9010,NR,DK,2011-01-01,
Y02W_X_1030_3030_9010,NR,DK,2012-01-01,
Y02W_X_1030_3030_9010,NR,DK,2013-01-01,
Y02W_X_1030_3030_9010,NR,EE,2000-01-01,
Y02W_X_1030_3030_9010,NR,EE,2001-01-01,
Y02W_X_1030_3030_9010,NR,EE,2002-01-01,
Y02W_X_1030_3030_9010,NR,EE,2003-01-01,
Y02W_X_1030_3030_9010,NR,EE,2004-01-01,
Y02W_X_1030_3030_9010,NR,EE,2005-01-01,
Y02W_X_1030_3030_9010,NR,EE,2006-01-01,
Y02W_X_1030_3030_9010,NR,EE,2007-01-01,
Y02W_X_1030_3030_9010,NR,EE,2008-01-01,
Y02W_X_1030_3030_9010,NR,EE,2009-01-01,
Y02W_X_1030_3030_9010,NR,EE,2010-01-01,
Y02W_X_1030_3030_9010,NR,EE,2011-01-01,
Y02W_X_1030_3030_9010,NR,EE,2012-01-01,
Y02W_X_1030_3030_9010,NR,EE,2013-01-01,
Y02W_X_1030_3030_9010,NR,EL,2000-01-01,
Y02W_X_1030_3030_9010,NR,EL,2001-01-01,
Y02W_X_1030_3030_9010,NR,EL,2002-01-01,
Y02W_X_1030_3030_9010,NR,EL,2003-01-01,
Y02W_X_1030_3030_9010,NR,EL,2004-01-01,
Y02W_X_1030_3030_9010,NR,EL,2005-01-01,
Y02W_X_1030_3030_9010,NR,EL,2006-01-01,
Y02W_X_1030_3030_9010,NR,EL,2007-01-01,
Y02W_X_1030_3030_9010,NR,EL,2008-01-01,
Y02W_X_1030_3030_9010,NR,EL,2009-01-01,
Y02W_X_1030_3030_9010,NR,EL,2010-01-01,
Y02W_X_1030_3030_9010,NR,EL,2011-01-01,
Y02W_X_1030_3030_9010,NR,EL,2012-01-01,
Y02W_X_1030_3030_9010,NR,EL,2013-01-01,
Y02W_X_1030_3030_9010,NR,ES,2000-01-01,
Y02W_X_1030_3030_9010,NR,ES,2001-01-01,
Y02W_X_1030_3030_9010,NR,ES,2002-01-01,
Y02W_X_1030_3030_9010,NR,ES,2003-01-01,
Y02W_X_1030_3030_9010,NR,ES,2004-01-01,
Y02W_X_1030_3030_9010,NR,ES,2005-01-01,
Y02W_X_1030_3030_9010,NR,ES,2006-01-01,
Y02W_X_1030_3030_9010,NR,ES,2007-01-01,
Y02W_X_1030_3030_9010,NR,ES,2008-01-01,
Y02W_X_1030_3030_9010,NR,ES,2009-01-01,
Y02W_X_1030_3030_9010,NR,ES,2010-01-01,
Y02W_X_1030_3030_9010,NR,ES,2011-01-01,
Y02W_X_1030_3030_9010,NR,ES,2012-01-01,
Y02W_X_1030_3030_9010,NR,ES,2013-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2000-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2001-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2002-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2003-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2004-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2005-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2006-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2007-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2008-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2009-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2010-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2011-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2012-01-01,
Y02W_X_1030_3030_9010,NR,EU28,2013-01-01,
Y02W_X_1030_3030_9010,NR,FI,2000-01-01,
Y02W_X_1030_3030_9010,NR,FI,2001-01-01,
Y02W_X_1030_3030_9010,NR,FI,2002-01-01,
Y02W_X_1030_3030_9010,NR,FI,2003-01-01,
Y02W_X_1030_3030_9010,NR,FI,2004-01-01,
Y02W_X_1030_3030_9010,NR,FI,2005-01-01,
Y02W_X_1030_3030_9010,NR,FI,2006-01-01,
Y02W_X_1030_3030_9010,NR,FI,2007-01-01,
Y02W_X_1030_3030_9010,NR,FI,2008-01-01,
Y02W_X_1030_3030_9010,NR,FI,2009-01-01,
Y02W_X_1030_3030_9010,NR,FI,2010-01-01,
Y02W_X_1030_3030_9010,NR,FI,2011-01-01,
Y02W_X_1030_3030_9010,NR,FI,2012-01-01,
Y02W_X_1030_3030_9010,NR,FI,2013-01-01,
Y02W_X_1030_3030_9010,NR,FR,2000-01-01,
Y02W_X_1030_3030_9010,NR,FR,2001-01-01,
Y02W_X_1030_3030_9010,NR,FR,2002-01-01,
Y02W_X_1030_3030_9010,NR,FR,2003-01-01,
Y02W_X_1030_3030_9010,NR,FR,2004-01-01,
Y02W_X_1030_3030_9010,NR,FR,2005-01-01,
Y02W_X_1030_3030_9010,NR,FR,2006-01-01,
Y02W_X_1030_3030_9010,NR,FR,2007-01-01,
Y02W_X_1030_3030_9010,NR,FR,2008-01-01,
Y02W_X_1030_3030_9010,NR,FR,2009-01-01,
Y02W_X_1030_3030_9010,NR,FR,2010-01-01,
Y02W_X_1030_3030_9010,NR,FR,2011-01-01,
Y02W_X_1030_3030_9010,NR,FR,2012-01-01,
Y02W_X_1030_3030_9010,NR,FR,2013-01-01,
Y02W_X_1030_3030_9010,NR,HR,2000-01-01,
Y02W_X_1030_3030_9010,NR,HR,2001-01-01,
Y02W_X_1030_3030_9010,NR,HR,2002-01-01,
Y02W_X_1030_3030_9010,NR,HR,2003-01-01,
Y02W_X_1030_3030_9010,NR,HR,2004-01-01,
Y02W_X_1030_3030_9010,NR,HR,2005-01-01,
Y02W_X_1030_3030_9010,NR,HR,2006-01-01,
Y02W_X_1030_3030_9010,NR,HR,2007-01-01,
Y02W_X_1030_3030_9010,NR,HR,2008-01-01,
Y02W_X_1030_3030_9010,NR,HR,2009-01-01,
Y02W_X_1030_3030_9010,NR,HR,2010-01-01,
Y02W_X_1030_3030_9010,NR,HR,2011-01-01,
Y02W_X_1030_3030_9010,NR,HR,2012-01-01,
Y02W_X_1030_3030_9010,NR,HR,2013-01-01,
Y02W_X_1030_3030_9010,NR,HU,2000-01-01,
Y02W_X_1030_3030_9010,NR,HU,2001-01-01,
Y02W_X_1030_3030_9010,NR,HU,2002-01-01,
Y02W_X_1030_3030_9010,NR,HU,2003-01-01,
Y02W_X_1030_3030_9010,NR,HU,2004-01-01,
Y02W_X_1030_3030_9010,NR,HU,2005-01-01,
Y02W_X_1030_3030_9010,NR,HU,2006-01-01,
Y02W_X_1030_3030_9010,NR,HU,2007-01-01,
Y02W_X_1030_3030_9010,NR,HU,2008-01-01,
Y02W_X_1030_3030_9010,NR,HU,2009-01-01,
Y02W_X_1030_3030_9010,NR,HU,2010-01-01,
Y02W_X_1030_3030_9010,NR,HU,2011-01-01,
Y02W_X_1030_3030_9010,NR,HU,2012-01-01,
Y02W_X_1030_3030_9010,NR,HU,2013-01-01,
Y02W_X_1030_3030_9010,NR,IE,2000-01-01,
Y02W_X_1030_3030_9010,NR,IE,2001-01-01,
Y02W_X_1030_3030_9010,NR,IE,2002-01-01,
Y02W_X_1030_3030_9010,NR,IE,2003-01-01,
Y02W_X_1030_3030_9010,NR,IE,2004-01-01,
Y02W_X_1030_3030_9010,NR,IE,2005-01-01,
Y02W_X_1030_3030_9010,NR,IE,2006-01-01,
Y02W_X_1030_3030_9010,NR,IE,2007-01-01,
Y02W_X_1030_3030_9010,NR,IE,2008-01-01,
Y02W_X_1030_3030_9010,NR,IE,2009-01-01,
Y02W_X_1030_3030_9010,NR,IE,2010-01-01,
Y02W_X_1030_3030_9010,NR,IE,2011-01-01,
Y02W_X_1030_3030_9010,NR,IE,2012-01-01,
Y02W_X_1030_3030_9010,NR,IE,2013-01-01,
Y02W_X_1030_3030_9010,NR,IT,2000-01-01,
Y02W_X_1030_3030_9010,NR,IT,2001-01-01,
Y02W_X_1030_3030_9010,NR,IT,2002-01-01,
Y02W_X_1030_3030_9010,NR,IT,2003-01-01,
Y02W_X_1030_3030_9010,NR,IT,2004-01-01,
Y02W_X_1030_3030_9010,NR,IT,2005-01-01,
Y02W_X_1030_3030_9010,NR,IT,2006-01-01,
Y02W_X_1030_3030_9010,NR,IT,2007-01-01,
Y02W_X_1030_3030_9010,NR,IT,2008-01-01,
Y02W_X_1030_3030_9010,NR,IT,2009-01-01,
Y02W_X_1030_3030_9010,NR,IT,2010-01-01,
Y02W_X_1030_3030_9010,NR,IT,2011-01-01,
Y02W_X_1030_3030_9010,NR,IT,2012-01-01,
Y02W_X_1030_3030_9010,NR,IT,2013-01-01,
Y02W_X_1030_3030_9010,NR,JP,2000-01-01,
Y02W_X_1030_3030_9010,NR,JP,2001-01-01,
Y02W_X_1030_3030_9010,NR,JP,2002-01-01,
Y02W_X_1030_3030_9010,NR,JP,2003-01-01,
Y02W_X_1030_3030_9010,NR,JP,2004-01-01,
Y02W_X_1030_3030_9010,NR,JP,2005-01-01,
Y02W_X_1030_3030_9010,NR,JP,2006-01-01,
Y02W_X_1030_3030_9010,NR,JP,2007-01-01,
Y02W_X_1030_3030_9010,NR,JP,2008-01-01,
Y02W_X_1030_3030_9010,NR,JP,2009-01-01,
Y02W_X_1030_3030_9010,NR,JP,2010-01-01,
Y02W_X_1030_3030_9010,NR,JP,2011-01-01,
Y02W_X_1030_3030_9010,NR,JP,2012-01-01,
Y02W_X_1030_3030_9010,NR,JP,2013-01-01,
Y02W_X_1030_3030_9010,NR,KR,2000-01-01,
Y02W_X_1030_3030_9010,NR,KR,2001-01-01,
Y02W_X_1030_3030_9010,NR,KR,2002-01-01,
Y02W_X_1030_3030_9010,NR,KR,2003-01-01,
Y02W_X_1030_3030_9010,NR,KR,2004-01-01,
Y02W_X_1030_3030_9010,NR,KR,2005-01-01,
Y02W_X_1030_3030_9010,NR,KR,2006-01-01,
Y02W_X_1030_3030_9010,NR,KR,2007-01-01,
Y02W_X_1030_3030_9010,NR,KR,2008-01-01,
Y02W_X_1030_3030_9010,NR,KR,2009-01-01,
Y02W_X_1030_3030_9010,NR,KR,2010-01-01,
Y02W_X_1030_3030_9010,NR,KR,2011-01-01,
Y02W_X_1030_3030_9010,NR,KR,2012-01-01,
Y02W_X_1030_3030_9010,NR,KR,2013-01-01,
Y02W_X_1030_3030_9010,NR,LT,2000-01-01,
Y02W_X_1030_3030_9010,NR,LT,2001-01-01,
Y02W_X_1030_3030_9010,NR,LT,2002-01-01,
Y02W_X_1030_3030_9010,NR,LT,2003-01-01,
Y02W_X_1030_3030_9010,NR,LT,2004-01-01,
Y02W_X_1030_3030_9010,NR,LT,2005-01-01,
Y02W_X_1030_3030_9010,NR,LT,2006-01-01,
Y02W_X_1030_3030_9010,NR,LT,2007-01-01,
Y02W_X_1030_3030_9010,NR,LT,2008-01-01,
Y02W_X_1030_3030_9010,NR,LT,2009-01-01,
Y02W_X_1030_3030_9010,NR,LT,2010-01-01,
Y02W_X_1030_3030_9010,NR,LT,2011-01-01,
Y02W_X_1030_3030_9010,NR,LT,2012-01-01,
Y02W_X_1030_3030_9010,NR,LT,2013-01-01,
Y02W_X_1030_3030_9010,NR,LU,2000-01-01,
Y02W_X_1030_3030_9010,NR,LU,2001-01-01,
Y02W_X_1030_3030_9010,NR,LU,2002-01-01,
Y02W_X_1030_3030_9010,NR,LU,2003-01-01,
Y02W_X_1030_3030_9010,NR,LU,2004-01-01,
Y02W_X_1030_3030_9010,NR,LU,2005-01-01,
Y02W_X_1030_3030_9010,NR,LU,2006-01-01,
Y02W_X_1030_3030_9010,NR,LU,2007-01-01,
Y02W_X_1030_3030_9010,NR,LU,2008-01-01,
Y02W_X_1030_3030_9010,NR,LU,2009-01-01,
Y02W_X_1030_3030_9010,NR,LU,2010-01-01,
Y02W_X_1030_3030_9010,NR,LU,2011-01-01,
Y02W_X_1030_3030_9010,NR,LU,2012-01-01,
Y02W_X_1030_3030_9010,NR,LU,2013-01-01,
Y02W_X_1030_3030_9010,NR,LV,2000-01-01,
Y02W_X_1030_3030_9010,NR,LV,2001-01-01,
Y02W_X_1030_3030_9010,NR,LV,2002-01-01,
Y02W_X_1030_3030_9010,NR,LV,2003-01-01,
Y02W_X_1030_3030_9010,NR,LV,2004-01-01,
Y02W_X_1030_3030_9010,NR,LV,2005-01-01,
Y02W_X_1030_3030_9010,NR,LV,2006-01-01,
Y02W_X_1030_3030_9010,NR,LV,2007-01-01,
Y02W_X_1030_3030_9010,NR,LV,2008-01-01,
Y02W_X_1030_3030_9010,NR,LV,2009-01-01,
Y02W_X_1030_3030_9010,NR,LV,2010-01-01,
Y02W_X_1030_3030_9010,NR,LV,2011-01-01,
Y02W_X_1030_3030_9010,NR,LV,2012-01-01,
Y02W_X_1030_3030_9010,NR,LV,2013-01-01,
Y02W_X_1030_3030_9010,NR,MT,2000-01-01,
Y02W_X_1030_3030_9010,NR,MT,2001-01-01,
Y02W_X_1030_3030_9010,NR,MT,2002-01-01,
Y02W_X_1030_3030_9010,NR,MT,2003-01-01,
Y02W_X_1030_3030_9010,NR,MT,2004-01-01,
Y02W_X_1030_3030_9010,NR,MT,2005-01-01,
Y02W_X_1030_3030_9010,NR,MT,2006-01-01,
Y02W_X_1030_3030_9010,NR,MT,2007-01-01,
Y02W_X_1030_3030_9010,NR,MT,2008-01-01,
Y02W_X_1030_3030_9010,NR,MT,2009-01-01,
Y02W_X_1030_3030_9010,NR,MT,2010-01-01,
Y02W_X_1030_3030_9010,NR,MT,2011-01-01,
Y02W_X_1030_3030_9010,NR,MT,2012-01-01,
Y02W_X_1030_3030_9010,NR,MT,2013-01-01,
Y02W_X_1030_3030_9010,NR,NL,2000-01-01,
Y02W_X_1030_3030_9010,NR,NL,2001-01-01,
Y02W_X_1030_3030_9010,NR,NL,2002-01-01,
Y02W_X_1030_3030_9010,NR,NL,2003-01-01,
Y02W_X_1030_3030_9010,NR,NL,2004-01-01,
Y02W_X_1030_3030_9010,NR,NL,2005-01-01,
Y02W_X_1030_3030_9010,NR,NL,2006-01-01,
Y02W_X_1030_3030_9010,NR,NL,2007-01-01,
Y02W_X_1030_3030_9010,NR,NL,2008-01-01,
Y02W_X_1030_3030_9010,NR,NL,2009-01-01,
Y02W_X_1030_3030_9010,NR,NL,2010-01-01,
Y02W_X_1030_3030_9010,NR,NL,2011-01-01,
Y02W_X_1030_3030_9010,NR,NL,2012-01-01,
Y02W_X_1030_3030_9010,NR,NL,2013-01-01,
Y02W_X_1030_3030_9010,NR,PL,2000-01-01,
Y02W_X_1030_3030_9010,NR,PL,2001-01-01,
Y02W_X_1030_3030_9010,NR,PL,2002-01-01,
Y02W_X_1030_3030_9010,NR,PL,2003-01-01,
Y02W_X_1030_3030_9010,NR,PL,2004-01-01,
Y02W_X_1030_3030_9010,NR,PL,2005-01-01,
Y02W_X_1030_3030_9010,NR,PL,2006-01-01,
Y02W_X_1030_3030_9010,NR,PL,2007-01-01,
Y02W_X_1030_3030_9010,NR,PL,2008-01-01,
Y02W_X_1030_3030_9010,NR,PL,2009-01-01,
Y02W_X_1030_3030_9010,NR,PL,2010-01-01,
Y02W_X_1030_3030_9010,NR,PL,2011-01-01,
Y02W_X_1030_3030_9010,NR,PL,2012-01-01,
Y02W_X_1030_3030_9010,NR,PL,2013-01-01,
Y02W_X_1030_3030_9010,NR,PT,2000-01-01,
Y02W_X_1030_3030_9010,NR,PT,2001-01-01,
Y02W_X_1030_3030_9010,NR,PT,2002-01-01,
Y02W_X_1030_3030_9010,NR,PT,2003-01-01,
