typtrai,wstatus,sex,age,unit,geo\time,date,value
NO_FED_NFE,NEMP,T,Y15-24,PC,BE,2011-01-01,11.8 b
NO_FED_NFE,NEMP,T,Y15-24,PC,BE,2012-01-01,12.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,BE,2013-01-01,12.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,BE,2014-01-01,12.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,BE,2015-01-01,12.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,BE,2016-01-01,9.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,BE,2017-01-01,9.3 b
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2000-01-01,: 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2001-01-01,30.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2002-01-01,28.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2003-01-01,29.0 b
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2004-01-01,26.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2005-01-01,25.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2006-01-01,22.2 b
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2007-01-01,19.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2008-01-01,17.4 b
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2009-01-01,19.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2010-01-01,21.0 b
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2011-01-01,21.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2012-01-01,21.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2013-01-01,21.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2014-01-01,20.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2015-01-01,19.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2016-01-01,18.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,BG,2017-01-01,15.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2000-01-01,10.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2001-01-01,7.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2002-01-01,8.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2003-01-01,8.9 b
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2004-01-01,9.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2005-01-01,19.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2006-01-01,10.7 b
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2007-01-01,9.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2008-01-01,9.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2009-01-01,9.9 b
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2010-01-01,11.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2011-01-01,14.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2012-01-01,16.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2013-01-01,18.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2014-01-01,17.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2015-01-01,15.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2016-01-01,16.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,CY,2017-01-01,16.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2000-01-01,: 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2001-01-01,: 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2002-01-01,12.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2003-01-01,13.7 b
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2004-01-01,13.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2005-01-01,13.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2006-01-01,9.2 b
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2007-01-01,6.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2008-01-01,6.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2009-01-01,8.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2010-01-01,8.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2011-01-01,8.3 b
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2012-01-01,8.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2013-01-01,9.1 b
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2014-01-01,8.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2015-01-01,7.5 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2016-01-01,7.0 
NO_FED_NFE,NEMP,T,Y15-24,PC,CZ,2017-01-01,6.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2000-01-01,7.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2001-01-01,7.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2002-01-01,8.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2003-01-01,10.0 b
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2004-01-01,10.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2005-01-01,10.9 b
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2006-01-01,9.6 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2007-01-01,8.9 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2008-01-01,8.4 b
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2009-01-01,8.8 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2010-01-01,8.3 b
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2011-01-01,7.5 b
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2012-01-01,7.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2013-01-01,6.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2014-01-01,6.4 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2015-01-01,6.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2016-01-01,6.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,DE,2017-01-01,6.3 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2000-01-01,4.7 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2001-01-01,5.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2002-01-01,5.2 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2003-01-01,5.2 b
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2004-01-01,5.1 
NO_FED_NFE,NEMP,T,Y15-24,PC,DK,2005-01-01,4.3 
