na_item,nace_r2,unit,geotime,date,value
B1G,R-U,MIO_EUR_NSA,AL,2015-07-01,55.2
B1G,R-U,MIO_EUR_NSA,AL,2015-10-01,78.8
B1G,R-U,MIO_EUR_NSA,AL,2016-01-01,61.4
B1G,R-U,MIO_EUR_NSA,AL,2016-04-01,65.8
B1G,R-U,MIO_EUR_NSA,AL,2016-07-01,67.7
B1G,R-U,MIO_EUR_NSA,AL,2016-10-01,89.6
B1G,R-U,MIO_EUR_NSA,AL,2017-01-01,67.1
B1G,R-U,MIO_EUR_NSA,AL,2017-04-01,72.5
B1G,R-U,MIO_EUR_NSA,AL,2017-07-01,76.8
B1G,R-U,MIO_EUR_NSA,AL,2017-10-01,98.5
B1G,R-U,MIO_EUR_NSA,AL,2018-01-01,72.5
B1G,R-U,MIO_EUR_NSA,AL,2018-04-01,85.3
B1G,R-U,MIO_EUR_NSA,AT,2015-07-01,2248.8
B1G,R-U,MIO_EUR_NSA,AT,2015-10-01,2224.0
B1G,R-U,MIO_EUR_NSA,AT,2016-01-01,2183.4
B1G,R-U,MIO_EUR_NSA,AT,2016-04-01,2240.6
B1G,R-U,MIO_EUR_NSA,AT,2016-07-01,2267.0
B1G,R-U,MIO_EUR_NSA,AT,2016-10-01,2230.8
B1G,R-U,MIO_EUR_NSA,AT,2017-01-01,2231.5
B1G,R-U,MIO_EUR_NSA,AT,2017-04-01,2288.9
B1G,R-U,MIO_EUR_NSA,AT,2017-07-01,2299.8
B1G,R-U,MIO_EUR_NSA,AT,2017-10-01,2281.5
B1G,R-U,MIO_EUR_NSA,AT,2018-01-01,2292.6
B1G,R-U,MIO_EUR_NSA,AT,2018-04-01,2343.2
B1G,R-U,MIO_EUR_NSA,BE,2015-07-01,2089.0
B1G,R-U,MIO_EUR_NSA,BE,2015-10-01,2123.0
B1G,R-U,MIO_EUR_NSA,BE,2016-01-01,2032.0
B1G,R-U,MIO_EUR_NSA,BE,2016-04-01,2092.0
B1G,R-U,MIO_EUR_NSA,BE,2016-07-01,2145.0
B1G,R-U,MIO_EUR_NSA,BE,2016-10-01,2142.0
B1G,R-U,MIO_EUR_NSA,BE,2017-01-01,2085.0
B1G,R-U,MIO_EUR_NSA,BE,2017-04-01,2151.0
B1G,R-U,MIO_EUR_NSA,BE,2017-07-01,2211.0
B1G,R-U,MIO_EUR_NSA,BE,2017-10-01,2205.0
B1G,R-U,MIO_EUR_NSA,BE,2018-01-01,2122.0
B1G,R-U,MIO_EUR_NSA,BE,2018-04-01,2195.0
B1G,R-U,MIO_EUR_NSA,BG,2015-07-01,261.4
B1G,R-U,MIO_EUR_NSA,BG,2015-10-01,359.3
B1G,R-U,MIO_EUR_NSA,BG,2016-01-01,138.0
B1G,R-U,MIO_EUR_NSA,BG,2016-04-01,186.3
B1G,R-U,MIO_EUR_NSA,BG,2016-07-01,247.6
B1G,R-U,MIO_EUR_NSA,BG,2016-10-01,373.5
B1G,R-U,MIO_EUR_NSA,BG,2017-01-01,125.1
B1G,R-U,MIO_EUR_NSA,BG,2017-04-01,205.5
B1G,R-U,MIO_EUR_NSA,BG,2017-07-01,276.9
B1G,R-U,MIO_EUR_NSA,BG,2017-10-01,381.6
B1G,R-U,MIO_EUR_NSA,BG,2018-01-01,136.6
B1G,R-U,MIO_EUR_NSA,BG,2018-04-01,196.7
B1G,R-U,MIO_EUR_NSA,CH,2015-07-01,3432.9
B1G,R-U,MIO_EUR_NSA,CH,2015-10-01,3497.2
B1G,R-U,MIO_EUR_NSA,CH,2016-01-01,3734.9
B1G,R-U,MIO_EUR_NSA,CH,2016-04-01,3996.0
B1G,R-U,MIO_EUR_NSA,CH,2016-07-01,4244.1
B1G,R-U,MIO_EUR_NSA,CH,2016-10-01,3976.8
B1G,R-U,MIO_EUR_NSA,CH,2017-01-01,3655.3
B1G,R-U,MIO_EUR_NSA,CH,2017-04-01,3540.4
B1G,R-U,MIO_EUR_NSA,CH,2017-07-01,3415.6
B1G,R-U,MIO_EUR_NSA,CH,2017-10-01,3331.0
B1G,R-U,MIO_EUR_NSA,CH,2018-01-01,3633.4
B1G,R-U,MIO_EUR_NSA,CH,2018-04-01,3916.1
B1G,R-U,MIO_EUR_NSA,CY,2015-07-01,170.0
B1G,R-U,MIO_EUR_NSA,CY,2015-10-01,168.0
B1G,R-U,MIO_EUR_NSA,CY,2016-01-01,168.0
B1G,R-U,MIO_EUR_NSA,CY,2016-04-01,174.1
B1G,R-U,MIO_EUR_NSA,CY,2016-07-01,173.5
B1G,R-U,MIO_EUR_NSA,CY,2016-10-01,174.9
B1G,R-U,MIO_EUR_NSA,CY,2017-01-01,170.6
B1G,R-U,MIO_EUR_NSA,CY,2017-04-01,177.5
B1G,R-U,MIO_EUR_NSA,CY,2017-07-01,178.1
B1G,R-U,MIO_EUR_NSA,CY,2017-10-01,181.5
B1G,R-U,MIO_EUR_NSA,CY,2018-01-01,180.8
B1G,R-U,MIO_EUR_NSA,CY,2018-04-01,191.6
B1G,R-U,MIO_EUR_NSA,CZ,2015-07-01,873.0
B1G,R-U,MIO_EUR_NSA,CZ,2015-10-01,941.3
B1G,R-U,MIO_EUR_NSA,CZ,2016-01-01,819.4
B1G,R-U,MIO_EUR_NSA,CZ,2016-04-01,889.0
B1G,R-U,MIO_EUR_NSA,CZ,2016-07-01,921.9
B1G,R-U,MIO_EUR_NSA,CZ,2016-10-01,962.6
B1G,R-U,MIO_EUR_NSA,CZ,2017-01-01,840.9
B1G,R-U,MIO_EUR_NSA,CZ,2017-04-01,944.8
B1G,R-U,MIO_EUR_NSA,CZ,2017-07-01,965.5
B1G,R-U,MIO_EUR_NSA,CZ,2017-10-01,1030.3
B1G,R-U,MIO_EUR_NSA,CZ,2018-01-01,945.6
B1G,R-U,MIO_EUR_NSA,CZ,2018-04-01,1033.4
B1G,R-U,MIO_EUR_NSA,DE,2015-07-01,28766.0
B1G,R-U,MIO_EUR_NSA,DE,2015-10-01,28432.0
B1G,R-U,MIO_EUR_NSA,DE,2016-01-01,27945.0
B1G,R-U,MIO_EUR_NSA,DE,2016-04-01,27647.0
B1G,R-U,MIO_EUR_NSA,DE,2016-07-01,29061.0
B1G,R-U,MIO_EUR_NSA,DE,2016-10-01,28571.0
B1G,R-U,MIO_EUR_NSA,DE,2017-01-01,29007.0
B1G,R-U,MIO_EUR_NSA,DE,2017-04-01,28164.0
B1G,R-U,MIO_EUR_NSA,DE,2017-07-01,30109.0
B1G,R-U,MIO_EUR_NSA,DE,2017-10-01,29329.0
B1G,R-U,MIO_EUR_NSA,DE,2018-01-01,29762.0
B1G,R-U,MIO_EUR_NSA,DE,2018-04-01,29165.0
B1G,R-U,MIO_EUR_NSA,DK,2015-07-01,2036.3
B1G,R-U,MIO_EUR_NSA,DK,2015-10-01,2070.1
B1G,R-U,MIO_EUR_NSA,DK,2016-01-01,1784.6
