unit,geotime,date,value
PC,ES,2004-01-01,79.59
PC,ES,2005-01-01,63.3
PC,ES,2006-01-01,68.6
PC,ES,2007-01-01,49.36
PC,ES,2008-01-01,36.38
PC,ES,2009-01-01,29.01
PC,ES,2010-01-01,2.8
PC,ES,2011-01-01,9.04
PC,ES,2012-01-01,4.25
PC,ES,2013-01-01,1.08
PC,ES,2014-01-01,1.55
PC,ES,2015-01-01,4.69
PC,EU28,2000-01-01,31.61
PC,EU28,2001-01-01,30.09
PC,EU28,2002-01-01,31.76
PC,EU28,2003-01-01,43.13
PC,EU28,2004-01-01,30.35
PC,EU28,2005-01-01,33.18
PC,EU28,2006-01-01,38.02
PC,EU28,2007-01-01,31.75
PC,EU28,2008-01-01,24.72
PC,EU28,2009-01-01,24.86
PC,EU28,2010-01-01,25.18
PC,EU28,2011-01-01,30.0
PC,EU28,2012-01-01,21.61
PC,EU28,2013-01-01,20.0
PC,EU28,2014-01-01,16.06
PC,EU28,2015-01-01,18.72
PC,FI,2000-01-01,0.0
PC,FI,2001-01-01,0.0
PC,FI,2002-01-01,0.0
PC,FI,2003-01-01,0.55
PC,FI,2004-01-01,0.0
PC,FI,2005-01-01,1.22
PC,FI,2006-01-01,1.1
PC,FI,2007-01-01,0.0
PC,FI,2008-01-01,0.0
PC,FI,2009-01-01,0.0
PC,FI,2010-01-01,0.0
PC,FI,2011-01-01,0.0
PC,FI,2012-01-01,0.0
PC,FI,2013-01-01,0.0
PC,FI,2014-01-01,0.0
PC,FI,2015-01-01,0.0
PC,FR,2000-01-01,
PC,FR,2001-01-01,0.05
PC,FR,2002-01-01,1.32
PC,FR,2003-01-01,3.37
PC,FR,2004-01-01,3.23
PC,FR,2005-01-01,1.36
PC,FR,2006-01-01,1.41
PC,FR,2007-01-01,21.05
PC,FR,2008-01-01,5.87
PC,FR,2009-01-01,11.86
PC,FR,2010-01-01,3.85
PC,FR,2011-01-01,19.29
PC,FR,2012-01-01,7.65
PC,FR,2013-01-01,1.76
PC,FR,2014-01-01,0.63
PC,FR,2015-01-01,1.35
PC,HR,2000-01-01,
PC,HR,2001-01-01,
PC,HR,2002-01-01,
PC,HR,2003-01-01,
PC,HR,2004-01-01,
PC,HR,2005-01-01,
PC,HR,2006-01-01,87.56
PC,HR,2007-01-01,
PC,HR,2008-01-01,87.56
PC,HR,2009-01-01,87.56
PC,HR,2010-01-01,38.52
PC,HR,2011-01-01,87.56
PC,HR,2012-01-01,0.0
PC,HR,2013-01-01,86.66
PC,HR,2014-01-01,86.66
PC,HR,2015-01-01,81.47
PC,HU,2000-01-01,100.0
PC,HU,2001-01-01,100.0
PC,HU,2002-01-01,
PC,HU,2003-01-01,99.69
PC,HU,2004-01-01,20.59
PC,HU,2005-01-01,97.76
PC,HU,2006-01-01,97.76
PC,HU,2007-01-01,59.26
PC,HU,2008-01-01,67.13
PC,HU,2009-01-01,31.3
PC,HU,2010-01-01,89.42
PC,HU,2011-01-01,100.0
PC,HU,2012-01-01,54.77
PC,HU,2013-01-01,2.74
PC,HU,2014-01-01,28.72
PC,HU,2015-01-01,27.31
PC,IE,2000-01-01,
PC,IE,2001-01-01,0.0
PC,IE,2002-01-01,1.5
PC,IE,2003-01-01,3.0
PC,IE,2004-01-01,0.0
PC,IE,2005-01-01,0.0
PC,IE,2006-01-01,0.0
PC,IE,2007-01-01,0.0
PC,IE,2008-01-01,0.0
PC,IE,2009-01-01,0.0
PC,IE,2010-01-01,0.0
PC,IE,2011-01-01,0.0
PC,IE,2012-01-01,0.0
PC,IE,2013-01-01,0.0
PC,IE,2014-01-01,0.0
PC,IE,2015-01-01,0.0
PC,IS,2000-01-01,
PC,IS,2001-01-01,
PC,IS,2002-01-01,
PC,IS,2003-01-01,0.0
PC,IS,2004-01-01,99.3
PC,IS,2005-01-01,0.0
PC,IS,2006-01-01,0.0
PC,IS,2007-01-01,0.0
PC,IS,2008-01-01,0.0
PC,IS,2009-01-01,0.0
PC,IS,2010-01-01,0.0
PC,IS,2011-01-01,0.0
PC,IS,2012-01-01,0.0
PC,IS,2013-01-01,0.0
PC,IS,2014-01-01,
PC,IS,2015-01-01,
PC,IT,2000-01-01,100.0
PC,IT,2001-01-01,94.15
PC,IT,2002-01-01,61.14
PC,IT,2003-01-01,55.17
PC,IT,2004-01-01,58.79
PC,IT,2005-01-01,76.09
PC,IT,2006-01-01,64.66
PC,IT,2007-01-01,78.44
PC,IT,2008-01-01,72.06
PC,IT,2009-01-01,59.4
PC,IT,2010-01-01,57.36
PC,IT,2011-01-01,71.35
PC,IT,2012-01-01,56.69
PC,IT,2013-01-01,65.43
PC,IT,2014-01-01,38.8
PC,IT,2015-01-01,60.34
PC,LT,2000-01-01,
PC,LT,2001-01-01,
PC,LT,2002-01-01,
PC,LT,2003-01-01,100.0
PC,LT,2004-01-01,4.42
PC,LT,2005-01-01,4.66
PC,LT,2006-01-01,2.9
PC,LT,2007-01-01,3.03
PC,LT,2008-01-01,0.0
PC,LT,2009-01-01,1.13
PC,LT,2010-01-01,57.11
PC,LT,2011-01-01,0.0
PC,LT,2012-01-01,0.38
PC,LT,2013-01-01,3.7
PC,LT,2014-01-01,3.32
PC,LT,2015-01-01,1.9
PC,LU,2000-01-01,
PC,LU,2001-01-01,
PC,LU,2002-01-01,
PC,LU,2003-01-01,
PC,LU,2004-01-01,
PC,LU,2005-01-01,
PC,LU,2006-01-01,0.0
PC,LU,2007-01-01,0.0
PC,LU,2008-01-01,0.0
PC,LU,2009-01-01,0.0
PC,LU,2010-01-01,0.0
PC,LU,2011-01-01,0.0
PC,LU,2012-01-01,0.0
PC,LU,2013-01-01,0.0
PC,LU,2014-01-01,0.0
PC,LU,2015-01-01,0.0
PC,LV,2000-01-01,
PC,LV,2001-01-01,
PC,LV,2002-01-01,
PC,LV,2003-01-01,
PC,LV,2004-01-01,100.0
PC,LV,2005-01-01,100.0
PC,LV,2006-01-01,
PC,LV,2007-01-01,100.0
PC,LV,2008-01-01,4.22
PC,LV,2009-01-01,4.22
PC,LV,2010-01-01,3.78
PC,LV,2011-01-01,4.22
PC,LV,2012-01-01,3.78
PC,LV,2013-01-01,3.78
PC,LV,2014-01-01,3.78
PC,LV,2015-01-01,3.78
PC,MT,2000-01-01,
PC,MT,2001-01-01,
PC,MT,2002-01-01,
PC,MT,2003-01-01,
PC,MT,2004-01-01,
PC,MT,2005-01-01,100.0
PC,MT,2006-01-01,
PC,MT,2007-01-01,
PC,MT,2008-01-01,
PC,MT,2009-01-01,100.0
PC,MT,2010-01-01,100.0
PC,MT,2011-01-01,
PC,MT,2012-01-01,100.0
PC,MT,2013-01-01,100.0
PC,MT,2014-01-01,100.0
PC,MT,2015-01-01,100.0
PC,NL,2000-01-01,0.55
PC,NL,2001-01-01,1.75
PC,NL,2002-01-01,58.32
PC,NL,2003-01-01,95.68
PC,NL,2004-01-01,39.7
PC,NL,2005-01-01,39.54
PC,NL,2006-01-01,76.14
PC,NL,2007-01-01,50.55
PC,NL,2008-01-01,0.0
PC,NL,2009-01-01,0.0
PC,NL,2010-01-01,0.39
PC,NL,2011-01-01,2.72
PC,NL,2012-01-01,0.0
PC,NL,2013-01-01,0.0
PC,NL,2014-01-01,0.0
PC,NL,2015-01-01,0.0
PC,NO,2000-01-01,
PC,NO,2001-01-01,0.0
PC,NO,2002-01-01,0.0
PC,NO,2003-01-01,7.1
PC,NO,2004-01-01,1.9
PC,NO,2005-01-01,0.88
PC,NO,2006-01-01,0.45
PC,NO,2007-01-01,0.31
PC,NO,2008-01-01,0.0
PC,NO,2009-01-01,0.13
PC,NO,2010-01-01,0.49
PC,NO,2011-01-01,0.11
PC,NO,2012-01-01,0.09
PC,NO,2013-01-01,0.38
PC,NO,2014-01-01,0.0
PC,NO,2015-01-01,0.0
PC,PL,2000-01-01,92.33
PC,PL,2001-01-01,88.73
PC,PL,2002-01-01,81.21
PC,PL,2003-01-01,84.15
PC,PL,2004-01-01,69.99
PC,PL,2005-01-01,79.07
PC,PL,2006-01-01,90.87
PC,PL,2007-01-01,59.23
PC,PL,2008-01-01,57.21
PC,PL,2009-01-01,79.15
PC,PL,2010-01-01,83.59
PC,PL,2011-01-01,88.3
PC,PL,2012-01-01,81.4
PC,PL,2013-01-01,76.15
PC,PL,2014-01-01,83.72
PC,PL,2015-01-01,80.61
PC,PT,2000-01-01,100.0
PC,PT,2001-01-01,100.0
PC,PT,2002-01-01,84.23
PC,PT,2003-01-01,79.22
PC,PT,2004-01-01,86.24
PC,PT,2005-01-01,77.97
PC,PT,2006-01-01,67.07
PC,PT,2007-01-01,36.5
PC,PT,2008-01-01,18.95
PC,PT,2009-01-01,27.92
PC,PT,2010-01-01,17.36
PC,PT,2011-01-01,26.47
PC,PT,2012-01-01,10.2
PC,PT,2013-01-01,0.92
PC,PT,2014-01-01,0.09
PC,PT,2015-01-01,0.83
PC,RO,2000-01-01,
PC,RO,2001-01-01,
PC,RO,2002-01-01,
PC,RO,2003-01-01,76.58
PC,RO,2004-01-01,100.0
PC,RO,2005-01-01,100.0
PC,RO,2006-01-01,97.34
PC,RO,2007-01-01,97.74
PC,RO,2008-01-01,81.36
PC,RO,2009-01-01,64.09
PC,RO,2010-01-01,95.74
PC,RO,2011-01-01,96.15
PC,RO,2012-01-01,59.44
PC,RO,2013-01-01,53.06
PC,RO,2014-01-01,2.97
PC,RO,2015-01-01,54.37
PC,SE,2000-01-01,1.38
PC,SE,2001-01-01,1.46
PC,SE,2002-01-01,1.64
PC,SE,2003-01-01,1.64
PC,SE,2004-01-01,1.64
PC,SE,2005-01-01,2.02
PC,SE,2006-01-01,2.01
PC,SE,2007-01-01,1.14
PC,SE,2008-01-01,1.37
PC,SE,2009-01-01,0.66
PC,SE,2010-01-01,0.6
PC,SE,2011-01-01,1.45
PC,SE,2012-01-01,0.23
PC,SE,2013-01-01,0.98
