indic_eu,geotime,date,value
T2020_35I05,AT,2005-01-01,99.4
T2020_35I05,AT,2006-01-01,96.2
T2020_35I05,AT,2007-01-01,92.5
T2020_35I05,AT,2008-01-01,92.3
T2020_35I05,AT,2009-01-01,89.2
T2020_35I05,AT,2010-01-01,91.8
T2020_35I05,AT,2011-01-01,88.3
T2020_35I05,AT,2012-01-01,87.5
T2020_35I05,AT,2013-01-01,88.1
T2020_35I05,AT,2014-01-01,84.8
T2020_35I05,AT,2015-01-01,86.7
T2020_35I05,AT,2016-01-01,88.2
T2020_35I05,BE,2005-01-01,97.8
T2020_35I05,BE,2006-01-01,96.6
T2020_35I05,BE,2007-01-01,95.3
T2020_35I05,BE,2008-01-01,98.4
T2020_35I05,BE,2009-01-01,93.9
T2020_35I05,BE,2010-01-01,96.7
T2020_35I05,BE,2011-01-01,89.9
T2020_35I05,BE,2012-01-01,90.4
T2020_35I05,BE,2013-01-01,92.5
T2020_35I05,BE,2014-01-01,87.3
T2020_35I05,BE,2015-01-01,90.6
T2020_35I05,BE,2016-01-01,92.8
T2020_35I05,BG,2005-01-01,116.4
T2020_35I05,BG,2006-01-01,118.7
T2020_35I05,BG,2007-01-01,121.7
T2020_35I05,BG,2008-01-01,119.9
T2020_35I05,BG,2009-01-01,109.0
T2020_35I05,BG,2010-01-01,114.0
T2020_35I05,BG,2011-01-01,108.9
T2020_35I05,BG,2012-01-01,108.9
T2020_35I05,BG,2013-01-01,100.5
T2020_35I05,BG,2014-01-01,103.5
T2020_35I05,BG,2015-01-01,114.6
T2020_35I05,BG,2016-01-01,112.8
T2020_35I05,CY,2005-01-01,100.7
T2020_35I05,CY,2006-01-01,102.8
T2020_35I05,CY,2007-01-01,107.6
T2020_35I05,CY,2008-01-01,107.7
T2020_35I05,CY,2009-01-01,107.6
T2020_35I05,CY,2010-01-01,107.8
T2020_35I05,CY,2011-01-01,111.7
T2020_35I05,CY,2012-01-01,104.7
T2020_35I05,CY,2013-01-01,94.1
T2020_35I05,CY,2014-01-01,93.8
T2020_35I05,CY,2015-01-01,97.0
T2020_35I05,CY,2016-01-01,100.2
T2020_35I05,CZ,2005-01-01,99.7
T2020_35I05,CZ,2006-01-01,100.8
T2020_35I05,CZ,2007-01-01,96.6
T2020_35I05,CZ,2008-01-01,101.4
T2020_35I05,CZ,2009-01-01,98.8
T2020_35I05,CZ,2010-01-01,99.1
T2020_35I05,CZ,2011-01-01,98.6
