geotime,date,value
AT,2000-01-01,25
AT,2001-01-01,25
AT,2003-01-01,23
AT,2004-01-01,24
AT,2005-01-01,23
AT,2006-01-01,24
AT,2007-01-01,23
AT,2008-01-01,22
AT,2009-01-01,23
AT,2010-01-01,22
AT,2011-01-01,22
AT,2012-01-01,22
AT,2013-01-01,
AT,2014-01-01,23
AT,2015-01-01,
AT,2016-01-01,23
AT,2017-01-01,22
BE,2000-01-01,23
BE,2001-01-01,23
BE,2003-01-01,22
BE,2004-01-01,23
BE,2005-01-01,22
BE,2006-01-01,22
BE,2007-01-01,23
BE,2008-01-01,22
BE,2009-01-01,23
BE,2010-01-01,23
BE,2011-01-01,23
BE,2012-01-01,23
BE,2013-01-01,
BE,2014-01-01,23
BE,2015-01-01,
BE,2016-01-01,23
BE,2017-01-01,23
BG,2000-01-01,
BG,2001-01-01,
BG,2003-01-01,
BG,2004-01-01,
BG,2005-01-01,
BG,2006-01-01,20
BG,2007-01-01,18
BG,2008-01-01,18
BG,2009-01-01,19
BG,2010-01-01,19
BG,2011-01-01,18
BG,2012-01-01,19
BG,2013-01-01,
BG,2014-01-01,18
BG,2015-01-01,
BG,2016-01-01,17
BG,2017-01-01,16
CH,2000-01-01,
CH,2001-01-01,
CH,2003-01-01,
CH,2004-01-01,
CH,2005-01-01,
CH,2006-01-01,
CH,2007-01-01,21
CH,2008-01-01,21
CH,2009-01-01,21
CH,2010-01-01,21
CH,2011-01-01,21
CH,2012-01-01,22
CH,2013-01-01,
CH,2014-01-01,22
CH,2015-01-01,
CH,2016-01-01,22
CH,2017-01-01,
CY,2000-01-01,
CY,2001-01-01,
CY,2003-01-01,
CY,2004-01-01,
CY,2005-01-01,22
CY,2006-01-01,22
CY,2007-01-01,22
CY,2008-01-01,22
CY,2009-01-01,22
CY,2010-01-01,21
CY,2011-01-01,22
CY,2012-01-01,21
CY,2013-01-01,
CY,2014-01-01,19
CY,2015-01-01,
CY,2016-01-01,20
CY,2017-01-01,21
CZ,2000-01-01,
CZ,2001-01-01,
CZ,2003-01-01,
CZ,2004-01-01,
CZ,2005-01-01,24
CZ,2006-01-01,24
CZ,2007-01-01,24
CZ,2008-01-01,25
CZ,2009-01-01,25
CZ,2010-01-01,24
CZ,2011-01-01,24
CZ,2012-01-01,24
CZ,2013-01-01,
CZ,2014-01-01,24
CZ,2015-01-01,
CZ,2016-01-01,24
CZ,2017-01-01,25
DE,2000-01-01,25
DE,2001-01-01,25
DE,2003-01-01,
DE,2004-01-01,
DE,2005-01-01,24
DE,2006-01-01,23
DE,2007-01-01,21
DE,2008-01-01,21
DE,2009-01-01,22
DE,2010-01-01,22
DE,2011-01-01,22
DE,2012-01-01,22
DE,2013-01-01,
DE,2014-01-01,21
DE,2015-01-01,
DE,2016-01-01,21
DE,2017-01-01,22
DK,2000-01-01,
DK,2001-01-01,
DK,2003-01-01,24
DK,2004-01-01,25
DK,2005-01-01,24
DK,2006-01-01,24
DK,2007-01-01,24
DK,2008-01-01,24
DK,2009-01-01,22
DK,2010-01-01,23
DK,2011-01-01,23
DK,2012-01-01,23
DK,2013-01-01,
DK,2014-01-01,23
DK,2015-01-01,
DK,2016-01-01,23
DK,2017-01-01,23
EA18,2000-01-01,
EA18,2001-01-01,
EA18,2003-01-01,
EA18,2004-01-01,21
EA18,2005-01-01,22
EA18,2006-01-01,22
EA18,2007-01-01,21
EA18,2008-01-01,21
EA18,2009-01-01,21
EA18,2010-01-01,21
EA18,2011-01-01,21
EA18,2012-01-01,21
EA18,2013-01-01,
EA18,2014-01-01,20
EA18,2015-01-01,
EA18,2016-01-01,21
EA18,2017-01-01,21
EA19,2000-01-01,
EA19,2001-01-01,
EA19,2003-01-01,
EA19,2004-01-01,21
EA19,2005-01-01,22
EA19,2006-01-01,22
EA19,2007-01-01,21
EA19,2008-01-01,21
EA19,2009-01-01,21
EA19,2010-01-01,21
EA19,2011-01-01,21
EA19,2012-01-01,21
EA19,2013-01-01,
EA19,2014-01-01,20
EA19,2015-01-01,
EA19,2016-01-01,21
EA19,2017-01-01,21
EE,2000-01-01,
EE,2001-01-01,
EE,2003-01-01,
EE,2004-01-01,17
EE,2005-01-01,19
EE,2006-01-01,19
EE,2007-01-01,19
EE,2008-01-01,20
EE,2009-01-01,20
EE,2010-01-01,20
EE,2011-01-01,20
EE,2012-01-01,19
EE,2013-01-01,
EE,2014-01-01,18
EE,2015-01-01,
EE,2016-01-01,19
EE,2017-01-01,19
EL,2000-01-01,19
EL,2001-01-01,19
EL,2003-01-01,18
EL,2004-01-01,19
EL,2005-01-01,19
EL,2006-01-01,19
EL,2007-01-01,19
EL,2008-01-01,19
EL,2009-01-01,19
EL,2010-01-01,19
EL,2011-01-01,19
EL,2012-01-01,18
EL,2013-01-01,
EL,2014-01-01,18
EL,2015-01-01,
EL,2016-01-01,18
EL,2017-01-01,19
ES,2000-01-01,20
ES,2001-01-01,20
ES,2003-01-01,
ES,2004-01-01,20
ES,2005-01-01,19
ES,2006-01-01,19
ES,2007-01-01,19
ES,2008-01-01,19
ES,2009-01-01,19
ES,2010-01-01,19
ES,2011-01-01,18
ES,2012-01-01,18
ES,2013-01-01,
ES,2014-01-01,18
ES,2015-01-01,
ES,2016-01-01,18
ES,2017-01-01,18
EU,2000-01-01,
EU,2001-01-01,
EU,2003-01-01,
EU,2004-01-01,
EU,2005-01-01,
EU,2006-01-01,
EU,2007-01-01,
EU,2008-01-01,21
EU,2009-01-01,21
EU,2010-01-01,21
EU,2011-01-01,21
EU,2012-01-01,21
EU,2013-01-01,
EU,2014-01-01,20
EU,2015-01-01,
EU,2016-01-01,20
EU,2017-01-01,21
EU27,2000-01-01,
EU27,2001-01-01,
EU27,2003-01-01,
EU27,2004-01-01,
EU27,2005-01-01,21
EU27,2006-01-01,21
EU27,2007-01-01,21
EU27,2008-01-01,21
EU27,2009-01-01,21
EU27,2010-01-01,21
EU27,2011-01-01,21
EU27,2012-01-01,21
EU27,2013-01-01,
EU27,2014-01-01,20
EU27,2015-01-01,
EU27,2016-01-01,20
EU27,2017-01-01,21
EU28,2000-01-01,
EU28,2001-01-01,
EU28,2003-01-01,
EU28,2004-01-01,
EU28,2005-01-01,
EU28,2006-01-01,
EU28,2007-01-01,
EU28,2008-01-01,
EU28,2009-01-01,
EU28,2010-01-01,21
EU28,2011-01-01,21
EU28,2012-01-01,21
EU28,2013-01-01,
EU28,2014-01-01,20
EU28,2015-01-01,
