sex,age,unit,geo\time,date,value
T,Y15-24,PC,AT,2006-01-01,5.7 
T,Y15-24,PC,AT,2007-01-01,5.6 b
T,Y15-24,PC,AT,2008-01-01,5.1 
T,Y15-24,PC,AT,2009-01-01,6.4 
T,Y15-24,PC,AT,2010-01-01,5.5 
T,Y15-24,PC,AT,2011-01-01,5.3 
T,Y15-24,PC,AT,2012-01-01,5.6
T,Y15-24,PC,AT,2013-01-01,5.7
T,Y15-24,PC,AT,2014-01-01,6.0 
T,Y15-24,PC,AT,2015-01-01,6.1 
T,Y15-24,PC,AT,2016-01-01,6.5 
T,Y15-24,PC,AT,2017-01-01,5.5 
T,Y15-24,PC,BE,2006-01-01,7.1 
T,Y15-24,PC,BE,2007-01-01,6.4 
T,Y15-24,PC,BE,2008-01-01,6.0 
T,Y15-24,PC,BE,2009-01-01,7.1 
T,Y15-24,PC,BE,2010-01-01,7.3 
T,Y15-24,PC,BE,2011-01-01,6.0 b
T,Y15-24,PC,BE,2012-01-01,6.2
T,Y15-24,PC,BE,2013-01-01,7.3
T,Y15-24,PC,BE,2014-01-01,7.0 
T,Y15-24,PC,BE,2015-01-01,6.6 
T,Y15-24,PC,BE,2016-01-01,5.7 
T,Y15-24,PC,BE,2017-01-01,5.4 b
T,Y15-24,PC,BG,2006-01-01,5.6 
T,Y15-24,PC,BG,2007-01-01,4.4 
T,Y15-24,PC,BG,2008-01-01,3.8 b
T,Y15-24,PC,BG,2009-01-01,4.8 
T,Y15-24,PC,BG,2010-01-01,6.8 b
T,Y15-24,PC,BG,2011-01-01,7.4 b
T,Y15-24,PC,BG,2012-01-01,8.5
T,Y15-24,PC,BG,2013-01-01,8.4
T,Y15-24,PC,BG,2014-01-01,6.5 
T,Y15-24,PC,BG,2015-01-01,5.6 
T,Y15-24,PC,BG,2016-01-01,4.1 
T,Y15-24,PC,BG,2017-01-01,3.4 
T,Y15-24,PC,CH,2006-01-01,5.3 
T,Y15-24,PC,CH,2007-01-01,4.8 
T,Y15-24,PC,CH,2008-01-01,4.7 
T,Y15-24,PC,CH,2009-01-01,5.7 
T,Y15-24,PC,CH,2010-01-01,5.6 b
T,Y15-24,PC,CH,2011-01-01,5.3 
T,Y15-24,PC,CH,2012-01-01,5.6
T,Y15-24,PC,CH,2013-01-01,5.9
T,Y15-24,PC,CH,2014-01-01,5.8 
T,Y15-24,PC,CH,2015-01-01,6.0 
T,Y15-24,PC,CH,2016-01-01,5.9 
T,Y15-24,PC,CH,2017-01-01,5.5 
T,Y15-24,PC,CY,2006-01-01,4.1 
T,Y15-24,PC,CY,2007-01-01,4.2 
T,Y15-24,PC,CY,2008-01-01,3.8 
T,Y15-24,PC,CY,2009-01-01,5.6 b
T,Y15-24,PC,CY,2010-01-01,6.7 
T,Y15-24,PC,CY,2011-01-01,8.7 
T,Y15-24,PC,CY,2012-01-01,10.8
T,Y15-24,PC,CY,2013-01-01,14.9
T,Y15-24,PC,CY,2014-01-01,14.5 
T,Y15-24,PC,CY,2015-01-01,12.4 
T,Y15-24,PC,CY,2016-01-01,10.8 
T,Y15-24,PC,CY,2017-01-01,9.0 
T,Y15-24,PC,CZ,2006-01-01,5.9 
T,Y15-24,PC,CZ,2007-01-01,3.4 
T,Y15-24,PC,CZ,2008-01-01,3.1 
T,Y15-24,PC,CZ,2009-01-01,5.3 
T,Y15-24,PC,CZ,2010-01-01,5.7 
T,Y15-24,PC,CZ,2011-01-01,5.4 b
T,Y15-24,PC,CZ,2012-01-01,6.1
T,Y15-24,PC,CZ,2013-01-01,6.0
T,Y15-24,PC,CZ,2014-01-01,5.1 
T,Y15-24,PC,CZ,2015-01-01,4.1 
T,Y15-24,PC,CZ,2016-01-01,3.4 
T,Y15-24,PC,CZ,2017-01-01,2.5 
T,Y15-24,PC,DE,2006-01-01,6.9 
T,Y15-24,PC,DE,2007-01-01,6.1 
T,Y15-24,PC,DE,2008-01-01,5.5 
T,Y15-24,PC,DE,2009-01-01,5.8 
T,Y15-24,PC,DE,2010-01-01,5.0 b
T,Y15-24,PC,DE,2011-01-01,4.5 b
T,Y15-24,PC,DE,2012-01-01,4.1
T,Y15-24,PC,DE,2013-01-01,4.0
T,Y15-24,PC,DE,2014-01-01,3.9 
T,Y15-24,PC,DE,2015-01-01,3.5 
T,Y15-24,PC,DE,2016-01-01,3.5 
T,Y15-24,PC,DE,2017-01-01,3.4 
T,Y15-24,PC,DK,2006-01-01,5.4 
T,Y15-24,PC,DK,2007-01-01,5.3 
T,Y15-24,PC,DK,2008-01-01,5.8 
T,Y15-24,PC,DK,2009-01-01,8.4 
T,Y15-24,PC,DK,2010-01-01,9.4 
T,Y15-24,PC,DK,2011-01-01,9.6 
T,Y15-24,PC,DK,2012-01-01,9.1
T,Y15-24,PC,DK,2013-01-01,8.1
T,Y15-24,PC,DK,2014-01-01,7.8 
T,Y15-24,PC,DK,2015-01-01,6.7 
T,Y15-24,PC,DK,2016-01-01,7.9 b
T,Y15-24,PC,DK,2017-01-01,7.0 b
