na_item,landcover,unit,geo\time,date,value
B1GQ,B1GQ_LCA,MPPS_KM2,PL,2009-01-01,55.5 
B1GQ,B1GQ_LCA,MPPS_KM2,PL,2012-01-01,66.1 
B1GQ,B1GQ_LCA,MPPS_KM2,PL,2015-01-01,70.9 
B1GQ,B1GQ_LCA,MPPS_KM2,PT,2009-01-01,47.2 
B1GQ,B1GQ_LCA,MPPS_KM2,PT,2012-01-01,45.4 
B1GQ,B1GQ_LCA,MPPS_KM2,PT,2015-01-01,48.7 
B1GQ,B1GQ_LCA,MPPS_KM2,RO,2009-01-01,: 
B1GQ,B1GQ_LCA,MPPS_KM2,RO,2012-01-01,59.0 
B1GQ,B1GQ_LCA,MPPS_KM2,RO,2015-01-01,62.9 
B1GQ,B1GQ_LCA,MPPS_KM2,SE,2009-01-01,42.6 
B1GQ,B1GQ_LCA,MPPS_KM2,SE,2012-01-01,47.3 
B1GQ,B1GQ_LCA,MPPS_KM2,SE,2015-01-01,48.6 
B1GQ,B1GQ_LCA,MPPS_KM2,SI,2009-01-01,70.0 
B1GQ,B1GQ_LCA,MPPS_KM2,SI,2012-01-01,69.6 
B1GQ,B1GQ_LCA,MPPS_KM2,SI,2015-01-01,74.0 
B1GQ,B1GQ_LCA,MPPS_KM2,SK,2009-01-01,74.3 
B1GQ,B1GQ_LCA,MPPS_KM2,SK,2012-01-01,80.0 
B1GQ,B1GQ_LCA,MPPS_KM2,SK,2015-01-01,83.0 
B1GQ,B1GQ_LCA,MPPS_KM2,UK,2009-01-01,112.1 
B1GQ,B1GQ_LCA,MPPS_KM2,UK,2012-01-01,119.8 
B1GQ,B1GQ_LCA,MPPS_KM2,UK,2015-01-01,128.3 
