na_item,sector,unit,geotime,date,value
GD,S13,MIO_NAC,AT,1995-01-01,120660.0
GD,S13,MIO_NAC,AT,1996-01-01,124601.6
GD,S13,MIO_NAC,AT,1997-01-01,119827.1
GD,S13,MIO_NAC,AT,1998-01-01,125384.9
GD,S13,MIO_NAC,AT,1999-01-01,135949.0
GD,S13,MIO_NAC,AT,2000-01-01,141245.5
GD,S13,MIO_NAC,AT,2001-01-01,147154.2
GD,S13,MIO_NAC,AT,2002-01-01,151295.9
GD,S13,MIO_NAC,AT,2003-01-01,152688.1
GD,S13,MIO_NAC,AT,2004-01-01,157985.4
GD,S13,MIO_NAC,AT,2005-01-01,174403.5
GD,S13,MIO_NAC,AT,2006-01-01,180270.0
GD,S13,MIO_NAC,AT,2007-01-01,184674.5
GD,S13,MIO_NAC,AT,2008-01-01,201809.9
GD,S13,MIO_NAC,AT,2009-01-01,230014.6
GD,S13,MIO_NAC,AT,2010-01-01,244696.8
GD,S13,MIO_NAC,AT,2011-01-01,255683.8
GD,S13,MIO_NAC,AT,2012-01-01,261040.8
GD,S13,MIO_NAC,AT,2013-01-01,263229.5
GD,S13,MIO_NAC,AT,2014-01-01,280001.0
GD,S13,MIO_NAC,AT,2015-01-01,291910.7
GD,S13,MIO_NAC,AT,2016-01-01,295845.2
GD,S13,MIO_NAC,AT,2017-01-01,289665.8
GD,S13,MIO_NAC,BE,1995-01-01,276257.2
GD,S13,MIO_NAC,BE,1996-01-01,276352.8
GD,S13,MIO_NAC,BE,1997-01-01,278410.0
GD,S13,MIO_NAC,BE,1998-01-01,277162.3
GD,S13,MIO_NAC,BE,1999-01-01,279438.7
GD,S13,MIO_NAC,BE,2000-01-01,280870.5
GD,S13,MIO_NAC,BE,2001-01-01,285970.1
GD,S13,MIO_NAC,BE,2002-01-01,288027.6
GD,S13,MIO_NAC,BE,2003-01-01,285787.9
GD,S13,MIO_NAC,BE,2004-01-01,288330.4
GD,S13,MIO_NAC,BE,2005-01-01,294904.5
GD,S13,MIO_NAC,BE,2006-01-01,297427.6
GD,S13,MIO_NAC,BE,2007-01-01,299999.5
GD,S13,MIO_NAC,BE,2008-01-01,327623.1
GD,S13,MIO_NAC,BE,2009-01-01,347167.8
GD,S13,MIO_NAC,BE,2010-01-01,364080.6
GD,S13,MIO_NAC,BE,2011-01-01,388937.2
GD,S13,MIO_NAC,BE,2012-01-01,404292.1
GD,S13,MIO_NAC,BE,2013-01-01,413732.8
GD,S13,MIO_NAC,BE,2014-01-01,430373.3
GD,S13,MIO_NAC,BE,2015-01-01,437540.9
GD,S13,MIO_NAC,BE,2016-01-01,450390.4
GD,S13,MIO_NAC,BE,2017-01-01,453993.6
GD,S13,MIO_NAC,BG,1995-01-01,
GD,S13,MIO_NAC,BG,1996-01-01,
GD,S13,MIO_NAC,BG,1997-01-01,18314.2
GD,S13,MIO_NAC,BG,1998-01-01,17848.5
GD,S13,MIO_NAC,BG,1999-01-01,18868.6
GD,S13,MIO_NAC,BG,2000-01-01,19872.2
GD,S13,MIO_NAC,BG,2001-01-01,19988.1
GD,S13,MIO_NAC,BG,2002-01-01,17376.8
GD,S13,MIO_NAC,BG,2003-01-01,15893.0
GD,S13,MIO_NAC,BG,2004-01-01,14720.4
GD,S13,MIO_NAC,BG,2005-01-01,12498.1
GD,S13,MIO_NAC,BG,2006-01-01,11189.2
GD,S13,MIO_NAC,BG,2007-01-01,10359.7
GD,S13,MIO_NAC,BG,2008-01-01,9480.8
GD,S13,MIO_NAC,BG,2009-01-01,9991.6
GD,S13,MIO_NAC,BG,2010-01-01,11453.4
