indic_il,age,sex,geo\time,date,value
S80_S20,TOTAL,T,AT,2006-01-01,3.7 
S80_S20,TOTAL,T,AT,2007-01-01,3.8 
S80_S20,TOTAL,T,AT,2008-01-01,4.2 b
S80_S20,TOTAL,T,AT,2009-01-01,4.2 
S80_S20,TOTAL,T,AT,2010-01-01,4.3 
S80_S20,TOTAL,T,AT,2011-01-01,4.1 
S80_S20,TOTAL,T,AT,2012-01-01,4.2 
S80_S20,TOTAL,T,AT,2013-01-01,4.1
S80_S20,TOTAL,T,AT,2014-01-01,4.1 
S80_S20,TOTAL,T,AT,2015-01-01,4.0
S80_S20,TOTAL,T,AT,2016-01-01,4.1 
S80_S20,TOTAL,T,AT,2017-01-01,4.3 
S80_S20,TOTAL,T,BE,2006-01-01,4.2 
S80_S20,TOTAL,T,BE,2007-01-01,3.9 
S80_S20,TOTAL,T,BE,2008-01-01,4.1 
S80_S20,TOTAL,T,BE,2009-01-01,3.9 
S80_S20,TOTAL,T,BE,2010-01-01,3.9 
S80_S20,TOTAL,T,BE,2011-01-01,3.9 
S80_S20,TOTAL,T,BE,2012-01-01,4.0 
S80_S20,TOTAL,T,BE,2013-01-01,3.8
S80_S20,TOTAL,T,BE,2014-01-01,3.8 
S80_S20,TOTAL,T,BE,2015-01-01,3.8
S80_S20,TOTAL,T,BE,2016-01-01,3.8 
S80_S20,TOTAL,T,BE,2017-01-01,3.8 
S80_S20,TOTAL,T,BG,2006-01-01,5.1 
S80_S20,TOTAL,T,BG,2007-01-01,7.0 
S80_S20,TOTAL,T,BG,2008-01-01,6.5 
S80_S20,TOTAL,T,BG,2009-01-01,5.9 
S80_S20,TOTAL,T,BG,2010-01-01,5.9 
S80_S20,TOTAL,T,BG,2011-01-01,6.5 
S80_S20,TOTAL,T,BG,2012-01-01,6.1 
S80_S20,TOTAL,T,BG,2013-01-01,6.6
S80_S20,TOTAL,T,BG,2014-01-01,6.8 
S80_S20,TOTAL,T,BG,2015-01-01,7.1
S80_S20,TOTAL,T,BG,2016-01-01,7.7 b
S80_S20,TOTAL,T,BG,2017-01-01,8.2 
S80_S20,TOTAL,T,CH,2006-01-01,: 
S80_S20,TOTAL,T,CH,2007-01-01,4.7 
S80_S20,TOTAL,T,CH,2008-01-01,4.9 
S80_S20,TOTAL,T,CH,2009-01-01,4.8 
S80_S20,TOTAL,T,CH,2010-01-01,4.5 
S80_S20,TOTAL,T,CH,2011-01-01,4.5 
S80_S20,TOTAL,T,CH,2012-01-01,4.4 
S80_S20,TOTAL,T,CH,2013-01-01,4.2
S80_S20,TOTAL,T,CH,2014-01-01,4.4 b
S80_S20,TOTAL,T,CH,2015-01-01,4.5
S80_S20,TOTAL,T,CH,2016-01-01,4.4 
S80_S20,TOTAL,T,CH,2017-01-01,: 
S80_S20,TOTAL,T,CY,2006-01-01,4.3 
S80_S20,TOTAL,T,CY,2007-01-01,4.4 
S80_S20,TOTAL,T,CY,2008-01-01,4.3 b
S80_S20,TOTAL,T,CY,2009-01-01,4.4 
S80_S20,TOTAL,T,CY,2010-01-01,4.5 
S80_S20,TOTAL,T,CY,2011-01-01,4.3 
S80_S20,TOTAL,T,CY,2012-01-01,4.7 
S80_S20,TOTAL,T,CY,2013-01-01,4.9
S80_S20,TOTAL,T,CY,2014-01-01,5.4 
S80_S20,TOTAL,T,CY,2015-01-01,5.2
S80_S20,TOTAL,T,CY,2016-01-01,4.9 
S80_S20,TOTAL,T,CY,2017-01-01,4.6 
S80_S20,TOTAL,T,CZ,2006-01-01,3.5 
S80_S20,TOTAL,T,CZ,2007-01-01,3.5 
S80_S20,TOTAL,T,CZ,2008-01-01,3.4 
S80_S20,TOTAL,T,CZ,2009-01-01,3.5 
S80_S20,TOTAL,T,CZ,2010-01-01,3.5 
S80_S20,TOTAL,T,CZ,2011-01-01,3.5 
S80_S20,TOTAL,T,CZ,2012-01-01,3.5 
S80_S20,TOTAL,T,CZ,2013-01-01,3.4
S80_S20,TOTAL,T,CZ,2014-01-01,3.5 
S80_S20,TOTAL,T,CZ,2015-01-01,3.5
S80_S20,TOTAL,T,CZ,2016-01-01,3.5 
S80_S20,TOTAL,T,CZ,2017-01-01,3.4 
S80_S20,TOTAL,T,DE,2006-01-01,4.1 
S80_S20,TOTAL,T,DE,2007-01-01,4.9 
S80_S20,TOTAL,T,DE,2008-01-01,4.8 
S80_S20,TOTAL,T,DE,2009-01-01,4.5 
S80_S20,TOTAL,T,DE,2010-01-01,4.5 
S80_S20,TOTAL,T,DE,2011-01-01,4.5 
