indic_bt,nace_r2,s_adj,unit,geotime,date,value
PRIN,B-E36,NSA,I2015_NSA,AT,2017-10-01,
PRIN,B-E36,NSA,I2015_NSA,AT,2017-11-01,
PRIN,B-E36,NSA,I2015_NSA,AT,2017-12-01,
PRIN,B-E36,NSA,I2015_NSA,AT,2018-01-01,
PRIN,B-E36,NSA,I2015_NSA,AT,2018-02-01,
PRIN,B-E36,NSA,I2015_NSA,AT,2018-03-01,
PRIN,B-E36,NSA,I2015_NSA,AT,2018-04-01,101
PRIN,B-E36,NSA,I2015_NSA,AT,2018-05-01,102
PRIN,B-E36,NSA,I2015_NSA,AT,2018-06-01,102
PRIN,B-E36,NSA,I2015_NSA,AT,2018-07-01,102
PRIN,B-E36,NSA,I2015_NSA,AT,2018-08-01,103
PRIN,B-E36,NSA,I2015_NSA,AT,2018-09-01,
PRIN,B-E36,NSA,I2015_NSA,BE,2017-10-01,
PRIN,B-E36,NSA,I2015_NSA,BE,2017-11-01,
PRIN,B-E36,NSA,I2015_NSA,BE,2017-12-01,
PRIN,B-E36,NSA,I2015_NSA,BE,2018-01-01,
PRIN,B-E36,NSA,I2015_NSA,BE,2018-02-01,
PRIN,B-E36,NSA,I2015_NSA,BE,2018-03-01,
PRIN,B-E36,NSA,I2015_NSA,BE,2018-04-01,110
PRIN,B-E36,NSA,I2015_NSA,BE,2018-05-01,112
PRIN,B-E36,NSA,I2015_NSA,BE,2018-06-01,113
PRIN,B-E36,NSA,I2015_NSA,BE,2018-07-01,114
PRIN,B-E36,NSA,I2015_NSA,BE,2018-08-01,115
PRIN,B-E36,NSA,I2015_NSA,BE,2018-09-01,
PRIN,B-E36,NSA,I2015_NSA,BG,2017-10-01,
PRIN,B-E36,NSA,I2015_NSA,BG,2017-11-01,
PRIN,B-E36,NSA,I2015_NSA,BG,2017-12-01,
PRIN,B-E36,NSA,I2015_NSA,BG,2018-01-01,
PRIN,B-E36,NSA,I2015_NSA,BG,2018-02-01,
PRIN,B-E36,NSA,I2015_NSA,BG,2018-03-01,
PRIN,B-E36,NSA,I2015_NSA,BG,2018-04-01,104
PRIN,B-E36,NSA,I2015_NSA,BG,2018-05-01,104
PRIN,B-E36,NSA,I2015_NSA,BG,2018-06-01,105
PRIN,B-E36,NSA,I2015_NSA,BG,2018-07-01,105
PRIN,B-E36,NSA,I2015_NSA,BG,2018-08-01,105
PRIN,B-E36,NSA,I2015_NSA,BG,2018-09-01,
PRIN,B-E36,NSA,I2015_NSA,CH,2017-10-01,
PRIN,B-E36,NSA,I2015_NSA,CH,2017-11-01,
PRIN,B-E36,NSA,I2015_NSA,CH,2017-12-01,
PRIN,B-E36,NSA,I2015_NSA,CH,2018-01-01,
PRIN,B-E36,NSA,I2015_NSA,CH,2018-02-01,
PRIN,B-E36,NSA,I2015_NSA,CH,2018-03-01,
PRIN,B-E36,NSA,I2015_NSA,CH,2018-04-01,99
PRIN,B-E36,NSA,I2015_NSA,CH,2018-05-01,99
PRIN,B-E36,NSA,I2015_NSA,CH,2018-06-01,99
PRIN,B-E36,NSA,I2015_NSA,CH,2018-07-01,99
PRIN,B-E36,NSA,I2015_NSA,CH,2018-08-01,99
PRIN,B-E36,NSA,I2015_NSA,CH,2018-09-01,100
PRIN,B-E36,NSA,I2015_NSA,CY,2017-10-01,
PRIN,B-E36,NSA,I2015_NSA,CY,2017-11-01,
PRIN,B-E36,NSA,I2015_NSA,CY,2017-12-01,
PRIN,B-E36,NSA,I2015_NSA,CY,2018-01-01,
PRIN,B-E36,NSA,I2015_NSA,CY,2018-02-01,
PRIN,B-E36,NSA,I2015_NSA,CY,2018-03-01,
PRIN,B-E36,NSA,I2015_NSA,CY,2018-04-01,98
PRIN,B-E36,NSA,I2015_NSA,CY,2018-05-01,101
PRIN,B-E36,NSA,I2015_NSA,CY,2018-06-01,101
PRIN,B-E36,NSA,I2015_NSA,CY,2018-07-01,103
PRIN,B-E36,NSA,I2015_NSA,CY,2018-08-01,103
PRIN,B-E36,NSA,I2015_NSA,CY,2018-09-01,
PRIN,B-E36,NSA,I2015_NSA,CZ,2017-10-01,
PRIN,B-E36,NSA,I2015_NSA,CZ,2017-11-01,
PRIN,B-E36,NSA,I2015_NSA,CZ,2017-12-01,
PRIN,B-E36,NSA,I2015_NSA,CZ,2018-01-01,
PRIN,B-E36,NSA,I2015_NSA,CZ,2018-02-01,
PRIN,B-E36,NSA,I2015_NSA,CZ,2018-03-01,
PRIN,B-E36,NSA,I2015_NSA,CZ,2018-04-01,99
PRIN,B-E36,NSA,I2015_NSA,CZ,2018-05-01,100
PRIN,B-E36,NSA,I2015_NSA,CZ,2018-06-01,100
