fieldid,unit,geotime,date,value
ANI,KCAL,AT,2000-01-01,
ANI,KCAL,AT,2001-01-01,
ANI,KCAL,AT,2002-01-01,
ANI,KCAL,AT,2003-01-01,
ANI,KCAL,AT,2004-01-01,
ANI,KCAL,AT,2005-01-01,
ANI,KCAL,AT,2006-01-01,
ANI,KCAL,AT,2007-01-01,
ANI,KCAL,AT,2008-01-01,
ANI,KCAL,AT,2009-01-01,
ANI,KCAL,AT,2010-01-01,
ANI,KCAL,AT,2011-01-01,
ANI,KCAL,AT,2012-01-01,
ANI,KCAL,AT,2013-01-01,
ANI,KCAL,BE,2000-01-01,
ANI,KCAL,BE,2001-01-01,
ANI,KCAL,BE,2002-01-01,
ANI,KCAL,BE,2003-01-01,
ANI,KCAL,BE,2004-01-01,
ANI,KCAL,BE,2005-01-01,
ANI,KCAL,BE,2006-01-01,
ANI,KCAL,BE,2007-01-01,
ANI,KCAL,BE,2008-01-01,
ANI,KCAL,BE,2009-01-01,
ANI,KCAL,BE,2010-01-01,
ANI,KCAL,BE,2011-01-01,
ANI,KCAL,BE,2012-01-01,
ANI,KCAL,BE,2013-01-01,
ANI,KCAL,BG,2000-01-01,
ANI,KCAL,BG,2001-01-01,
ANI,KCAL,BG,2002-01-01,
ANI,KCAL,BG,2003-01-01,
ANI,KCAL,BG,2004-01-01,
ANI,KCAL,BG,2005-01-01,
ANI,KCAL,BG,2006-01-01,
ANI,KCAL,BG,2007-01-01,
ANI,KCAL,BG,2008-01-01,
ANI,KCAL,BG,2009-01-01,
ANI,KCAL,BG,2010-01-01,
ANI,KCAL,BG,2011-01-01,
ANI,KCAL,BG,2012-01-01,
ANI,KCAL,BG,2013-01-01,
ANI,KCAL,CY,2000-01-01,
ANI,KCAL,CY,2001-01-01,
ANI,KCAL,CY,2002-01-01,
ANI,KCAL,CY,2003-01-01,
ANI,KCAL,CY,2004-01-01,
ANI,KCAL,CY,2005-01-01,
ANI,KCAL,CY,2006-01-01,
ANI,KCAL,CY,2007-01-01,
ANI,KCAL,CY,2008-01-01,
ANI,KCAL,CY,2009-01-01,
ANI,KCAL,CY,2010-01-01,
ANI,KCAL,CY,2011-01-01,
ANI,KCAL,CY,2012-01-01,
ANI,KCAL,CY,2013-01-01,
ANI,KCAL,CZ,2000-01-01,
ANI,KCAL,CZ,2001-01-01,
ANI,KCAL,CZ,2002-01-01,
ANI,KCAL,CZ,2003-01-01,
ANI,KCAL,CZ,2004-01-01,
ANI,KCAL,CZ,2005-01-01,
ANI,KCAL,CZ,2006-01-01,
ANI,KCAL,CZ,2007-01-01,
ANI,KCAL,CZ,2008-01-01,
ANI,KCAL,CZ,2009-01-01,
ANI,KCAL,CZ,2010-01-01,
ANI,KCAL,CZ,2011-01-01,
ANI,KCAL,CZ,2012-01-01,
ANI,KCAL,CZ,2013-01-01,
ANI,KCAL,DE,2000-01-01,
ANI,KCAL,DE,2001-01-01,
ANI,KCAL,DE,2002-01-01,
ANI,KCAL,DE,2003-01-01,
ANI,KCAL,DE,2004-01-01,
ANI,KCAL,DE,2005-01-01,
ANI,KCAL,DE,2006-01-01,
ANI,KCAL,DE,2007-01-01,
ANI,KCAL,DE,2008-01-01,
ANI,KCAL,DE,2009-01-01,
ANI,KCAL,DE,2010-01-01,
ANI,KCAL,DE,2011-01-01,
ANI,KCAL,DE,2012-01-01,
ANI,KCAL,DE,2013-01-01,
ANI,KCAL,DK,2000-01-01,
ANI,KCAL,DK,2001-01-01,
ANI,KCAL,DK,2002-01-01,
ANI,KCAL,DK,2003-01-01,
ANI,KCAL,DK,2004-01-01,
ANI,KCAL,DK,2005-01-01,
ANI,KCAL,DK,2006-01-01,
ANI,KCAL,DK,2007-01-01,
ANI,KCAL,DK,2008-01-01,
ANI,KCAL,DK,2009-01-01,
ANI,KCAL,DK,2010-01-01,
ANI,KCAL,DK,2011-01-01,
ANI,KCAL,DK,2012-01-01,
ANI,KCAL,DK,2013-01-01,
ANI,KCAL,EE,2000-01-01,
ANI,KCAL,EE,2001-01-01,
ANI,KCAL,EE,2002-01-01,
ANI,KCAL,EE,2003-01-01,
ANI,KCAL,EE,2004-01-01,
ANI,KCAL,EE,2005-01-01,
ANI,KCAL,EE,2006-01-01,
ANI,KCAL,EE,2007-01-01,
ANI,KCAL,EE,2008-01-01,
ANI,KCAL,EE,2009-01-01,
ANI,KCAL,EE,2010-01-01,
ANI,KCAL,EE,2011-01-01,
ANI,KCAL,EE,2012-01-01,
ANI,KCAL,EE,2013-01-01,
ANI,KCAL,EL,2000-01-01,
ANI,KCAL,EL,2001-01-01,
ANI,KCAL,EL,2002-01-01,
ANI,KCAL,EL,2003-01-01,
ANI,KCAL,EL,2004-01-01,
ANI,KCAL,EL,2005-01-01,
ANI,KCAL,EL,2006-01-01,
ANI,KCAL,EL,2007-01-01,
ANI,KCAL,EL,2008-01-01,
ANI,KCAL,EL,2009-01-01,
ANI,KCAL,EL,2010-01-01,
ANI,KCAL,EL,2011-01-01,
ANI,KCAL,EL,2012-01-01,
ANI,KCAL,EL,2013-01-01,
ANI,KCAL,ES,2000-01-01,
ANI,KCAL,ES,2001-01-01,
ANI,KCAL,ES,2002-01-01,
ANI,KCAL,ES,2003-01-01,
ANI,KCAL,ES,2004-01-01,
ANI,KCAL,ES,2005-01-01,
ANI,KCAL,ES,2006-01-01,
ANI,KCAL,ES,2007-01-01,
ANI,KCAL,ES,2008-01-01,
ANI,KCAL,ES,2009-01-01,
ANI,KCAL,ES,2010-01-01,
ANI,KCAL,ES,2011-01-01,
ANI,KCAL,ES,2012-01-01,
ANI,KCAL,ES,2013-01-01,
ANI,KCAL,EU28,2000-01-01,
ANI,KCAL,EU28,2001-01-01,
ANI,KCAL,EU28,2002-01-01,
ANI,KCAL,EU28,2003-01-01,
ANI,KCAL,EU28,2004-01-01,
ANI,KCAL,EU28,2005-01-01,
ANI,KCAL,EU28,2006-01-01,
ANI,KCAL,EU28,2007-01-01,
ANI,KCAL,EU28,2008-01-01,
ANI,KCAL,EU28,2009-01-01,
ANI,KCAL,EU28,2010-01-01,
ANI,KCAL,EU28,2011-01-01,
ANI,KCAL,EU28,2012-01-01,
ANI,KCAL,EU28,2013-01-01,
ANI,KCAL,FI,2000-01-01,
ANI,KCAL,FI,2001-01-01,
ANI,KCAL,FI,2002-01-01,
ANI,KCAL,FI,2003-01-01,
ANI,KCAL,FI,2004-01-01,
ANI,KCAL,FI,2005-01-01,
ANI,KCAL,FI,2006-01-01,
ANI,KCAL,FI,2007-01-01,
ANI,KCAL,FI,2008-01-01,
ANI,KCAL,FI,2009-01-01,
ANI,KCAL,FI,2010-01-01,
ANI,KCAL,FI,2011-01-01,
ANI,KCAL,FI,2012-01-01,
ANI,KCAL,FI,2013-01-01,
ANI,KCAL,FR,2000-01-01,
ANI,KCAL,FR,2001-01-01,
ANI,KCAL,FR,2002-01-01,
ANI,KCAL,FR,2003-01-01,
ANI,KCAL,FR,2004-01-01,
ANI,KCAL,FR,2005-01-01,
ANI,KCAL,FR,2006-01-01,
ANI,KCAL,FR,2007-01-01,
ANI,KCAL,FR,2008-01-01,
ANI,KCAL,FR,2009-01-01,
ANI,KCAL,FR,2010-01-01,
ANI,KCAL,FR,2011-01-01,
ANI,KCAL,FR,2012-01-01,
ANI,KCAL,FR,2013-01-01,
ANI,KCAL,HR,2000-01-01,
ANI,KCAL,HR,2001-01-01,
ANI,KCAL,HR,2002-01-01,
ANI,KCAL,HR,2003-01-01,
ANI,KCAL,HR,2004-01-01,
ANI,KCAL,HR,2005-01-01,
ANI,KCAL,HR,2006-01-01,
ANI,KCAL,HR,2007-01-01,
ANI,KCAL,HR,2008-01-01,
ANI,KCAL,HR,2009-01-01,
ANI,KCAL,HR,2010-01-01,
ANI,KCAL,HR,2011-01-01,
ANI,KCAL,HR,2012-01-01,
