age,unit,sex,indic_em,geotime,date,value
Y15-64,THS_PER,T,ACT,AT,1995-01-01,3803.0
Y15-64,THS_PER,T,ACT,AT,1996-01-01,3792.0
Y15-64,THS_PER,T,ACT,AT,1997-01-01,3797.0
Y15-64,THS_PER,T,ACT,AT,1998-01-01,3823.0
Y15-64,THS_PER,T,ACT,AT,1999-01-01,3807.0
Y15-64,THS_PER,T,ACT,AT,2000-01-01,3816.0
Y15-64,THS_PER,T,ACT,AT,2001-01-01,3835.0
Y15-64,THS_PER,T,ACT,AT,2002-01-01,3835.0
Y15-64,THS_PER,T,ACT,AT,2003-01-01,3933.0
Y15-64,THS_PER,T,ACT,AT,2004-01-01,3865.0
Y15-64,THS_PER,T,ACT,AT,2005-01-01,3934.0
Y15-64,THS_PER,T,ACT,AT,2006-01-01,3994.0
Y15-64,THS_PER,T,ACT,AT,2007-01-01,4064.0
Y15-64,THS_PER,T,ACT,AT,2008-01-01,4100.0
Y15-64,THS_PER,T,ACT,AT,2009-01-01,4132.0
Y15-64,THS_PER,T,ACT,AT,2010-01-01,4147.0
Y15-64,THS_PER,T,ACT,AT,2011-01-01,4176.0
Y15-64,THS_PER,T,ACT,AT,2012-01-01,4222.0
Y15-64,THS_PER,T,ACT,AT,2013-01-01,4261.0
Y15-64,THS_PER,T,ACT,AT,2014-01-01,4278.0
Y15-64,THS_PER,T,ACT,AT,2015-01-01,4319.0
Y15-64,THS_PER,T,ACT,AT,2016-01-01,4412.0
Y15-64,THS_PER,T,ACT,AT,2017-01-01,4433.0
Y15-64,THS_PER,T,ACT,BE,1995-01-01,4163.0
Y15-64,THS_PER,T,ACT,BE,1996-01-01,4191.0
Y15-64,THS_PER,T,ACT,BE,1997-01-01,4232.0
Y15-64,THS_PER,T,ACT,BE,1998-01-01,4285.0
Y15-64,THS_PER,T,ACT,BE,1999-01-01,4355.0
Y15-64,THS_PER,T,ACT,BE,2000-01-01,4376.0
Y15-64,THS_PER,T,ACT,BE,2001-01-01,4320.0
Y15-64,THS_PER,T,ACT,BE,2002-01-01,4378.0
Y15-64,THS_PER,T,ACT,BE,2003-01-01,4409.0
Y15-64,THS_PER,T,ACT,BE,2004-01-01,4493.0
Y15-64,THS_PER,T,ACT,BE,2005-01-01,4589.0
Y15-64,THS_PER,T,ACT,BE,2006-01-01,4616.0
Y15-64,THS_PER,T,ACT,BE,2007-01-01,4701.0
Y15-64,THS_PER,T,ACT,BE,2008-01-01,4747.0
Y15-64,THS_PER,T,ACT,BE,2009-01-01,4769.0
Y15-64,THS_PER,T,ACT,BE,2010-01-01,4856.0
Y15-64,THS_PER,T,ACT,BE,2011-01-01,4817.0
Y15-64,THS_PER,T,ACT,BE,2012-01-01,4847.0
Y15-64,THS_PER,T,ACT,BE,2013-01-01,4901.0
Y15-64,THS_PER,T,ACT,BE,2014-01-01,4920.0
Y15-64,THS_PER,T,ACT,BE,2015-01-01,4921.0
Y15-64,THS_PER,T,ACT,BE,2016-01-01,4929.0
Y15-64,THS_PER,T,ACT,BE,2017-01-01,4940.0
Y15-64,THS_PER,T,ACT,BG,1995-01-01,
Y15-64,THS_PER,T,ACT,BG,1996-01-01,
Y15-64,THS_PER,T,ACT,BG,1997-01-01,
Y15-64,THS_PER,T,ACT,BG,1998-01-01,
Y15-64,THS_PER,T,ACT,BG,1999-01-01,
Y15-64,THS_PER,T,ACT,BG,2000-01-01,3336.0
Y15-64,THS_PER,T,ACT,BG,2001-01-01,3358.0
Y15-64,THS_PER,T,ACT,BG,2002-01-01,3316.0
Y15-64,THS_PER,T,ACT,BG,2003-01-01,3233.0
Y15-64,THS_PER,T,ACT,BG,2004-01-01,3277.0
Y15-64,THS_PER,T,ACT,BG,2005-01-01,3281.0
Y15-64,THS_PER,T,ACT,BG,2006-01-01,3376.0
Y15-64,THS_PER,T,ACT,BG,2007-01-01,3448.0
Y15-64,THS_PER,T,ACT,BG,2008-01-01,3505.0
Y15-64,THS_PER,T,ACT,BG,2009-01-01,3441.0
Y15-64,THS_PER,T,ACT,BG,2010-01-01,3387.0
Y15-64,THS_PER,T,ACT,BG,2011-01-01,3302.0
Y15-64,THS_PER,T,ACT,BG,2012-01-01,3304.0
Y15-64,THS_PER,T,ACT,BG,2013-01-01,3323.0
Y15-64,THS_PER,T,ACT,BG,2014-01-01,3309.0
Y15-64,THS_PER,T,ACT,BG,2015-01-01,3276.0
Y15-64,THS_PER,T,ACT,BG,2016-01-01,3200.0
Y15-64,THS_PER,T,ACT,BG,2017-01-01,3278.0
Y15-64,THS_PER,T,ACT,CY,1995-01-01,
Y15-64,THS_PER,T,ACT,CY,1996-01-01,
Y15-64,THS_PER,T,ACT,CY,1997-01-01,289.0
Y15-64,THS_PER,T,ACT,CY,1998-01-01,289.0
Y15-64,THS_PER,T,ACT,CY,1999-01-01,291.0
Y15-64,THS_PER,T,ACT,CY,2000-01-01,303.0
Y15-64,THS_PER,T,ACT,CY,2001-01-01,314.0
Y15-64,THS_PER,T,ACT,CY,2002-01-01,320.0
Y15-64,THS_PER,T,ACT,CY,2003-01-01,332.0
Y15-64,THS_PER,T,ACT,CY,2004-01-01,344.0
Y15-64,THS_PER,T,ACT,CY,2005-01-01,357.0
Y15-64,THS_PER,T,ACT,CY,2006-01-01,365.0
Y15-64,THS_PER,T,ACT,CY,2007-01-01,383.0
Y15-64,THS_PER,T,ACT,CY,2008-01-01,386.0
Y15-64,THS_PER,T,ACT,CY,2009-01-01,393.0
Y15-64,THS_PER,T,ACT,CY,2010-01-01,409.0
Y15-64,THS_PER,T,ACT,CY,2011-01-01,420.0
Y15-64,THS_PER,T,ACT,CY,2012-01-01,426.0
Y15-64,THS_PER,T,ACT,CY,2013-01-01,425.0
Y15-64,THS_PER,T,ACT,CY,2014-01-01,425.0
Y15-64,THS_PER,T,ACT,CY,2015-01-01,413.0
Y15-64,THS_PER,T,ACT,CY,2016-01-01,408.0
Y15-64,THS_PER,T,ACT,CY,2017-01-01,417.0
Y15-64,THS_PER,T,ACT,CZ,1995-01-01,
Y15-64,THS_PER,T,ACT,CZ,1996-01-01,
Y15-64,THS_PER,T,ACT,CZ,1997-01-01,
Y15-64,THS_PER,T,ACT,CZ,1998-01-01,5089.0
Y15-64,THS_PER,T,ACT,CZ,1999-01-01,5102.0
Y15-64,THS_PER,T,ACT,CZ,2000-01-01,5076.0
Y15-64,THS_PER,T,ACT,CZ,2001-01-01,5045.0
Y15-64,THS_PER,T,ACT,CZ,2002-01-01,5048.0
Y15-64,THS_PER,T,ACT,CZ,2003-01-01,5044.0
Y15-64,THS_PER,T,ACT,CZ,2004-01-01,5063.0
Y15-64,THS_PER,T,ACT,CZ,2005-01-01,5118.0
Y15-64,THS_PER,T,ACT,CZ,2006-01-01,5140.0
Y15-64,THS_PER,T,ACT,CZ,2007-01-01,5132.0
Y15-64,THS_PER,T,ACT,CZ,2008-01-01,5163.0
Y15-64,THS_PER,T,ACT,CZ,2009-01-01,5209.0
Y15-64,THS_PER,T,ACT,CZ,2010-01-01,5192.0
Y15-64,THS_PER,T,ACT,CZ,2011-01-01,5146.0
Y15-64,THS_PER,T,ACT,CZ,2012-01-01,5175.0
Y15-64,THS_PER,T,ACT,CZ,2013-01-01,5213.0
Y15-64,THS_PER,T,ACT,CZ,2014-01-01,5206.0
Y15-64,THS_PER,T,ACT,CZ,2015-01-01,5201.0
Y15-64,THS_PER,T,ACT,CZ,2016-01-01,5226.0
Y15-64,THS_PER,T,ACT,CZ,2017-01-01,5248.0
Y15-64,THS_PER,T,ACT,DE,1995-01-01,38708.0
Y15-64,THS_PER,T,ACT,DE,1996-01-01,38786.0
Y15-64,THS_PER,T,ACT,DE,1997-01-01,38927.0
Y15-64,THS_PER,T,ACT,DE,1998-01-01,39133.0
Y15-64,THS_PER,T,ACT,DE,1999-01-01,39214.0
Y15-64,THS_PER,T,ACT,DE,2000-01-01,39092.0
Y15-64,THS_PER,T,ACT,DE,2001-01-01,39165.0
Y15-64,THS_PER,T,ACT,DE,2002-01-01,39237.0
Y15-64,THS_PER,T,ACT,DE,2003-01-01,39430.0
Y15-64,THS_PER,T,ACT,DE,2004-01-01,39666.0
Y15-64,THS_PER,T,ACT,DE,2005-01-01,40411.0
Y15-64,THS_PER,T,ACT,DE,2006-01-01,40874.0
Y15-64,THS_PER,T,ACT,DE,2007-01-01,40992.0
Y15-64,THS_PER,T,ACT,DE,2008-01-01,41032.0
Y15-64,THS_PER,T,ACT,DE,2009-01-01,41030.0
Y15-64,THS_PER,T,ACT,DE,2010-01-01,40178.0
Y15-64,THS_PER,T,ACT,DE,2011-01-01,40437.0
Y15-64,THS_PER,T,ACT,DE,2012-01-01,40538.0
Y15-64,THS_PER,T,ACT,DE,2013-01-01,40814.0
Y15-64,THS_PER,T,ACT,DE,2014-01-01,40990.0
Y15-64,THS_PER,T,ACT,DE,2015-01-01,41117.0
Y15-64,THS_PER,T,ACT,DE,2016-01-01,41932.0
Y15-64,THS_PER,T,ACT,DE,2017-01-01,42094.0
Y15-64,THS_PER,T,ACT,DK,1995-01-01,2790.0
Y15-64,THS_PER,T,ACT,DK,1996-01-01,2804.0
Y15-64,THS_PER,T,ACT,DK,1997-01-01,2808.0
Y15-64,THS_PER,T,ACT,DK,1998-01-01,2806.0
Y15-64,THS_PER,T,ACT,DK,1999-01-01,2840.0
Y15-64,THS_PER,T,ACT,DK,2000-01-01,2824.0
Y15-64,THS_PER,T,ACT,DK,2001-01-01,2831.0
Y15-64,THS_PER,T,ACT,DK,2002-01-01,2815.0
Y15-64,THS_PER,T,ACT,DK,2003-01-01,2820.0
Y15-64,THS_PER,T,ACT,DK,2004-01-01,2852.0
Y15-64,THS_PER,T,ACT,DK,2005-01-01,2846.0
Y15-64,THS_PER,T,ACT,DK,2006-01-01,2875.0
Y15-64,THS_PER,T,ACT,DK,2007-01-01,2869.0
Y15-64,THS_PER,T,ACT,DK,2008-01-01,2908.0
Y15-64,THS_PER,T,ACT,DK,2009-01-01,2901.0
Y15-64,THS_PER,T,ACT,DK,2010-01-01,2872.0
Y15-64,THS_PER,T,ACT,DK,2011-01-01,2864.0
Y15-64,THS_PER,T,ACT,DK,2012-01-01,2840.0
Y15-64,THS_PER,T,ACT,DK,2013-01-01,2824.0
Y15-64,THS_PER,T,ACT,DK,2014-01-01,2831.0
Y15-64,THS_PER,T,ACT,DK,2015-01-01,2859.0
Y15-64,THS_PER,T,ACT,DK,2016-01-01,2934.0
Y15-64,THS_PER,T,ACT,DK,2017-01-01,2905.0
Y15-64,THS_PER,T,ACT,EE,1995-01-01,
Y15-64,THS_PER,T,ACT,EE,1996-01-01,
Y15-64,THS_PER,T,ACT,EE,1997-01-01,659.0
Y15-64,THS_PER,T,ACT,EE,1998-01-01,655.0
Y15-64,THS_PER,T,ACT,EE,1999-01-01,649.0
Y15-64,THS_PER,T,ACT,EE,2000-01-01,666.0
Y15-64,THS_PER,T,ACT,EE,2001-01-01,659.0
Y15-64,THS_PER,T,ACT,EE,2002-01-01,644.0
Y15-64,THS_PER,T,ACT,EE,2003-01-01,651.0
Y15-64,THS_PER,T,ACT,EE,2004-01-01,647.0
Y15-64,THS_PER,T,ACT,EE,2005-01-01,647.0
Y15-64,THS_PER,T,ACT,EE,2006-01-01,667.0
Y15-64,THS_PER,T,ACT,EE,2007-01-01,664.0
Y15-64,THS_PER,T,ACT,EE,2008-01-01,670.0
Y15-64,THS_PER,T,ACT,EE,2009-01-01,666.0
Y15-64,THS_PER,T,ACT,EE,2010-01-01,661.0
Y15-64,THS_PER,T,ACT,EE,2011-01-01,665.0
Y15-64,THS_PER,T,ACT,EE,2012-01-01,658.0
Y15-64,THS_PER,T,ACT,EE,2013-01-01,655.0
Y15-64,THS_PER,T,ACT,EE,2014-01-01,648.0
Y15-64,THS_PER,T,ACT,EE,2015-01-01,654.0
Y15-64,THS_PER,T,ACT,EE,2016-01-01,658.0
